innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,524,55,RSA,1,26,-205,ND McKenzie,A Flintoff,1,8,25,39.75,6797,43.28,Right-hand bat,6,0,1,13098.4,32.08,64.2,rfm,0,ENG,seam,no,30.139591836734695,3.888979591836735
2,525,56,RSA,1,26,-205,ND McKenzie,A Flintoff,1,8,26,39.75,6797,43.28,Right-hand bat,7,0,1,13098.4,32.08,64.2,rfm,0,ENG,seam,no,30.139591836734695,3.888979591836735
2,526,57,RSA,1,26,-205,ND McKenzie,A Flintoff,1,8,27,39.75,6797,43.28,Right-hand bat,8,0,1,13098.4,32.08,64.2,rfm,0,ENG,seam,no,30.139591836734695,3.888979591836735
2,527,58,RSA,1,26,-205,ND McKenzie,A Flintoff,1,8,28,39.75,6797,43.28,Right-hand bat,9,0,1,13098.4,32.08,64.2,rfm,0,ENG,seam,no,30.139591836734695,3.888979591836735
2,528,59,RSA,1,26,-205,ND McKenzie,A Flintoff,1,8,29,39.75,6797,43.28,Right-hand bat,10,0,1,13098.4,32.08,64.2,rfm,0,ENG,seam,no,30.139591836734695,3.888979591836735
2,529,60,RSA,1,26,-205,ND McKenzie,A Flintoff,1,8,30,39.75,6797,43.28,Right-hand bat,11,0,1,13098.4,32.08,64.2,rfm,4,ENG,seam,no,30.139591836734695,3.888979591836735
2,536,67,RSA,1,38,-193,ND McKenzie,A Flintoff,1,12,31,39.75,6797,43.28,Right-hand bat,12,4,1,13098.4,32.08,64.2,rfm,0,ENG,seam,no,30.139591836734695,3.888979591836735
2,537,68,RSA,1,38,-193,ND McKenzie,A Flintoff,1,12,32,39.75,6797,43.28,Right-hand bat,13,4,1,13098.4,32.08,64.2,rfm,0,ENG,seam,no,30.139591836734695,3.888979591836735
2,538,69,RSA,1,38,-193,ND McKenzie,A Flintoff,1,12,33,39.75,6797,43.28,Right-hand bat,14,4,1,13098.4,32.08,64.2,rfm,0,ENG,seam,no,30.139591836734695,3.888979591836735
2,539,70,RSA,1,38,-193,ND McKenzie,A Flintoff,1,12,34,39.75,6797,43.28,Right-hand bat,15,4,1,13098.4,32.08,64.2,rfm,0,ENG,seam,no,30.139591836734695,3.888979591836735
2,540,71,RSA,1,38,-193,ND McKenzie,A Flintoff,1,12,35,39.75,6797,43.28,Right-hand bat,16,4,1,13098.4,32.08,64.2,rfm,2,ENG,seam,no,30.139591836734695,3.888979591836735
2,541,72,RSA,1,40,-191,ND McKenzie,A Flintoff,1,14,36,39.75,6797,43.28,Right-hand bat,17,6,1,13098.4,32.08,64.2,rfm,1,ENG,seam,no,30.139591836734695,3.888979591836735
2,575,106,RSA,1,59,-172,ND McKenzie,A Flintoff,1,29,56,39.75,6797,43.28,Right-hand bat,32,10,1,13098.4,32.08,64.2,rfm,0,ENG,seam,no,30.139591836734695,3.888979591836735
2,576,107,RSA,1,59,-172,ND McKenzie,A Flintoff,1,29,57,39.75,6797,43.28,Right-hand bat,33,10,1,13098.4,32.08,64.2,rfm,0,ENG,seam,no,30.139591836734695,3.888979591836735
2,577,108,RSA,1,59,-172,ND McKenzie,A Flintoff,1,29,58,39.75,6797,43.28,Right-hand bat,34,10,1,13098.4,32.08,64.2,rfm,1lb,ENG,seam,no,30.139591836734695,3.888979591836735
