innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,517,310,RSA,2,252,113,JH Kallis,DJG Sammy,4,0,0,58.11,21359,44.07,Right-hand bat,64,47,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,518,311,RSA,2,252,113,JH Kallis,DJG Sammy,4,0,1,58.11,21359,44.07,Right-hand bat,65,47,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,537,330,RSA,3,254,115,JH Kallis,DJG Sammy,4,1,7,58.11,21359,44.07,Right-hand bat,72,47,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,538,331,RSA,3,254,115,JH Kallis,DJG Sammy,4,1,8,58.11,21359,44.07,Right-hand bat,73,47,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,539,332,RSA,3,254,115,JH Kallis,DJG Sammy,4,1,9,58.11,21359,44.07,Right-hand bat,74,47,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,540,333,RSA,3,254,115,JH Kallis,DJG Sammy,4,1,10,58.11,21359,44.07,Right-hand bat,75,47,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,541,334,RSA,3,254,115,JH Kallis,DJG Sammy,4,1,11,58.11,21359,44.07,Right-hand bat,76,47,1,444.3,23.7,44.7,rm,4,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,542,335,RSA,3,258,119,JH Kallis,DJG Sammy,4,5,12,58.11,21359,44.07,Right-hand bat,77,51,1,444.3,23.7,44.7,rm,2,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,549,342,RSA,3,262,123,JH Kallis,DJG Sammy,4,8,16,58.11,21359,44.07,Right-hand bat,78,53,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,550,343,RSA,3,262,123,JH Kallis,DJG Sammy,4,8,17,58.11,21359,44.07,Right-hand bat,79,53,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,551,344,RSA,3,262,123,JH Kallis,DJG Sammy,4,8,18,58.11,21359,44.07,Right-hand bat,80,53,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,552,345,RSA,3,262,123,JH Kallis,DJG Sammy,4,8,19,58.11,21359,44.07,Right-hand bat,81,53,1,444.3,23.7,44.7,rm,4,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,553,346,RSA,3,266,127,JH Kallis,DJG Sammy,4,12,20,58.11,21359,44.07,Right-hand bat,82,57,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,554,347,RSA,3,266,127,JH Kallis,DJG Sammy,4,12,21,58.11,21359,44.07,Right-hand bat,83,57,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,561,354,RSA,3,272,133,JH Kallis,DJG Sammy,4,12,22,58.11,21359,44.07,Right-hand bat,84,57,1,444.3,23.7,44.7,rm,4,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,562,355,RSA,3,276,137,JH Kallis,DJG Sammy,4,16,23,58.11,21359,44.07,Right-hand bat,85,61,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,563,356,RSA,3,276,137,JH Kallis,DJG Sammy,4,16,24,58.11,21359,44.07,Right-hand bat,86,61,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,564,357,RSA,3,276,137,JH Kallis,DJG Sammy,4,16,25,58.11,21359,44.07,Right-hand bat,87,61,1,444.3,23.7,44.7,rm,1,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,566,359,RSA,3,278,139,JH Kallis,DJG Sammy,4,17,26,58.11,21359,44.07,Right-hand bat,89,62,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,573,366,RSA,3,284,145,JH Kallis,DJG Sammy,4,18,29,58.11,21359,44.07,Right-hand bat,90,62,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,574,367,RSA,3,284,145,JH Kallis,DJG Sammy,4,18,30,58.11,21359,44.07,Right-hand bat,91,62,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,575,368,RSA,3,284,145,JH Kallis,DJG Sammy,4,18,31,58.11,21359,44.07,Right-hand bat,92,62,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,576,369,RSA,3,284,145,JH Kallis,DJG Sammy,4,18,32,58.11,21359,44.07,Right-hand bat,93,62,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,577,370,RSA,3,284,145,JH Kallis,DJG Sammy,4,18,33,58.11,21359,44.07,Right-hand bat,94,62,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,578,371,RSA,3,284,145,JH Kallis,DJG Sammy,4,18,34,58.11,21359,44.07,Right-hand bat,95,62,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,587,380,RSA,3,290,151,JH Kallis,DJG Sammy,4,22,40,58.11,21359,44.07,Right-hand bat,98,63,1,444.3,23.7,44.7,rm,4,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,588,381,RSA,3,294,155,JH Kallis,DJG Sammy,4,26,41,58.11,21359,44.07,Right-hand bat,99,67,1,444.3,23.7,44.7,rm,1,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,597,390,RSA,3,296,157,JH Kallis,DJG Sammy,4,28,45,58.11,21359,44.07,Right-hand bat,102,68,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,598,391,RSA,3,296,157,JH Kallis,DJG Sammy,4,28,46,58.11,21359,44.07,Right-hand bat,103,68,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,599,392,RSA,3,296,157,JH Kallis,DJG Sammy,4,28,47,58.11,21359,44.07,Right-hand bat,104,68,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,600,393,RSA,3,296,157,JH Kallis,DJG Sammy,4,28,48,58.11,21359,44.07,Right-hand bat,105,68,1,444.3,23.7,44.7,rm,0,RSA,seam,yes,38.65277777777778,1.7569444444444444
2,601,394,RSA,3,296,157,JH Kallis,DJG Sammy,4,28,49,58.11,21359,44.07,Right-hand bat,106,68,1,444.3,23.7,44.7,rm,1,RSA,seam,yes,38.65277777777778,1.7569444444444444
