innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,170,170,ENG,1,80,80,AJ Strauss,KD Mills,3,0,4,40,6654,49.89,Left-hand bat,49,20,0,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
1,171,171,ENG,1,80,80,AJ Strauss,KD Mills,3,0,5,40,6654,49.89,Left-hand bat,50,20,0,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
1,172,172,ENG,1,80,80,AJ Strauss,KD Mills,3,0,6,40,6654,49.89,Left-hand bat,51,20,0,1794.5,26.87,54.5,rfm,2,NZL,seam,no,27.885,0.7150000000000001
1,173,173,ENG,1,82,82,AJ Strauss,KD Mills,3,2,7,40,6654,49.89,Left-hand bat,52,22,0,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
1,174,174,ENG,1,82,82,AJ Strauss,KD Mills,3,2,8,40,6654,49.89,Left-hand bat,53,22,0,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
1,181,181,ENG,2,82,82,AJ Strauss,KD Mills,3,2,9,40,6654,49.89,Left-hand bat,54,22,0,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
1,182,182,ENG,2,82,82,AJ Strauss,KD Mills,3,2,10,40,6654,49.89,Left-hand bat,55,22,0,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
1,183,183,ENG,2,82,82,AJ Strauss,KD Mills,3,2,11,40,6654,49.89,Left-hand bat,56,22,0,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
1,184,184,ENG,2,82,82,AJ Strauss,KD Mills,3,2,12,40,6654,49.89,Left-hand bat,57,22,0,1794.5,26.87,54.5,rfm,4,NZL,seam,no,27.885,0.7150000000000001
1,185,185,ENG,2,86,86,AJ Strauss,KD Mills,3,6,13,40,6654,49.89,Left-hand bat,58,26,0,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
1,186,186,ENG,2,86,86,AJ Strauss,KD Mills,3,6,14,40,6654,49.89,Left-hand bat,59,26,0,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
1,195,195,ENG,2,88,88,AJ Strauss,KD Mills,3,6,20,40,6654,49.89,Left-hand bat,62,27,0,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
1,196,196,ENG,2,88,88,AJ Strauss,KD Mills,3,6,21,40,6654,49.89,Left-hand bat,63,27,0,1794.5,26.87,54.5,rfm,1,NZL,seam,no,27.885,0.7150000000000001
1,207,207,ENG,2,92,92,AJ Strauss,KD Mills,3,7,24,40,6654,49.89,Left-hand bat,68,30,0,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
1,208,208,ENG,2,92,92,AJ Strauss,KD Mills,3,7,25,40,6654,49.89,Left-hand bat,69,30,0,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
1,209,209,ENG,2,92,92,AJ Strauss,KD Mills,3,7,26,40,6654,49.89,Left-hand bat,70,30,0,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
1,210,210,ENG,2,92,92,AJ Strauss,KD Mills,3,7,27,40,6654,49.89,Left-hand bat,71,30,0,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
1,217,217,ENG,2,94,94,AJ Strauss,KD Mills,3,8,32,40,6654,49.89,Left-hand bat,72,30,0,1794.5,26.87,54.5,rfm,W,NZL,seam,no,27.885,0.7150000000000001
