innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1384,389,ENG,4,179,323,PD Collingwood,KD Mills,6,8,34,43.14,5324,44.57,Right-hand bat,91,31,2,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
3,1385,390,ENG,4,179,323,PD Collingwood,KD Mills,6,8,35,43.14,5324,44.57,Right-hand bat,92,31,2,1794.5,26.87,54.5,rfm,4,NZL,seam,no,27.885,0.7150000000000001
3,1386,391,ENG,4,183,327,PD Collingwood,KD Mills,6,12,36,43.14,5324,44.57,Right-hand bat,93,35,2,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
3,1387,392,ENG,4,183,327,PD Collingwood,KD Mills,6,12,37,43.14,5324,44.57,Right-hand bat,94,35,2,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
3,1388,393,ENG,4,183,327,PD Collingwood,KD Mills,6,12,38,43.14,5324,44.57,Right-hand bat,95,35,2,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
3,1389,394,ENG,4,183,327,PD Collingwood,KD Mills,6,12,39,43.14,5324,44.57,Right-hand bat,96,35,2,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
3,1396,401,ENG,4,189,333,PD Collingwood,KD Mills,6,13,42,43.14,5324,44.57,Right-hand bat,97,35,2,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
3,1397,402,ENG,4,189,333,PD Collingwood,KD Mills,6,13,43,43.14,5324,44.57,Right-hand bat,98,35,2,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
3,1398,403,ENG,4,189,333,PD Collingwood,KD Mills,6,13,44,43.14,5324,44.57,Right-hand bat,99,35,2,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
3,1399,404,ENG,4,189,333,PD Collingwood,KD Mills,6,13,45,43.14,5324,44.57,Right-hand bat,100,35,2,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
3,1400,405,ENG,4,189,333,PD Collingwood,KD Mills,6,13,46,43.14,5324,44.57,Right-hand bat,101,35,2,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
3,1401,406,ENG,4,189,333,PD Collingwood,KD Mills,6,13,47,43.14,5324,44.57,Right-hand bat,102,35,2,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
3,1408,413,ENG,4,193,337,PD Collingwood,KD Mills,6,14,50,43.14,5324,44.57,Right-hand bat,103,35,2,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
3,1409,414,ENG,4,193,337,PD Collingwood,KD Mills,6,14,51,43.14,5324,44.57,Right-hand bat,104,35,2,1794.5,26.87,54.5,rfm,1,NZL,seam,no,27.885,0.7150000000000001
3,1480,485,ENG,5,223,367,PD Collingwood,KD Mills,6,31,89,43.14,5324,44.57,Right-hand bat,109,38,2,1794.5,26.87,54.5,rfm,4,NZL,seam,no,27.885,0.7150000000000001
3,1481,486,ENG,5,227,371,PD Collingwood,KD Mills,6,35,90,43.14,5324,44.57,Right-hand bat,110,42,2,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
3,1482,487,ENG,5,227,371,PD Collingwood,KD Mills,6,35,91,43.14,5324,44.57,Right-hand bat,111,42,2,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
3,1483,488,ENG,5,227,371,PD Collingwood,KD Mills,6,35,92,43.14,5324,44.57,Right-hand bat,112,42,2,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
3,1484,489,ENG,5,227,371,PD Collingwood,KD Mills,6,35,93,43.14,5324,44.57,Right-hand bat,113,42,2,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
3,1485,490,ENG,5,227,371,PD Collingwood,KD Mills,6,35,94,43.14,5324,44.57,Right-hand bat,114,42,2,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
3,1492,497,ENG,6,231,375,PD Collingwood,KD Mills,6,35,95,43.14,5324,44.57,Right-hand bat,115,42,2,1794.5,26.87,54.5,rfm,4,NZL,seam,no,27.885,0.7150000000000001
3,1493,498,ENG,6,235,379,PD Collingwood,KD Mills,6,39,96,43.14,5324,44.57,Right-hand bat,116,46,2,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
3,1494,499,ENG,6,235,379,PD Collingwood,KD Mills,6,39,97,43.14,5324,44.57,Right-hand bat,117,46,2,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
3,1495,500,ENG,6,235,379,PD Collingwood,KD Mills,6,39,98,43.14,5324,44.57,Right-hand bat,118,46,2,1794.5,26.87,54.5,rfm,4,NZL,seam,no,27.885,0.7150000000000001
3,1496,501,ENG,6,239,383,PD Collingwood,KD Mills,6,43,99,43.14,5324,44.57,Right-hand bat,119,50,2,1794.5,26.87,54.5,rfm,4,NZL,seam,no,27.885,0.7150000000000001
3,1497,502,ENG,6,243,387,PD Collingwood,KD Mills,6,47,100,43.14,5324,44.57,Right-hand bat,120,54,2,1794.5,26.87,54.5,rfm,0,NZL,seam,no,27.885,0.7150000000000001
