innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,165,165,ENG,4,50,50,PD Collingwood,TG Southee,6,1,13,42.54,5425,44.7,Right-hand bat,51,15,2,282.1,27.8,56.6,rmf,0,NZL,seam,yes,22.159970781592403,13.488677867056245
1,166,166,ENG,4,50,50,PD Collingwood,TG Southee,6,1,14,42.54,5425,44.7,Right-hand bat,52,15,2,282.1,27.8,56.6,rmf,0,NZL,seam,yes,22.159970781592403,13.488677867056245
1,167,167,ENG,4,50,50,PD Collingwood,TG Southee,6,1,15,42.54,5425,44.7,Right-hand bat,53,15,2,282.1,27.8,56.6,rmf,0,NZL,seam,yes,22.159970781592403,13.488677867056245
1,168,168,ENG,4,50,50,PD Collingwood,TG Southee,6,1,16,42.54,5425,44.7,Right-hand bat,54,15,2,282.1,27.8,56.6,rmf,0,NZL,seam,yes,22.159970781592403,13.488677867056245
1,175,175,ENG,4,58,58,PD Collingwood,TG Southee,6,1,17,42.54,5425,44.7,Right-hand bat,55,15,2,282.1,27.8,56.6,rmf,0,NZL,seam,yes,22.159970781592403,13.488677867056245
1,176,176,ENG,4,58,58,PD Collingwood,TG Southee,6,1,18,42.54,5425,44.7,Right-hand bat,56,15,2,282.1,27.8,56.6,rmf,0,NZL,seam,yes,22.159970781592403,13.488677867056245
1,177,177,ENG,4,58,58,PD Collingwood,TG Southee,6,1,19,42.54,5425,44.7,Right-hand bat,57,15,2,282.1,27.8,56.6,rmf,0,NZL,seam,yes,22.159970781592403,13.488677867056245
1,178,178,ENG,4,58,58,PD Collingwood,TG Southee,6,1,20,42.54,5425,44.7,Right-hand bat,58,15,2,282.1,27.8,56.6,rmf,0,NZL,seam,yes,22.159970781592403,13.488677867056245
1,179,179,ENG,4,58,58,PD Collingwood,TG Southee,6,1,21,42.54,5425,44.7,Right-hand bat,59,15,2,282.1,27.8,56.6,rmf,0,NZL,seam,yes,22.159970781592403,13.488677867056245
1,180,180,ENG,4,58,58,PD Collingwood,TG Southee,6,1,22,42.54,5425,44.7,Right-hand bat,60,15,2,282.1,27.8,56.6,rmf,0,NZL,seam,yes,22.159970781592403,13.488677867056245
1,259,259,ENG,4,108,108,PD Collingwood,TG Southee,6,27,58,42.54,5425,44.7,Right-hand bat,61,15,2,282.1,27.8,56.6,rmf,0,NZL,seam,yes,22.159970781592403,13.488677867056245
1,260,260,ENG,4,108,108,PD Collingwood,TG Southee,6,27,59,42.54,5425,44.7,Right-hand bat,62,15,2,282.1,27.8,56.6,rmf,0,NZL,seam,yes,22.159970781592403,13.488677867056245
1,261,261,ENG,4,108,108,PD Collingwood,TG Southee,6,27,60,42.54,5425,44.7,Right-hand bat,63,15,2,282.1,27.8,56.6,rmf,0,NZL,seam,yes,22.159970781592403,13.488677867056245
1,262,262,ENG,4,108,108,PD Collingwood,TG Southee,6,27,61,42.54,5425,44.7,Right-hand bat,64,15,2,282.1,27.8,56.6,rmf,0,NZL,seam,yes,22.159970781592403,13.488677867056245
1,263,263,ENG,4,108,108,PD Collingwood,TG Southee,6,27,62,42.54,5425,44.7,Right-hand bat,65,15,2,282.1,27.8,56.6,rmf,1,NZL,seam,yes,22.159970781592403,13.488677867056245
1,273,273,ENG,4,112,112,PD Collingwood,TG Southee,6,28,68,42.54,5425,44.7,Right-hand bat,69,17,2,282.1,27.8,56.6,rmf,0,NZL,seam,yes,22.159970781592403,13.488677867056245
1,274,274,ENG,4,112,112,PD Collingwood,TG Southee,6,28,69,42.54,5425,44.7,Right-hand bat,70,17,2,282.1,27.8,56.6,rmf,0,NZL,seam,yes,22.159970781592403,13.488677867056245
1,275,275,ENG,4,112,112,PD Collingwood,TG Southee,6,28,70,42.54,5425,44.7,Right-hand bat,71,17,2,282.1,27.8,56.6,rmf,0,NZL,seam,yes,22.159970781592403,13.488677867056245
1,276,276,ENG,4,112,112,PD Collingwood,TG Southee,6,28,71,42.54,5425,44.7,Right-hand bat,72,17,2,282.1,27.8,56.6,rmf,0,NZL,seam,yes,22.159970781592403,13.488677867056245
1,287,287,ENG,4,118,118,PD Collingwood,TG Southee,6,28,76,42.54,5425,44.7,Right-hand bat,77,22,2,282.1,27.8,56.6,rmf,1,NZL,seam,yes,22.159970781592403,13.488677867056245
