innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,647,66,NZL,1,44,-209,SP Fleming,SCJ Broad,3,36,34,40.06,15652,45.82,Left-hand bat,0,0,0,720,38.33,80,rfm,0,NZL,seam,no,22.159970781592403,13.488677867056245
2,648,67,NZL,1,44,-209,SP Fleming,SCJ Broad,3,36,35,40.06,15652,45.82,Left-hand bat,1,0,0,720,38.33,80,rfm,0,NZL,seam,no,22.159970781592403,13.488677867056245
2,649,68,NZL,1,44,-209,SP Fleming,SCJ Broad,3,36,36,40.06,15652,45.82,Left-hand bat,2,0,0,720,38.33,80,rfm,1,NZL,seam,no,22.159970781592403,13.488677867056245
2,664,83,NZL,1,54,-199,SP Fleming,SCJ Broad,3,37,43,40.06,15652,45.82,Left-hand bat,11,10,0,720,38.33,80,rfm,0,NZL,seam,no,22.159970781592403,13.488677867056245
2,671,90,NZL,1,68,-185,SP Fleming,SCJ Broad,3,38,45,40.06,15652,45.82,Left-hand bat,12,10,0,720,38.33,80,rfm,2,NZL,seam,no,22.159970781592403,13.488677867056245
2,672,91,NZL,1,70,-183,SP Fleming,SCJ Broad,3,40,46,40.06,15652,45.82,Left-hand bat,13,12,0,720,38.33,80,rfm,0,NZL,seam,no,22.159970781592403,13.488677867056245
2,673,92,NZL,1,70,-183,SP Fleming,SCJ Broad,3,40,47,40.06,15652,45.82,Left-hand bat,14,12,0,720,38.33,80,rfm,0,NZL,seam,no,22.159970781592403,13.488677867056245
2,674,93,NZL,1,70,-183,SP Fleming,SCJ Broad,3,40,48,40.06,15652,45.82,Left-hand bat,15,12,0,720,38.33,80,rfm,4,NZL,seam,no,22.159970781592403,13.488677867056245
2,675,94,NZL,1,74,-179,SP Fleming,SCJ Broad,3,44,49,40.06,15652,45.82,Left-hand bat,16,16,0,720,38.33,80,rfm,0,NZL,seam,no,22.159970781592403,13.488677867056245
2,676,95,NZL,1,74,-179,SP Fleming,SCJ Broad,3,44,50,40.06,15652,45.82,Left-hand bat,17,16,0,720,38.33,80,rfm,0,NZL,seam,no,22.159970781592403,13.488677867056245
