innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1561,586,WIN,9,252,-224,DBL Powell,M Muralitharan,11,0,0,6.79,785,33.75,Right-hand bat,200,94,3,39708.4,21.9,54.4,rob,0,WIN,spin,no,24.61469387755102,12.842448979591836
2,1562,587,WIN,9,252,-224,DBL Powell,M Muralitharan,11,0,1,6.79,785,33.75,Right-hand bat,201,94,3,39708.4,21.9,54.4,rob,0,WIN,spin,no,24.61469387755102,12.842448979591836
2,1563,588,WIN,9,252,-224,DBL Powell,M Muralitharan,11,0,2,6.79,785,33.75,Right-hand bat,202,94,3,39708.4,21.9,54.4,rob,0,WIN,spin,no,24.61469387755102,12.842448979591836
2,1564,589,WIN,9,252,-224,DBL Powell,M Muralitharan,11,0,3,6.79,785,33.75,Right-hand bat,203,94,3,39708.4,21.9,54.4,rob,0,WIN,spin,no,24.61469387755102,12.842448979591836
2,1565,590,WIN,9,252,-224,DBL Powell,M Muralitharan,11,0,4,6.79,785,33.75,Right-hand bat,204,94,3,39708.4,21.9,54.4,rob,0,WIN,spin,no,24.61469387755102,12.842448979591836
2,1566,591,WIN,9,252,-224,DBL Powell,M Muralitharan,11,0,5,6.79,785,33.75,Right-hand bat,205,94,3,39708.4,21.9,54.4,rob,0,WIN,spin,no,24.61469387755102,12.842448979591836
2,1573,598,WIN,9,252,-224,DBL Powell,M Muralitharan,11,0,6,6.79,785,33.75,Right-hand bat,206,94,3,39708.4,21.9,54.4,rob,1,WIN,spin,no,24.61469387755102,12.842448979591836
2,1598,623,WIN,9,268,-208,DBL Powell,M Muralitharan,11,6,18,6.79,785,33.75,Right-hand bat,219,104,3,39708.4,21.9,54.4,rob,0,WIN,spin,no,24.61469387755102,12.842448979591836
2,1599,624,WIN,9,268,-208,DBL Powell,M Muralitharan,11,6,19,6.79,785,33.75,Right-hand bat,220,104,3,39708.4,21.9,54.4,rob,0,WIN,spin,no,24.61469387755102,12.842448979591836
2,1600,625,WIN,9,268,-208,DBL Powell,M Muralitharan,11,6,20,6.79,785,33.75,Right-hand bat,221,104,3,39708.4,21.9,54.4,rob,0,WIN,spin,no,24.61469387755102,12.842448979591836
2,1601,626,WIN,9,268,-208,DBL Powell,M Muralitharan,11,6,21,6.79,785,33.75,Right-hand bat,222,104,3,39708.4,21.9,54.4,rob,0,WIN,spin,no,24.61469387755102,12.842448979591836
2,1602,627,WIN,9,268,-208,DBL Powell,M Muralitharan,11,6,22,6.79,785,33.75,Right-hand bat,223,104,3,39708.4,21.9,54.4,rob,0,WIN,spin,no,24.61469387755102,12.842448979591836
2,1621,646,WIN,9,270,-206,DBL Powell,M Muralitharan,11,7,27,6.79,785,33.75,Right-hand bat,230,104,3,39708.4,21.9,54.4,rob,0,WIN,spin,no,24.61469387755102,12.842448979591836
2,1622,647,WIN,9,270,-206,DBL Powell,M Muralitharan,11,7,28,6.79,785,33.75,Right-hand bat,231,104,3,39708.4,21.9,54.4,rob,1,WIN,spin,no,24.61469387755102,12.842448979591836
2,1624,649,WIN,9,272,-204,DBL Powell,M Muralitharan,11,8,29,6.79,785,33.75,Right-hand bat,233,106,3,39708.4,21.9,54.4,rob,0,WIN,spin,no,24.61469387755102,12.842448979591836
2,1625,650,WIN,9,272,-204,DBL Powell,M Muralitharan,11,8,30,6.79,785,33.75,Right-hand bat,234,106,3,39708.4,21.9,54.4,rob,0,WIN,spin,no,24.61469387755102,12.842448979591836
2,1626,651,WIN,9,272,-204,DBL Powell,M Muralitharan,11,8,31,6.79,785,33.75,Right-hand bat,235,106,3,39708.4,21.9,54.4,rob,0,WIN,spin,no,24.61469387755102,12.842448979591836
2,1637,662,WIN,9,276,-200,DBL Powell,M Muralitharan,11,8,34,6.79,785,33.75,Right-hand bat,240,109,3,39708.4,21.9,54.4,rob,3,WIN,spin,no,24.61469387755102,12.842448979591836
