innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,2,2,AUS,0,1,1,SM Katich,DBL Powell,2,0,0,39.47,3233,48.84,Left-hand bat,2,0,0,6042.3,47.28,82.8,rfm,0,WIN,seam,no,27.44326530612245,9.499591836734693
1,3,3,AUS,0,1,1,SM Katich,DBL Powell,2,0,1,39.47,3233,48.84,Left-hand bat,3,0,0,6042.3,47.28,82.8,rfm,1lb,WIN,seam,no,27.44326530612245,9.499591836734693
1,12,12,AUS,0,11,11,SM Katich,DBL Powell,2,3,6,39.47,3233,48.84,Left-hand bat,6,0,0,6042.3,47.28,82.8,rfm,0,WIN,seam,no,27.44326530612245,9.499591836734693
1,13,13,AUS,0,11,11,SM Katich,DBL Powell,2,3,7,39.47,3233,48.84,Left-hand bat,7,0,0,6042.3,47.28,82.8,rfm,0,WIN,seam,no,27.44326530612245,9.499591836734693
1,14,14,AUS,0,11,11,SM Katich,DBL Powell,2,3,8,39.47,3233,48.84,Left-hand bat,8,0,0,6042.3,47.28,82.8,rfm,0,WIN,seam,no,27.44326530612245,9.499591836734693
1,15,15,AUS,0,11,11,SM Katich,DBL Powell,2,3,9,39.47,3233,48.84,Left-hand bat,9,0,0,6042.3,47.28,82.8,rfm,0,WIN,seam,no,27.44326530612245,9.499591836734693
1,16,16,AUS,0,11,11,SM Katich,DBL Powell,2,3,10,39.47,3233,48.84,Left-hand bat,10,0,0,6042.3,47.28,82.8,rfm,0,WIN,seam,no,27.44326530612245,9.499591836734693
1,17,17,AUS,0,11,11,SM Katich,DBL Powell,2,3,11,39.47,3233,48.84,Left-hand bat,11,0,0,6042.3,47.28,82.8,rfm,0,WIN,seam,no,27.44326530612245,9.499591836734693
1,36,36,AUS,0,31,31,SM Katich,DBL Powell,2,6,16,39.47,3233,48.84,Left-hand bat,18,12,0,6042.3,47.28,82.8,rfm,0,WIN,seam,no,27.44326530612245,9.499591836734693
1,37,37,AUS,0,31,31,SM Katich,DBL Powell,2,6,17,39.47,3233,48.84,Left-hand bat,19,12,0,6042.3,47.28,82.8,rfm,0,WIN,seam,no,27.44326530612245,9.499591836734693
1,38,38,AUS,0,31,31,SM Katich,DBL Powell,2,6,18,39.47,3233,48.84,Left-hand bat,20,12,0,6042.3,47.28,82.8,rfm,0,WIN,seam,no,27.44326530612245,9.499591836734693
1,39,39,AUS,0,31,31,SM Katich,DBL Powell,2,6,19,39.47,3233,48.84,Left-hand bat,21,12,0,6042.3,47.28,82.8,rfm,0,WIN,seam,no,27.44326530612245,9.499591836734693
1,40,40,AUS,0,31,31,SM Katich,DBL Powell,2,6,20,39.47,3233,48.84,Left-hand bat,22,12,0,6042.3,47.28,82.8,rfm,0,WIN,seam,no,27.44326530612245,9.499591836734693
1,41,41,AUS,0,31,31,SM Katich,DBL Powell,2,6,21,39.47,3233,48.84,Left-hand bat,23,12,0,6042.3,47.28,82.8,rfm,0,WIN,seam,no,27.44326530612245,9.499591836734693
1,69,69,AUS,1,51,51,SM Katich,DBL Powell,2,15,31,39.47,3233,48.84,Left-hand bat,27,15,0,6042.3,47.28,82.8,rfm,1,WIN,seam,no,27.44326530612245,9.499591836734693
1,90,90,AUS,1,57,57,SM Katich,DBL Powell,2,18,39,39.47,3233,48.84,Left-hand bat,36,18,0,6042.3,47.28,82.8,rfm,1,WIN,seam,no,27.44326530612245,9.499591836734693
1,95,95,AUS,1,71,71,SM Katich,DBL Powell,2,19,40,39.47,3233,48.84,Left-hand bat,41,32,0,6042.3,47.28,82.8,rfm,4,WIN,seam,no,27.44326530612245,9.499591836734693
