innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,334,1,RSA,0,1,-191,GC Smith,Mashrafe Mortaza,2,0,0,46.8,8115,60.55,Left-hand bat,1,1,0,4842.5,40.24,73.4,rfm,0,BAN,seam,no,17.119999999999997,4.279999999999999
2,335,2,RSA,0,1,-191,GC Smith,Mashrafe Mortaza,2,0,1,46.8,8115,60.55,Left-hand bat,2,1,0,4842.5,40.24,73.4,rfm,4,BAN,seam,no,17.119999999999997,4.279999999999999
2,336,3,RSA,0,5,-187,GC Smith,Mashrafe Mortaza,2,4,2,46.8,8115,60.55,Left-hand bat,3,5,0,4842.5,40.24,73.4,rfm,0,BAN,seam,no,17.119999999999997,4.279999999999999
2,337,4,RSA,0,5,-187,GC Smith,Mashrafe Mortaza,2,4,3,46.8,8115,60.55,Left-hand bat,4,5,0,4842.5,40.24,73.4,rfm,2,BAN,seam,no,17.119999999999997,4.279999999999999
2,338,5,RSA,0,7,-185,GC Smith,Mashrafe Mortaza,2,6,4,46.8,8115,60.55,Left-hand bat,5,7,0,4842.5,40.24,73.4,rfm,2,BAN,seam,no,17.119999999999997,4.279999999999999
2,345,12,RSA,0,9,-183,GC Smith,Mashrafe Mortaza,2,8,5,46.8,8115,60.55,Left-hand bat,6,9,0,4842.5,40.24,73.4,rfm,0,BAN,seam,no,17.119999999999997,4.279999999999999
2,346,13,RSA,0,9,-183,GC Smith,Mashrafe Mortaza,2,8,6,46.8,8115,60.55,Left-hand bat,7,9,0,4842.5,40.24,73.4,rfm,0,BAN,seam,no,17.119999999999997,4.279999999999999
2,347,14,RSA,0,9,-183,GC Smith,Mashrafe Mortaza,2,8,7,46.8,8115,60.55,Left-hand bat,8,9,0,4842.5,40.24,73.4,rfm,0,BAN,seam,no,17.119999999999997,4.279999999999999
2,348,15,RSA,0,9,-183,GC Smith,Mashrafe Mortaza,2,8,8,46.8,8115,60.55,Left-hand bat,9,9,0,4842.5,40.24,73.4,rfm,2,BAN,seam,no,17.119999999999997,4.279999999999999
2,349,16,RSA,0,11,-181,GC Smith,Mashrafe Mortaza,2,10,9,46.8,8115,60.55,Left-hand bat,10,11,0,4842.5,40.24,73.4,rfm,0,BAN,seam,no,17.119999999999997,4.279999999999999
2,350,17,RSA,0,11,-181,GC Smith,Mashrafe Mortaza,2,10,10,46.8,8115,60.55,Left-hand bat,11,11,0,4842.5,40.24,73.4,rfm,0,BAN,seam,no,17.119999999999997,4.279999999999999
