innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,47,47,IND,4,30,30,MS Dhoni,M Ntini,6,0,0,33.8,2196,63.11,Right-hand bat,21,12,3,17730.1,27.78,51.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
1,48,48,IND,4,30,30,MS Dhoni,M Ntini,6,0,1,33.8,2196,63.11,Right-hand bat,22,12,3,17730.1,27.78,51.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
1,49,49,IND,4,30,30,MS Dhoni,M Ntini,6,0,2,33.8,2196,63.11,Right-hand bat,23,12,3,17730.1,27.78,51.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
1,58,58,IND,4,32,32,MS Dhoni,M Ntini,6,0,4,33.8,2196,63.11,Right-hand bat,26,12,3,17730.1,27.78,51.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
1,59,59,IND,4,32,32,MS Dhoni,M Ntini,6,0,5,33.8,2196,63.11,Right-hand bat,27,12,3,17730.1,27.78,51.6,rf,4,IND,seam,yes,25.868312757201647,7.390946502057613
1,60,60,IND,4,36,36,MS Dhoni,M Ntini,6,4,6,33.8,2196,63.11,Right-hand bat,28,16,3,17730.1,27.78,51.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
1,61,61,IND,4,36,36,MS Dhoni,M Ntini,6,4,7,33.8,2196,63.11,Right-hand bat,29,16,3,17730.1,27.78,51.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
1,68,68,IND,4,40,40,MS Dhoni,M Ntini,6,4,8,33.8,2196,63.11,Right-hand bat,30,16,3,17730.1,27.78,51.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
1,69,69,IND,4,40,40,MS Dhoni,M Ntini,6,4,9,33.8,2196,63.11,Right-hand bat,31,16,3,17730.1,27.78,51.6,rf,2,IND,seam,yes,25.868312757201647,7.390946502057613
1,70,70,IND,4,42,42,MS Dhoni,M Ntini,6,6,10,33.8,2196,63.11,Right-hand bat,32,18,3,17730.1,27.78,51.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
1,71,71,IND,4,42,42,MS Dhoni,M Ntini,6,6,11,33.8,2196,63.11,Right-hand bat,33,18,3,17730.1,27.78,51.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
1,72,72,IND,4,42,42,MS Dhoni,M Ntini,6,6,12,33.8,2196,63.11,Right-hand bat,34,18,3,17730.1,27.78,51.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
1,73,73,IND,4,42,42,MS Dhoni,M Ntini,6,6,13,33.8,2196,63.11,Right-hand bat,35,18,3,17730.1,27.78,51.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
