innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,310,310,ENG,1,206,206,RS Bopara,BW Hilfenhaus,3,10,7,39.83,875,54.62,Right-hand bat,86,30,0,1302,40.75,81.3,rfm,0,ENG,seam,yes,29.3179012345679,8.376543209876543
1,311,311,ENG,1,206,206,RS Bopara,BW Hilfenhaus,3,10,8,39.83,875,54.62,Right-hand bat,87,30,0,1302,40.75,81.3,rfm,4,ENG,seam,yes,29.3179012345679,8.376543209876543
1,312,312,ENG,1,210,210,RS Bopara,BW Hilfenhaus,3,14,9,39.83,875,54.62,Right-hand bat,88,34,0,1302,40.75,81.3,rfm,0,ENG,seam,yes,29.3179012345679,8.376543209876543
1,313,313,ENG,1,210,210,RS Bopara,BW Hilfenhaus,3,14,10,39.83,875,54.62,Right-hand bat,89,34,0,1302,40.75,81.3,rfm,0,ENG,seam,yes,29.3179012345679,8.376543209876543
1,314,314,ENG,1,210,210,RS Bopara,BW Hilfenhaus,3,14,11,39.83,875,54.62,Right-hand bat,90,34,0,1302,40.75,81.3,rfm,0,ENG,seam,yes,29.3179012345679,8.376543209876543
1,315,315,ENG,1,210,210,RS Bopara,BW Hilfenhaus,3,14,12,39.83,875,54.62,Right-hand bat,91,34,0,1302,40.75,81.3,rfm,0,ENG,seam,yes,29.3179012345679,8.376543209876543
1,322,322,ENG,1,218,218,RS Bopara,BW Hilfenhaus,3,14,13,39.83,875,54.62,Right-hand bat,92,34,0,1302,40.75,81.3,rfm,0,ENG,seam,yes,29.3179012345679,8.376543209876543
1,323,323,ENG,1,218,218,RS Bopara,BW Hilfenhaus,3,14,14,39.83,875,54.62,Right-hand bat,93,34,0,1302,40.75,81.3,rfm,4,ENG,seam,yes,29.3179012345679,8.376543209876543
1,324,324,ENG,1,222,222,RS Bopara,BW Hilfenhaus,3,18,15,39.83,875,54.62,Right-hand bat,94,38,0,1302,40.75,81.3,rfm,0,ENG,seam,yes,29.3179012345679,8.376543209876543
1,325,325,ENG,1,222,222,RS Bopara,BW Hilfenhaus,3,18,16,39.83,875,54.62,Right-hand bat,95,38,0,1302,40.75,81.3,rfm,0,ENG,seam,yes,29.3179012345679,8.376543209876543
1,326,326,ENG,1,222,222,RS Bopara,BW Hilfenhaus,3,18,17,39.83,875,54.62,Right-hand bat,96,38,0,1302,40.75,81.3,rfm,0,ENG,seam,yes,29.3179012345679,8.376543209876543
1,327,327,ENG,1,222,222,RS Bopara,BW Hilfenhaus,3,18,18,39.83,875,54.62,Right-hand bat,97,38,0,1302,40.75,81.3,rfm,W,ENG,seam,yes,29.3179012345679,8.376543209876543
