innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,940,513,ENG,7,323,60,SCJ Broad,BW Hilfenhaus,8,21,33,30.33,1063,59.92,Left-hand bat,154,82,3,1482,38.05,74.1,rfm,0,ENG,seam,no,35.692800000000005,4.8672
2,941,514,ENG,7,323,60,SCJ Broad,BW Hilfenhaus,8,21,34,30.33,1063,59.92,Left-hand bat,155,82,3,1482,38.05,74.1,rfm,0,ENG,seam,no,35.692800000000005,4.8672
2,942,515,ENG,7,323,60,SCJ Broad,BW Hilfenhaus,8,21,35,30.33,1063,59.92,Left-hand bat,156,82,3,1482,38.05,74.1,rfm,0,ENG,seam,no,35.692800000000005,4.8672
2,943,516,ENG,7,323,60,SCJ Broad,BW Hilfenhaus,8,21,36,30.33,1063,59.92,Left-hand bat,157,82,3,1482,38.05,74.1,rfm,0,ENG,seam,no,35.692800000000005,4.8672
2,944,517,ENG,7,323,60,SCJ Broad,BW Hilfenhaus,8,21,37,30.33,1063,59.92,Left-hand bat,158,82,3,1482,38.05,74.1,rfm,0,ENG,seam,no,35.692800000000005,4.8672
2,945,518,ENG,7,323,60,SCJ Broad,BW Hilfenhaus,8,21,38,30.33,1063,59.92,Left-hand bat,159,82,3,1482,38.05,74.1,rfm,0,ENG,seam,no,35.692800000000005,4.8672
2,954,527,ENG,7,333,70,SCJ Broad,BW Hilfenhaus,8,25,43,30.33,1063,59.92,Left-hand bat,162,87,3,1482,38.05,74.1,rfm,4,ENG,seam,no,35.692800000000005,4.8672
2,955,528,ENG,7,337,74,SCJ Broad,BW Hilfenhaus,8,29,44,30.33,1063,59.92,Left-hand bat,163,91,3,1482,38.05,74.1,rfm,0,ENG,seam,no,35.692800000000005,4.8672
2,956,529,ENG,7,337,74,SCJ Broad,BW Hilfenhaus,8,29,45,30.33,1063,59.92,Left-hand bat,164,91,3,1482,38.05,74.1,rfm,2,ENG,seam,no,35.692800000000005,4.8672
2,957,530,ENG,7,339,76,SCJ Broad,BW Hilfenhaus,8,31,46,30.33,1063,59.92,Left-hand bat,165,93,3,1482,38.05,74.1,rfm,0,ENG,seam,no,35.692800000000005,4.8672
2,965,538,ENG,8,354,91,SCJ Broad,BW Hilfenhaus,8,36,49,30.33,1063,59.92,Left-hand bat,166,93,3,1482,38.05,74.1,rfm,1,ENG,seam,no,35.692800000000005,4.8672
2,978,551,ENG,9,361,98,SCJ Broad,BW Hilfenhaus,8,42,53,30.33,1063,59.92,Left-hand bat,172,94,4,1482,38.05,74.1,rfm,0,ENG,seam,no,35.692800000000005,4.8672
2,979,552,ENG,9,361,98,SCJ Broad,BW Hilfenhaus,8,42,54,30.33,1063,59.92,Left-hand bat,173,94,4,1482,38.05,74.1,rfm,0,ENG,seam,no,35.692800000000005,4.8672
2,980,553,ENG,9,361,98,SCJ Broad,BW Hilfenhaus,8,42,55,30.33,1063,59.92,Left-hand bat,174,94,4,1482,38.05,74.1,rfm,0,ENG,seam,no,35.692800000000005,4.8672
2,981,554,ENG,9,361,98,SCJ Broad,BW Hilfenhaus,8,42,56,30.33,1063,59.92,Left-hand bat,175,94,4,1482,38.05,74.1,rfm,0,ENG,seam,no,35.692800000000005,4.8672
2,982,555,ENG,9,361,98,SCJ Broad,BW Hilfenhaus,8,42,57,30.33,1063,59.92,Left-hand bat,176,94,4,1482,38.05,74.1,rfm,0,ENG,seam,no,35.692800000000005,4.8672
2,983,556,ENG,9,361,98,SCJ Broad,BW Hilfenhaus,8,42,58,30.33,1063,59.92,Left-hand bat,177,94,4,1482,38.05,74.1,rfm,4,ENG,seam,no,35.692800000000005,4.8672
2,990,563,ENG,9,365,102,SCJ Broad,BW Hilfenhaus,8,46,59,30.33,1063,59.92,Left-hand bat,178,98,4,1482,38.05,74.1,rfm,1,ENG,seam,no,35.692800000000005,4.8672
2,993,566,ENG,9,367,104,SCJ Broad,BW Hilfenhaus,8,47,60,30.33,1063,59.92,Left-hand bat,181,100,4,1482,38.05,74.1,rfm,0,ENG,seam,no,35.692800000000005,4.8672
2,994,567,ENG,9,367,104,SCJ Broad,BW Hilfenhaus,8,47,61,30.33,1063,59.92,Left-hand bat,182,100,4,1482,38.05,74.1,rfm,4,ENG,seam,no,35.692800000000005,4.8672
2,995,568,ENG,9,371,108,SCJ Broad,BW Hilfenhaus,8,51,62,30.33,1063,59.92,Left-hand bat,183,104,4,1482,38.05,74.1,rfm,4,ENG,seam,no,35.692800000000005,4.8672
