innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,618,618,RSA,5,365,365,MV Boucher,Shakib Al Hasan,7,0,0,29.84,8799,49.85,Right-hand bat,165,99,2,1452.4,34.55,80.8,lo,0,RSA,spin,no,19.243333333333336,5.0200000000000005
1,619,619,RSA,5,365,365,MV Boucher,Shakib Al Hasan,7,0,1,29.84,8799,49.85,Right-hand bat,166,99,2,1452.4,34.55,80.8,lo,0,RSA,spin,no,19.243333333333336,5.0200000000000005
1,620,620,RSA,5,365,365,MV Boucher,Shakib Al Hasan,7,0,2,29.84,8799,49.85,Right-hand bat,167,99,2,1452.4,34.55,80.8,lo,0,RSA,spin,no,19.243333333333336,5.0200000000000005
1,627,627,RSA,5,371,371,MV Boucher,Shakib Al Hasan,7,0,5,29.84,8799,49.85,Right-hand bat,168,99,2,1452.4,34.55,80.8,lo,0,RSA,spin,no,19.243333333333336,5.0200000000000005
1,628,628,RSA,5,371,371,MV Boucher,Shakib Al Hasan,7,0,6,29.84,8799,49.85,Right-hand bat,169,99,2,1452.4,34.55,80.8,lo,1,RSA,spin,no,19.243333333333336,5.0200000000000005
1,631,631,RSA,5,373,373,MV Boucher,Shakib Al Hasan,7,1,7,29.84,8799,49.85,Right-hand bat,172,101,2,1452.4,34.55,80.8,lo,0,RSA,spin,no,19.243333333333336,5.0200000000000005
1,632,632,RSA,5,373,373,MV Boucher,Shakib Al Hasan,7,1,8,29.84,8799,49.85,Right-hand bat,173,101,2,1452.4,34.55,80.8,lo,0,RSA,spin,no,19.243333333333336,5.0200000000000005
1,645,645,RSA,5,380,380,MV Boucher,Shakib Al Hasan,7,1,14,29.84,8799,49.85,Right-hand bat,179,102,2,1452.4,34.55,80.8,lo,0,RSA,spin,no,19.243333333333336,5.0200000000000005
1,652,652,RSA,5,382,382,MV Boucher,Shakib Al Hasan,7,2,16,29.84,8799,49.85,Right-hand bat,180,102,2,1452.4,34.55,80.8,lo,1,RSA,spin,no,19.243333333333336,5.0200000000000005
1,654,654,RSA,5,384,384,MV Boucher,Shakib Al Hasan,7,3,17,29.84,8799,49.85,Right-hand bat,182,104,2,1452.4,34.55,80.8,lo,2,RSA,spin,no,19.243333333333336,5.0200000000000005
1,655,655,RSA,5,386,386,MV Boucher,Shakib Al Hasan,7,5,18,29.84,8799,49.85,Right-hand bat,183,106,2,1452.4,34.55,80.8,lo,0,RSA,spin,no,19.243333333333336,5.0200000000000005
1,656,656,RSA,5,386,386,MV Boucher,Shakib Al Hasan,7,5,19,29.84,8799,49.85,Right-hand bat,184,106,2,1452.4,34.55,80.8,lo,1,RSA,spin,no,19.243333333333336,5.0200000000000005
1,664,664,RSA,5,390,390,MV Boucher,Shakib Al Hasan,7,7,22,29.84,8799,49.85,Right-hand bat,186,108,2,1452.4,34.55,80.8,lo,0,RSA,spin,no,19.243333333333336,5.0200000000000005
1,665,665,RSA,5,390,390,MV Boucher,Shakib Al Hasan,7,7,23,29.84,8799,49.85,Right-hand bat,187,108,2,1452.4,34.55,80.8,lo,0,RSA,spin,no,19.243333333333336,5.0200000000000005
1,666,666,RSA,5,390,390,MV Boucher,Shakib Al Hasan,7,7,24,29.84,8799,49.85,Right-hand bat,188,108,2,1452.4,34.55,80.8,lo,0,RSA,spin,no,19.243333333333336,5.0200000000000005
1,667,667,RSA,5,390,390,MV Boucher,Shakib Al Hasan,7,7,25,29.84,8799,49.85,Right-hand bat,189,108,2,1452.4,34.55,80.8,lo,2,RSA,spin,no,19.243333333333336,5.0200000000000005
1,668,668,RSA,5,392,392,MV Boucher,Shakib Al Hasan,7,9,26,29.84,8799,49.85,Right-hand bat,190,110,2,1452.4,34.55,80.8,lo,1,RSA,spin,no,19.243333333333336,5.0200000000000005
1,676,676,RSA,5,404,404,MV Boucher,Shakib Al Hasan,7,15,32,29.84,8799,49.85,Right-hand bat,192,117,2,1452.4,34.55,80.8,lo,0,RSA,spin,no,19.243333333333336,5.0200000000000005
1,677,677,RSA,5,404,404,MV Boucher,Shakib Al Hasan,7,15,33,29.84,8799,49.85,Right-hand bat,193,117,2,1452.4,34.55,80.8,lo,W,RSA,spin,no,19.243333333333336,5.0200000000000005
