innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,826,63,RSA,2,17,-449,ND McKenzie,PM Siddle,1,3,31,37.9,7663,42.04,Right-hand bat,15,10,0,1404.4,28.43,61.2,rfm,0,RSA,seam,no,26.640000000000004,2.96
2,827,64,RSA,2,17,-449,ND McKenzie,PM Siddle,1,3,32,37.9,7663,42.04,Right-hand bat,16,10,0,1404.4,28.43,61.2,rfm,0,RSA,seam,no,26.640000000000004,2.96
2,828,65,RSA,2,17,-449,ND McKenzie,PM Siddle,1,3,33,37.9,7663,42.04,Right-hand bat,17,10,0,1404.4,28.43,61.2,rfm,0,RSA,seam,no,26.640000000000004,2.96
2,829,66,RSA,2,17,-449,ND McKenzie,PM Siddle,1,3,34,37.9,7663,42.04,Right-hand bat,18,10,0,1404.4,28.43,61.2,rfm,0,RSA,seam,no,26.640000000000004,2.96
2,836,73,RSA,2,17,-449,ND McKenzie,PM Siddle,1,3,35,37.9,7663,42.04,Right-hand bat,19,10,0,1404.4,28.43,61.2,rfm,0,RSA,seam,no,26.640000000000004,2.96
2,837,74,RSA,2,17,-449,ND McKenzie,PM Siddle,1,3,36,37.9,7663,42.04,Right-hand bat,20,10,0,1404.4,28.43,61.2,rfm,0,RSA,seam,no,26.640000000000004,2.96
2,838,75,RSA,2,17,-449,ND McKenzie,PM Siddle,1,3,37,37.9,7663,42.04,Right-hand bat,21,10,0,1404.4,28.43,61.2,rfm,0,RSA,seam,no,26.640000000000004,2.96
2,839,76,RSA,2,17,-449,ND McKenzie,PM Siddle,1,3,38,37.9,7663,42.04,Right-hand bat,22,10,0,1404.4,28.43,61.2,rfm,4,RSA,seam,no,26.640000000000004,2.96
2,840,77,RSA,2,21,-445,ND McKenzie,PM Siddle,1,7,39,37.9,7663,42.04,Right-hand bat,23,14,0,1404.4,28.43,61.2,rfm,0,RSA,seam,no,26.640000000000004,2.96
2,841,78,RSA,2,21,-445,ND McKenzie,PM Siddle,1,7,40,37.9,7663,42.04,Right-hand bat,24,14,0,1404.4,28.43,61.2,rfm,4,RSA,seam,no,26.640000000000004,2.96
2,868,105,RSA,3,50,-416,ND McKenzie,PM Siddle,1,15,55,37.9,7663,42.04,Right-hand bat,33,32,1,1404.4,28.43,61.2,rfm,0,RSA,seam,no,26.640000000000004,2.96
2,869,106,RSA,3,50,-416,ND McKenzie,PM Siddle,1,15,56,37.9,7663,42.04,Right-hand bat,34,32,1,1404.4,28.43,61.2,rfm,1,RSA,seam,no,26.640000000000004,2.96
2,883,120,RSA,3,56,-410,ND McKenzie,PM Siddle,1,17,59,37.9,7663,42.04,Right-hand bat,42,34,1,1404.4,28.43,61.2,rfm,0,RSA,seam,no,26.640000000000004,2.96
2,893,130,RSA,3,58,-408,ND McKenzie,PM Siddle,1,17,62,37.9,7663,42.04,Right-hand bat,46,35,1,1404.4,28.43,61.2,rfm,0,RSA,seam,no,26.640000000000004,2.96
2,894,131,RSA,3,58,-408,ND McKenzie,PM Siddle,1,17,63,37.9,7663,42.04,Right-hand bat,47,35,1,1404.4,28.43,61.2,rfm,0,RSA,seam,no,26.640000000000004,2.96
2,895,132,RSA,3,58,-408,ND McKenzie,PM Siddle,1,17,64,37.9,7663,42.04,Right-hand bat,48,35,1,1404.4,28.43,61.2,rfm,0,RSA,seam,no,26.640000000000004,2.96
2,903,140,RSA,3,60,-406,ND McKenzie,PM Siddle,1,17,66,37.9,7663,42.04,Right-hand bat,50,36,1,1404.4,28.43,61.2,rfm,0,RSA,seam,no,26.640000000000004,2.96
2,904,141,RSA,3,60,-406,ND McKenzie,PM Siddle,1,17,67,37.9,7663,42.04,Right-hand bat,51,36,1,1404.4,28.43,61.2,rfm,0,RSA,seam,no,26.640000000000004,2.96
2,905,142,RSA,3,60,-406,ND McKenzie,PM Siddle,1,17,68,37.9,7663,42.04,Right-hand bat,52,36,1,1404.4,28.43,61.2,rfm,3,RSA,seam,no,26.640000000000004,2.96
2,992,229,RSA,3,85,-381,ND McKenzie,PM Siddle,1,35,117,37.9,7663,42.04,Right-hand bat,55,39,1,1404.4,28.43,61.2,rfm,0,RSA,seam,no,26.640000000000004,2.96
2,993,230,RSA,3,85,-381,ND McKenzie,PM Siddle,1,35,118,37.9,7663,42.04,Right-hand bat,56,39,1,1404.4,28.43,61.2,rfm,0,RSA,seam,no,26.640000000000004,2.96
2,994,231,RSA,3,85,-381,ND McKenzie,PM Siddle,1,35,119,37.9,7663,42.04,Right-hand bat,57,39,1,1404.4,28.43,61.2,rfm,1,RSA,seam,no,26.640000000000004,2.96
2,997,234,RSA,3,87,-379,ND McKenzie,PM Siddle,1,36,120,37.9,7663,42.04,Right-hand bat,60,41,1,1404.4,28.43,61.2,rfm,0,RSA,seam,no,26.640000000000004,2.96
2,1008,245,RSA,3,93,-373,ND McKenzie,PM Siddle,1,36,124,37.9,7663,42.04,Right-hand bat,65,46,1,1404.4,28.43,61.2,rfm,W,RSA,seam,no,26.640000000000004,2.96
