innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,49,49,IND,0,27,27,M Vijay,MJ Santner,2,6,23,41.46,5964,46.57,Right-hand bat,1,1,0,1356.3,30.55,67.9,lo,1,IND,spin,yes,7.791020408163266,26.294693877551023
1,53,53,IND,0,31,31,M Vijay,MJ Santner,2,7,24,41.46,5964,46.57,Right-hand bat,5,5,0,1356.3,30.55,67.9,lo,2,IND,spin,yes,7.791020408163266,26.294693877551023
1,60,60,IND,0,35,35,M Vijay,MJ Santner,2,9,25,41.46,5964,46.57,Right-hand bat,6,7,0,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,61,61,IND,0,35,35,M Vijay,MJ Santner,2,9,26,41.46,5964,46.57,Right-hand bat,7,7,0,1356.3,30.55,67.9,lo,1,IND,spin,yes,7.791020408163266,26.294693877551023
1,96,96,IND,1,53,53,M Vijay,MJ Santner,2,16,42,41.46,5964,46.57,Right-hand bat,24,18,1,1356.3,30.55,67.9,lo,1,IND,spin,yes,7.791020408163266,26.294693877551023
1,98,98,IND,1,55,55,M Vijay,MJ Santner,2,17,43,41.46,5964,46.57,Right-hand bat,26,20,1,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,99,99,IND,1,55,55,M Vijay,MJ Santner,2,17,44,41.46,5964,46.57,Right-hand bat,27,20,1,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,100,100,IND,1,55,55,M Vijay,MJ Santner,2,17,45,41.46,5964,46.57,Right-hand bat,28,20,1,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,101,101,IND,1,55,55,M Vijay,MJ Santner,2,17,46,41.46,5964,46.57,Right-hand bat,29,20,1,1356.3,30.55,67.9,lo,2,IND,spin,yes,7.791020408163266,26.294693877551023
1,108,108,IND,1,57,57,M Vijay,MJ Santner,2,19,47,41.46,5964,46.57,Right-hand bat,30,22,1,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,109,109,IND,1,57,57,M Vijay,MJ Santner,2,19,48,41.46,5964,46.57,Right-hand bat,31,22,1,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,110,110,IND,1,57,57,M Vijay,MJ Santner,2,19,49,41.46,5964,46.57,Right-hand bat,32,22,1,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,111,111,IND,1,57,57,M Vijay,MJ Santner,2,19,50,41.46,5964,46.57,Right-hand bat,33,22,1,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,112,112,IND,1,57,57,M Vijay,MJ Santner,2,19,51,41.46,5964,46.57,Right-hand bat,34,22,1,1356.3,30.55,67.9,lo,4,IND,spin,yes,7.791020408163266,26.294693877551023
1,113,113,IND,1,61,61,M Vijay,MJ Santner,2,23,52,41.46,5964,46.57,Right-hand bat,35,26,1,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,125,125,IND,1,67,67,M Vijay,MJ Santner,2,23,56,41.46,5964,46.57,Right-hand bat,41,27,1,1356.3,30.55,67.9,lo,2,IND,spin,yes,7.791020408163266,26.294693877551023
1,132,132,IND,1,75,75,M Vijay,MJ Santner,2,26,60,41.46,5964,46.57,Right-hand bat,42,29,1,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,133,133,IND,1,75,75,M Vijay,MJ Santner,2,26,61,41.46,5964,46.57,Right-hand bat,43,29,1,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,134,134,IND,1,75,75,M Vijay,MJ Santner,2,26,62,41.46,5964,46.57,Right-hand bat,44,29,1,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,135,135,IND,1,75,75,M Vijay,MJ Santner,2,26,63,41.46,5964,46.57,Right-hand bat,45,29,1,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,136,136,IND,1,75,75,M Vijay,MJ Santner,2,26,64,41.46,5964,46.57,Right-hand bat,46,29,1,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,137,137,IND,1,75,75,M Vijay,MJ Santner,2,26,65,41.46,5964,46.57,Right-hand bat,47,29,1,1356.3,30.55,67.9,lo,4,IND,spin,yes,7.791020408163266,26.294693877551023
1,252,252,IND,1,137,137,M Vijay,MJ Santner,2,51,123,41.46,5964,46.57,Right-hand bat,48,33,1,1356.3,30.55,67.9,lo,1,IND,spin,yes,7.791020408163266,26.294693877551023
1,266,266,IND,1,145,145,M Vijay,MJ Santner,2,52,130,41.46,5964,46.57,Right-hand bat,56,41,1,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,267,267,IND,1,145,145,M Vijay,MJ Santner,2,52,131,41.46,5964,46.57,Right-hand bat,57,41,1,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,268,268,IND,1,145,145,M Vijay,MJ Santner,2,52,132,41.46,5964,46.57,Right-hand bat,58,41,1,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,269,269,IND,1,145,145,M Vijay,MJ Santner,2,52,133,41.46,5964,46.57,Right-hand bat,59,41,1,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,276,276,IND,1,147,147,M Vijay,MJ Santner,2,52,134,41.46,5964,46.57,Right-hand bat,60,41,1,1356.3,30.55,67.9,lo,1lb,IND,spin,yes,7.791020408163266,26.294693877551023
1,280,280,IND,1,149,149,M Vijay,MJ Santner,2,52,135,41.46,5964,46.57,Right-hand bat,64,42,1,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,281,281,IND,1,149,149,M Vijay,MJ Santner,2,52,136,41.46,5964,46.57,Right-hand bat,65,42,1,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,289,289,IND,1,153,153,M Vijay,MJ Santner,2,54,142,41.46,5964,46.57,Right-hand bat,67,43,1,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,290,290,IND,1,153,153,M Vijay,MJ Santner,2,54,143,41.46,5964,46.57,Right-hand bat,68,43,1,1356.3,30.55,67.9,lo,1,IND,spin,yes,7.791020408163266,26.294693877551023
1,305,305,IND,2,163,163,M Vijay,MJ Santner,2,59,150,41.46,5964,46.57,Right-hand bat,77,49,2,1356.3,30.55,67.9,lo,0,IND,spin,yes,7.791020408163266,26.294693877551023
1,324,324,IND,3,179,179,M Vijay,MJ Santner,2,64,158,41.46,5964,46.57,Right-hand bat,84,55,2,1356.3,30.55,67.9,lo,1,IND,spin,yes,7.791020408163266,26.294693877551023
