innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1814,437,AUS,4,157,-285,BJ Haddin,JA Morkel,6,0,7,37.54,1694,53.18,Right-hand bat,63,39,0,192,132,192,rmf,0,RSA,seam,yes,27.064444444444447,15.668888888888889
3,1815,438,AUS,4,157,-285,BJ Haddin,JA Morkel,6,0,8,37.54,1694,53.18,Right-hand bat,64,39,0,192,132,192,rmf,0,RSA,seam,yes,27.064444444444447,15.668888888888889
3,1816,439,AUS,4,157,-285,BJ Haddin,JA Morkel,6,0,9,37.54,1694,53.18,Right-hand bat,65,39,0,192,132,192,rmf,0,RSA,seam,yes,27.064444444444447,15.668888888888889
3,1817,440,AUS,4,157,-285,BJ Haddin,JA Morkel,6,0,10,37.54,1694,53.18,Right-hand bat,66,39,0,192,132,192,rmf,1,RSA,seam,yes,27.064444444444447,15.668888888888889
3,1824,447,AUS,4,159,-283,BJ Haddin,JA Morkel,6,2,13,37.54,1694,53.18,Right-hand bat,67,40,0,192,132,192,rmf,0,RSA,seam,yes,27.064444444444447,15.668888888888889
3,1825,448,AUS,4,159,-283,BJ Haddin,JA Morkel,6,2,14,37.54,1694,53.18,Right-hand bat,68,40,0,192,132,192,rmf,0,RSA,seam,yes,27.064444444444447,15.668888888888889
3,1826,449,AUS,4,159,-283,BJ Haddin,JA Morkel,6,2,15,37.54,1694,53.18,Right-hand bat,69,40,0,192,132,192,rmf,2,RSA,seam,yes,27.064444444444447,15.668888888888889
3,1827,450,AUS,4,161,-281,BJ Haddin,JA Morkel,6,4,16,37.54,1694,53.18,Right-hand bat,70,42,0,192,132,192,rmf,0,RSA,seam,yes,27.064444444444447,15.668888888888889
3,1828,451,AUS,4,161,-281,BJ Haddin,JA Morkel,6,4,17,37.54,1694,53.18,Right-hand bat,71,42,0,192,132,192,rmf,4,RSA,seam,yes,27.064444444444447,15.668888888888889
3,1829,452,AUS,4,165,-277,BJ Haddin,JA Morkel,6,8,18,37.54,1694,53.18,Right-hand bat,72,46,0,192,132,192,rmf,4,RSA,seam,yes,27.064444444444447,15.668888888888889
