innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,88,88,NZL,0,45,45,AJ Redmond,MG Johnson,1,24,50,23,785,38.08,Right-hand bat,0,0,0,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,89,89,NZL,0,45,45,AJ Redmond,MG Johnson,1,24,51,23,785,38.08,Right-hand bat,1,0,0,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,90,90,NZL,0,45,45,AJ Redmond,MG Johnson,1,24,52,23,785,38.08,Right-hand bat,2,0,0,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,91,91,NZL,0,45,45,AJ Redmond,MG Johnson,1,24,53,23,785,38.08,Right-hand bat,3,0,0,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,92,92,NZL,0,45,45,AJ Redmond,MG Johnson,1,24,54,23,785,38.08,Right-hand bat,4,0,0,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,93,93,NZL,0,45,45,AJ Redmond,MG Johnson,1,24,55,23,785,38.08,Right-hand bat,5,0,0,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,100,100,NZL,0,45,45,AJ Redmond,MG Johnson,1,24,56,23,785,38.08,Right-hand bat,6,0,0,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,101,101,NZL,0,45,45,AJ Redmond,MG Johnson,1,24,57,23,785,38.08,Right-hand bat,7,0,0,3516.4,29.39,57.7,lf,1,AUS,seam,yes,23.52,10.080000000000002
1,125,125,NZL,1,60,60,AJ Redmond,MG Johnson,1,33,70,23,785,38.08,Right-hand bat,18,5,1,3516.4,29.39,57.7,lf,4,AUS,seam,yes,23.52,10.080000000000002
1,126,126,NZL,1,64,64,AJ Redmond,MG Johnson,1,37,71,23,785,38.08,Right-hand bat,19,9,1,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,127,127,NZL,1,64,64,AJ Redmond,MG Johnson,1,37,72,23,785,38.08,Right-hand bat,20,9,1,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,128,128,NZL,1,64,64,AJ Redmond,MG Johnson,1,37,73,23,785,38.08,Right-hand bat,21,9,1,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,129,129,NZL,1,64,64,AJ Redmond,MG Johnson,1,37,74,23,785,38.08,Right-hand bat,22,9,1,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,130,130,NZL,1,64,64,AJ Redmond,MG Johnson,1,37,75,23,785,38.08,Right-hand bat,23,9,1,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,150,150,NZL,1,92,92,AJ Redmond,MG Johnson,1,61,86,23,785,38.08,Right-hand bat,31,12,1,3516.4,29.39,57.7,lf,1wd,AUS,seam,yes,23.52,10.080000000000002
1,151,151,NZL,1,93,93,AJ Redmond,MG Johnson,1,61,86,23,785,38.08,Right-hand bat,32,13,1,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,152,152,NZL,1,93,93,AJ Redmond,MG Johnson,1,61,87,23,785,38.08,Right-hand bat,33,13,1,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,153,153,NZL,1,93,93,AJ Redmond,MG Johnson,1,61,88,23,785,38.08,Right-hand bat,34,13,1,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,154,154,NZL,1,93,93,AJ Redmond,MG Johnson,1,61,89,23,785,38.08,Right-hand bat,35,13,1,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,155,155,NZL,1,93,93,AJ Redmond,MG Johnson,1,61,90,23,785,38.08,Right-hand bat,36,13,1,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,162,162,NZL,1,97,97,AJ Redmond,MG Johnson,1,61,91,23,785,38.08,Right-hand bat,37,13,1,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,163,163,NZL,1,97,97,AJ Redmond,MG Johnson,1,61,92,23,785,38.08,Right-hand bat,38,13,1,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,164,164,NZL,1,97,97,AJ Redmond,MG Johnson,1,61,93,23,785,38.08,Right-hand bat,39,13,1,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,165,165,NZL,1,97,97,AJ Redmond,MG Johnson,1,61,94,23,785,38.08,Right-hand bat,40,13,1,3516.4,29.39,57.7,lf,4,AUS,seam,yes,23.52,10.080000000000002
1,166,166,NZL,1,101,101,AJ Redmond,MG Johnson,1,65,95,23,785,38.08,Right-hand bat,41,17,1,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
1,167,167,NZL,1,101,101,AJ Redmond,MG Johnson,1,65,96,23,785,38.08,Right-hand bat,42,17,1,3516.4,29.39,57.7,lf,0,AUS,seam,yes,23.52,10.080000000000002
