innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1481,550,WIN,4,324,-276,BP Nash,GP Swann,6,28,26,41.57,731,39.8,Left-hand bat,157,68,2,1284.1,30,61.1,rob,0,WIN,spin,no,50.69896193771626,45.06574394463668
2,1482,551,WIN,4,324,-276,BP Nash,GP Swann,6,28,27,41.57,731,39.8,Left-hand bat,158,68,2,1284.1,30,61.1,rob,0,WIN,spin,no,50.69896193771626,45.06574394463668
2,1483,552,WIN,4,324,-276,BP Nash,GP Swann,6,28,28,41.57,731,39.8,Left-hand bat,159,68,2,1284.1,30,61.1,rob,0,WIN,spin,no,50.69896193771626,45.06574394463668
2,1484,553,WIN,4,324,-276,BP Nash,GP Swann,6,28,29,41.57,731,39.8,Left-hand bat,160,68,2,1284.1,30,61.1,rob,1,WIN,spin,no,50.69896193771626,45.06574394463668
2,1493,562,WIN,4,330,-270,BP Nash,GP Swann,6,33,36,41.57,731,39.8,Left-hand bat,163,70,2,1284.1,30,61.1,rob,0,WIN,spin,no,50.69896193771626,45.06574394463668
2,1494,563,WIN,4,330,-270,BP Nash,GP Swann,6,33,37,41.57,731,39.8,Left-hand bat,164,70,2,1284.1,30,61.1,rob,0,WIN,spin,no,50.69896193771626,45.06574394463668
2,1495,564,WIN,4,330,-270,BP Nash,GP Swann,6,33,38,41.57,731,39.8,Left-hand bat,165,70,2,1284.1,30,61.1,rob,0,WIN,spin,no,50.69896193771626,45.06574394463668
2,1496,565,WIN,4,330,-270,BP Nash,GP Swann,6,33,39,41.57,731,39.8,Left-hand bat,166,70,2,1284.1,30,61.1,rob,0,WIN,spin,no,50.69896193771626,45.06574394463668
2,1497,566,WIN,4,330,-270,BP Nash,GP Swann,6,33,40,41.57,731,39.8,Left-hand bat,167,70,2,1284.1,30,61.1,rob,0,WIN,spin,no,50.69896193771626,45.06574394463668
2,1504,573,WIN,4,334,-266,BP Nash,GP Swann,6,33,41,41.57,731,39.8,Left-hand bat,168,70,2,1284.1,30,61.1,rob,0,WIN,spin,no,50.69896193771626,45.06574394463668
2,1505,574,WIN,4,334,-266,BP Nash,GP Swann,6,33,42,41.57,731,39.8,Left-hand bat,169,70,2,1284.1,30,61.1,rob,W,WIN,spin,no,50.69896193771626,45.06574394463668
