innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,2288,0,WIN,0,0,-239,DS Smith,JM Anderson,1,0,0,24.69,2612,46.32,Left-hand bat,0,0,0,7116.2,35.43,60.8,rfm,0,WIN,seam,no,25.61777777777778,22.415555555555557
4,2289,1,WIN,0,0,-239,DS Smith,JM Anderson,1,0,1,24.69,2612,46.32,Left-hand bat,1,0,0,7116.2,35.43,60.8,rfm,0,WIN,seam,no,25.61777777777778,22.415555555555557
4,2290,2,WIN,0,0,-239,DS Smith,JM Anderson,1,0,2,24.69,2612,46.32,Left-hand bat,2,0,0,7116.2,35.43,60.8,rfm,0,WIN,seam,no,25.61777777777778,22.415555555555557
4,2291,3,WIN,0,0,-239,DS Smith,JM Anderson,1,0,3,24.69,2612,46.32,Left-hand bat,3,0,0,7116.2,35.43,60.8,rfm,1,WIN,seam,no,25.61777777777778,22.415555555555557
4,2300,12,WIN,0,6,-233,DS Smith,JM Anderson,1,6,9,24.69,2612,46.32,Left-hand bat,6,1,0,7116.2,35.43,60.8,rfm,0,WIN,seam,no,25.61777777777778,22.415555555555557
4,2301,13,WIN,0,6,-233,DS Smith,JM Anderson,1,6,10,24.69,2612,46.32,Left-hand bat,7,1,0,7116.2,35.43,60.8,rfm,0,WIN,seam,no,25.61777777777778,22.415555555555557
4,2302,14,WIN,0,6,-233,DS Smith,JM Anderson,1,6,11,24.69,2612,46.32,Left-hand bat,8,1,0,7116.2,35.43,60.8,rfm,0,WIN,seam,no,25.61777777777778,22.415555555555557
4,2303,15,WIN,0,6,-233,DS Smith,JM Anderson,1,6,12,24.69,2612,46.32,Left-hand bat,9,1,0,7116.2,35.43,60.8,rfm,2,WIN,seam,no,25.61777777777778,22.415555555555557
4,2304,16,WIN,0,8,-231,DS Smith,JM Anderson,1,8,13,24.69,2612,46.32,Left-hand bat,10,3,0,7116.2,35.43,60.8,rfm,1lb,WIN,seam,no,25.61777777777778,22.415555555555557
4,2336,48,WIN,1,26,-213,DS Smith,JM Anderson,1,13,31,24.69,2612,46.32,Left-hand bat,24,11,1,7116.2,35.43,60.8,rfm,0,WIN,seam,no,25.61777777777778,22.415555555555557
4,2337,49,WIN,1,26,-213,DS Smith,JM Anderson,1,13,32,24.69,2612,46.32,Left-hand bat,25,11,1,7116.2,35.43,60.8,rfm,0,WIN,seam,no,25.61777777777778,22.415555555555557
4,2338,50,WIN,1,26,-213,DS Smith,JM Anderson,1,13,33,24.69,2612,46.32,Left-hand bat,26,11,1,7116.2,35.43,60.8,rfm,4,WIN,seam,no,25.61777777777778,22.415555555555557
4,2339,51,WIN,1,30,-209,DS Smith,JM Anderson,1,17,34,24.69,2612,46.32,Left-hand bat,27,15,1,7116.2,35.43,60.8,rfm,0,WIN,seam,no,25.61777777777778,22.415555555555557
4,2340,52,WIN,1,30,-209,DS Smith,JM Anderson,1,17,35,24.69,2612,46.32,Left-hand bat,28,15,1,7116.2,35.43,60.8,rfm,0,WIN,seam,no,25.61777777777778,22.415555555555557
4,2341,53,WIN,1,30,-209,DS Smith,JM Anderson,1,17,36,24.69,2612,46.32,Left-hand bat,29,15,1,7116.2,35.43,60.8,rfm,0,WIN,seam,no,25.61777777777778,22.415555555555557
