innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,500,500,SRL,4,300,300,TM Dilshan,Yasir Arafat,6,0,0,41.8,4917,62.07,Right-hand bat,65,37,1,624.3,48.66,69.6,rfm,0,PAK,seam,no,53.25619834710744,11.834710743801653
1,501,501,SRL,4,300,300,TM Dilshan,Yasir Arafat,6,0,1,41.8,4917,62.07,Right-hand bat,66,37,1,624.3,48.66,69.6,rfm,0,PAK,seam,no,53.25619834710744,11.834710743801653
1,502,502,SRL,4,300,300,TM Dilshan,Yasir Arafat,6,0,2,41.8,4917,62.07,Right-hand bat,67,37,1,624.3,48.66,69.6,rfm,0,PAK,seam,no,53.25619834710744,11.834710743801653
1,521,521,SRL,4,308,308,TM Dilshan,Yasir Arafat,6,1,7,41.8,4917,62.07,Right-hand bat,74,43,1,624.3,48.66,69.6,rfm,1,PAK,seam,no,53.25619834710744,11.834710743801653
1,537,537,SRL,4,321,321,TM Dilshan,Yasir Arafat,6,3,11,41.8,4917,62.07,Right-hand bat,82,52,1,624.3,48.66,69.6,rfm,0,PAK,seam,no,53.25619834710744,11.834710743801653
1,538,538,SRL,4,321,321,TM Dilshan,Yasir Arafat,6,3,12,41.8,4917,62.07,Right-hand bat,83,52,1,624.3,48.66,69.6,rfm,1,PAK,seam,no,53.25619834710744,11.834710743801653
1,548,548,SRL,4,327,327,TM Dilshan,Yasir Arafat,6,5,16,41.8,4917,62.07,Right-hand bat,87,57,1,624.3,48.66,69.6,rfm,4,PAK,seam,no,53.25619834710744,11.834710743801653
1,549,549,SRL,4,331,331,TM Dilshan,Yasir Arafat,6,9,17,41.8,4917,62.07,Right-hand bat,88,61,1,624.3,48.66,69.6,rfm,4,PAK,seam,no,53.25619834710744,11.834710743801653
1,550,550,SRL,4,335,335,TM Dilshan,Yasir Arafat,6,13,18,41.8,4917,62.07,Right-hand bat,89,65,1,624.3,48.66,69.6,rfm,0,PAK,seam,no,53.25619834710744,11.834710743801653
1,551,551,SRL,4,335,335,TM Dilshan,Yasir Arafat,6,13,19,41.8,4917,62.07,Right-hand bat,90,65,1,624.3,48.66,69.6,rfm,1,PAK,seam,no,53.25619834710744,11.834710743801653
1,560,560,SRL,4,337,337,TM Dilshan,Yasir Arafat,6,15,23,41.8,4917,62.07,Right-hand bat,93,66,1,624.3,48.66,69.6,rfm,1,PAK,seam,no,53.25619834710744,11.834710743801653
1,564,564,SRL,4,339,339,TM Dilshan,Yasir Arafat,6,16,24,41.8,4917,62.07,Right-hand bat,97,68,1,624.3,48.66,69.6,rfm,4,PAK,seam,no,53.25619834710744,11.834710743801653
1,565,565,SRL,4,343,343,TM Dilshan,Yasir Arafat,6,20,25,41.8,4917,62.07,Right-hand bat,98,72,1,624.3,48.66,69.6,rfm,1,PAK,seam,no,53.25619834710744,11.834710743801653
1,712,712,SRL,4,452,452,TM Dilshan,Yasir Arafat,6,76,87,41.8,4917,62.07,Right-hand bat,106,76,1,624.3,48.66,69.6,rfm,1,PAK,seam,no,53.25619834710744,11.834710743801653
1,724,724,SRL,4,462,462,TM Dilshan,Yasir Arafat,6,77,88,41.8,4917,62.07,Right-hand bat,112,86,1,624.3,48.66,69.6,rfm,0,PAK,seam,no,53.25619834710744,11.834710743801653
1,725,725,SRL,4,462,462,TM Dilshan,Yasir Arafat,6,77,89,41.8,4917,62.07,Right-hand bat,113,86,1,624.3,48.66,69.6,rfm,0,PAK,seam,no,53.25619834710744,11.834710743801653
1,726,726,SRL,4,462,462,TM Dilshan,Yasir Arafat,6,77,90,41.8,4917,62.07,Right-hand bat,114,86,1,624.3,48.66,69.6,rfm,0,PAK,seam,no,53.25619834710744,11.834710743801653
1,727,727,SRL,4,462,462,TM Dilshan,Yasir Arafat,6,77,91,41.8,4917,62.07,Right-hand bat,115,86,1,624.3,48.66,69.6,rfm,0,PAK,seam,no,53.25619834710744,11.834710743801653
1,728,728,SRL,4,462,462,TM Dilshan,Yasir Arafat,6,77,92,41.8,4917,62.07,Right-hand bat,116,86,1,624.3,48.66,69.6,rfm,4,PAK,seam,no,53.25619834710744,11.834710743801653
1,729,729,SRL,4,466,466,TM Dilshan,Yasir Arafat,6,81,93,41.8,4917,62.07,Right-hand bat,117,90,1,624.3,48.66,69.6,rfm,4,PAK,seam,no,53.25619834710744,11.834710743801653
1,736,736,SRL,4,472,472,TM Dilshan,Yasir Arafat,6,86,96,41.8,4917,62.07,Right-hand bat,118,94,1,624.3,48.66,69.6,rfm,0,PAK,seam,no,53.25619834710744,11.834710743801653
1,737,737,SRL,4,472,472,TM Dilshan,Yasir Arafat,6,86,97,41.8,4917,62.07,Right-hand bat,119,94,1,624.3,48.66,69.6,rfm,1,PAK,seam,no,53.25619834710744,11.834710743801653
1,740,740,SRL,4,474,474,TM Dilshan,Yasir Arafat,6,87,98,41.8,4917,62.07,Right-hand bat,122,96,1,624.3,48.66,69.6,rfm,2,PAK,seam,no,53.25619834710744,11.834710743801653
1,741,741,SRL,4,476,476,TM Dilshan,Yasir Arafat,6,89,99,41.8,4917,62.07,Right-hand bat,123,98,1,624.3,48.66,69.6,rfm,0,PAK,seam,no,53.25619834710744,11.834710743801653
