innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1264,209,SRL,5,134,84,TT Samaraweera,Saeed Ajmal,6,21,32,50.51,7188,46.38,Right-hand bat,9,7,0,210.4,22.6,42.8,rob,1,SRL,spin,no,16.335,7.864999999999999
3,1275,220,SRL,5,138,88,TT Samaraweera,Saeed Ajmal,6,23,38,50.51,7188,46.38,Right-hand bat,14,9,0,210.4,22.6,42.8,rob,0,SRL,spin,no,16.335,7.864999999999999
3,1276,221,SRL,5,138,88,TT Samaraweera,Saeed Ajmal,6,23,39,50.51,7188,46.38,Right-hand bat,15,9,0,210.4,22.6,42.8,rob,0,SRL,spin,no,16.335,7.864999999999999
3,1277,222,SRL,5,138,88,TT Samaraweera,Saeed Ajmal,6,23,40,50.51,7188,46.38,Right-hand bat,16,9,0,210.4,22.6,42.8,rob,0,SRL,spin,no,16.335,7.864999999999999
3,1278,223,SRL,5,138,88,TT Samaraweera,Saeed Ajmal,6,23,41,50.51,7188,46.38,Right-hand bat,17,9,0,210.4,22.6,42.8,rob,0,SRL,spin,no,16.335,7.864999999999999
3,1285,230,SRL,6,146,96,TT Samaraweera,Saeed Ajmal,6,28,46,50.51,7188,46.38,Right-hand bat,18,9,0,210.4,22.6,42.8,rob,0,SRL,spin,no,16.335,7.864999999999999
3,1286,231,SRL,6,146,96,TT Samaraweera,Saeed Ajmal,6,28,47,50.51,7188,46.38,Right-hand bat,19,9,0,210.4,22.6,42.8,rob,0,SRL,spin,no,16.335,7.864999999999999
3,1287,232,SRL,6,146,96,TT Samaraweera,Saeed Ajmal,6,28,48,50.51,7188,46.38,Right-hand bat,20,9,0,210.4,22.6,42.8,rob,0,SRL,spin,no,16.335,7.864999999999999
3,1288,233,SRL,6,146,96,TT Samaraweera,Saeed Ajmal,6,28,49,50.51,7188,46.38,Right-hand bat,21,9,0,210.4,22.6,42.8,rob,1,SRL,spin,no,16.335,7.864999999999999
3,1290,235,SRL,6,148,98,TT Samaraweera,Saeed Ajmal,6,29,50,50.51,7188,46.38,Right-hand bat,23,11,0,210.4,22.6,42.8,rob,1,SRL,spin,no,16.335,7.864999999999999
3,1298,243,SRL,6,150,100,TT Samaraweera,Saeed Ajmal,6,30,57,50.51,7188,46.38,Right-hand bat,25,13,0,210.4,22.6,42.8,rob,0,SRL,spin,no,16.335,7.864999999999999
3,1299,244,SRL,6,150,100,TT Samaraweera,Saeed Ajmal,6,30,58,50.51,7188,46.38,Right-hand bat,26,13,0,210.4,22.6,42.8,rob,0,SRL,spin,no,16.335,7.864999999999999
3,1300,245,SRL,6,150,100,TT Samaraweera,Saeed Ajmal,6,30,59,50.51,7188,46.38,Right-hand bat,27,13,0,210.4,22.6,42.8,rob,0,SRL,spin,no,16.335,7.864999999999999
3,1301,246,SRL,6,150,100,TT Samaraweera,Saeed Ajmal,6,30,60,50.51,7188,46.38,Right-hand bat,28,13,0,210.4,22.6,42.8,rob,0,SRL,spin,no,16.335,7.864999999999999
3,1302,247,SRL,6,150,100,TT Samaraweera,Saeed Ajmal,6,30,61,50.51,7188,46.38,Right-hand bat,29,13,0,210.4,22.6,42.8,rob,0,SRL,spin,no,16.335,7.864999999999999
3,1310,255,SRL,6,156,106,TT Samaraweera,Saeed Ajmal,6,34,66,50.51,7188,46.38,Right-hand bat,31,14,0,210.4,22.6,42.8,rob,W,SRL,spin,no,16.335,7.864999999999999
