innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,491,271,SRL,3,158,68,TT Samaraweera,Mohammad Amir,5,13,19,50.16,7240,46.42,Right-hand bat,44,30,0,294,30.16,49,lf,0,SRL,seam,no,12.816345270890725,12.062442607897154
2,492,272,SRL,3,158,68,TT Samaraweera,Mohammad Amir,5,13,20,50.16,7240,46.42,Right-hand bat,45,30,0,294,30.16,49,lf,0,SRL,seam,no,12.816345270890725,12.062442607897154
2,493,273,SRL,3,158,68,TT Samaraweera,Mohammad Amir,5,13,21,50.16,7240,46.42,Right-hand bat,46,30,0,294,30.16,49,lf,0,SRL,seam,no,12.816345270890725,12.062442607897154
2,494,274,SRL,3,158,68,TT Samaraweera,Mohammad Amir,5,13,22,50.16,7240,46.42,Right-hand bat,47,30,0,294,30.16,49,lf,0,SRL,seam,no,12.816345270890725,12.062442607897154
2,501,281,SRL,3,158,68,TT Samaraweera,Mohammad Amir,5,13,23,50.16,7240,46.42,Right-hand bat,48,30,0,294,30.16,49,lf,0,SRL,seam,no,12.816345270890725,12.062442607897154
2,502,282,SRL,3,158,68,TT Samaraweera,Mohammad Amir,5,13,24,50.16,7240,46.42,Right-hand bat,49,30,0,294,30.16,49,lf,0,SRL,seam,no,12.816345270890725,12.062442607897154
2,503,283,SRL,3,158,68,TT Samaraweera,Mohammad Amir,5,13,25,50.16,7240,46.42,Right-hand bat,50,30,0,294,30.16,49,lf,0,SRL,seam,no,12.816345270890725,12.062442607897154
2,504,284,SRL,3,158,68,TT Samaraweera,Mohammad Amir,5,13,26,50.16,7240,46.42,Right-hand bat,51,30,0,294,30.16,49,lf,0,SRL,seam,no,12.816345270890725,12.062442607897154
2,505,285,SRL,3,158,68,TT Samaraweera,Mohammad Amir,5,13,27,50.16,7240,46.42,Right-hand bat,52,30,0,294,30.16,49,lf,0,SRL,seam,no,12.816345270890725,12.062442607897154
2,506,286,SRL,3,158,68,TT Samaraweera,Mohammad Amir,5,13,28,50.16,7240,46.42,Right-hand bat,53,30,0,294,30.16,49,lf,0,SRL,seam,no,12.816345270890725,12.062442607897154
