innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1262,307,PAK,4,114,180,Misbah-ul-Haq,T Thushara,5,28,78,37.86,2222,39.19,Right-hand bat,60,37,1,1122.3,36.4,56.2,lfm,0,SRL,seam,no,19.80532598714417,21.043158861340682
3,1263,308,PAK,4,114,180,Misbah-ul-Haq,T Thushara,5,28,79,37.86,2222,39.19,Right-hand bat,61,37,1,1122.3,36.4,56.2,lfm,1,SRL,seam,no,19.80532598714417,21.043158861340682
3,1266,311,PAK,4,116,182,Misbah-ul-Haq,T Thushara,5,29,80,37.86,2222,39.19,Right-hand bat,64,39,1,1122.3,36.4,56.2,lfm,0,SRL,seam,no,19.80532598714417,21.043158861340682
3,1267,312,PAK,4,116,182,Misbah-ul-Haq,T Thushara,5,29,81,37.86,2222,39.19,Right-hand bat,65,39,1,1122.3,36.4,56.2,lfm,0,SRL,seam,no,19.80532598714417,21.043158861340682
3,1277,322,PAK,4,122,188,Misbah-ul-Haq,T Thushara,5,29,86,37.86,2222,39.19,Right-hand bat,69,44,1,1122.3,36.4,56.2,lfm,0,SRL,seam,no,19.80532598714417,21.043158861340682
3,1278,323,PAK,4,122,188,Misbah-ul-Haq,T Thushara,5,29,87,37.86,2222,39.19,Right-hand bat,70,44,1,1122.3,36.4,56.2,lfm,2,SRL,seam,no,19.80532598714417,21.043158861340682
3,1279,324,PAK,4,124,190,Misbah-ul-Haq,T Thushara,5,31,88,37.86,2222,39.19,Right-hand bat,71,46,1,1122.3,36.4,56.2,lfm,1,SRL,seam,no,19.80532598714417,21.043158861340682
3,1289,334,PAK,4,136,202,Misbah-ul-Haq,T Thushara,5,42,95,37.86,2222,39.19,Right-hand bat,75,48,1,1122.3,36.4,56.2,lfm,0,SRL,seam,no,19.80532598714417,21.043158861340682
3,1290,335,PAK,4,136,202,Misbah-ul-Haq,T Thushara,5,42,96,37.86,2222,39.19,Right-hand bat,76,48,1,1122.3,36.4,56.2,lfm,0,SRL,seam,no,19.80532598714417,21.043158861340682
3,1291,336,PAK,4,136,202,Misbah-ul-Haq,T Thushara,5,42,97,37.86,2222,39.19,Right-hand bat,77,48,1,1122.3,36.4,56.2,lfm,0,SRL,seam,no,19.80532598714417,21.043158861340682
3,1300,345,PAK,4,140,206,Misbah-ul-Haq,T Thushara,5,42,99,37.86,2222,39.19,Right-hand bat,80,49,1,1122.3,36.4,56.2,lfm,1,SRL,seam,no,19.80532598714417,21.043158861340682
3,1302,347,PAK,4,142,208,Misbah-ul-Haq,T Thushara,5,43,100,37.86,2222,39.19,Right-hand bat,82,51,1,1122.3,36.4,56.2,lfm,2,SRL,seam,no,19.80532598714417,21.043158861340682
3,1303,348,PAK,4,144,210,Misbah-ul-Haq,T Thushara,5,45,101,37.86,2222,39.19,Right-hand bat,83,53,1,1122.3,36.4,56.2,lfm,0,SRL,seam,no,19.80532598714417,21.043158861340682
3,1310,355,PAK,4,150,216,Misbah-ul-Haq,T Thushara,5,45,102,37.86,2222,39.19,Right-hand bat,84,53,1,1122.3,36.4,56.2,lfm,1,SRL,seam,no,19.80532598714417,21.043158861340682
3,1315,360,PAK,4,152,218,Misbah-ul-Haq,T Thushara,5,46,103,37.86,2222,39.19,Right-hand bat,89,55,1,1122.3,36.4,56.2,lfm,4,SRL,seam,no,19.80532598714417,21.043158861340682
