innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,710,0,NZL,0,0,-452,TG McIntosh,KMDN Kulasekara,1,0,0,32.6,913,35.7,Left-hand bat,0,0,0,1488.4,31.54,62.1,rfm,0,SRL,seam,yes,16.885813148788927,18.996539792387544
2,711,1,NZL,0,0,-452,TG McIntosh,KMDN Kulasekara,1,0,1,32.6,913,35.7,Left-hand bat,1,0,0,1488.4,31.54,62.1,rfm,0,SRL,seam,yes,16.885813148788927,18.996539792387544
2,712,2,NZL,0,0,-452,TG McIntosh,KMDN Kulasekara,1,0,2,32.6,913,35.7,Left-hand bat,2,0,0,1488.4,31.54,62.1,rfm,1,SRL,seam,yes,16.885813148788927,18.996539792387544
2,740,30,NZL,0,21,-431,TG McIntosh,KMDN Kulasekara,1,3,16,32.6,913,35.7,Left-hand bat,17,14,0,1488.4,31.54,62.1,rfm,0,SRL,seam,yes,16.885813148788927,18.996539792387544
2,748,38,NZL,0,24,-428,TG McIntosh,KMDN Kulasekara,1,3,17,32.6,913,35.7,Left-hand bat,18,14,0,1488.4,31.54,62.1,rfm,0,SRL,seam,yes,16.885813148788927,18.996539792387544
2,749,39,NZL,0,24,-428,TG McIntosh,KMDN Kulasekara,1,3,18,32.6,913,35.7,Left-hand bat,19,14,0,1488.4,31.54,62.1,rfm,2,SRL,seam,yes,16.885813148788927,18.996539792387544
2,750,40,NZL,0,26,-426,TG McIntosh,KMDN Kulasekara,1,5,19,32.6,913,35.7,Left-hand bat,20,16,0,1488.4,31.54,62.1,rfm,1,SRL,seam,yes,16.885813148788927,18.996539792387544
2,896,186,NZL,2,91,-361,TG McIntosh,KMDN Kulasekara,1,37,90,32.6,913,35.7,Left-hand bat,27,22,0,1488.4,31.54,62.1,rfm,0,SRL,seam,yes,16.885813148788927,18.996539792387544
2,897,187,NZL,2,91,-361,TG McIntosh,KMDN Kulasekara,1,37,91,32.6,913,35.7,Left-hand bat,28,22,0,1488.4,31.54,62.1,rfm,0,SRL,seam,yes,16.885813148788927,18.996539792387544
2,898,188,NZL,2,91,-361,TG McIntosh,KMDN Kulasekara,1,37,92,32.6,913,35.7,Left-hand bat,29,22,0,1488.4,31.54,62.1,rfm,0,SRL,seam,yes,16.885813148788927,18.996539792387544
