innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1712,0,NZL,0,0,-412,MJ Guptill,KMDN Kulasekara,1,0,0,25.42,338,52.66,Right-hand bat,0,0,0,1488.4,31.54,62.1,rfm,0,SRL,seam,yes,16.885813148788927,18.996539792387544
4,1713,1,NZL,0,0,-412,MJ Guptill,KMDN Kulasekara,1,0,1,25.42,338,52.66,Right-hand bat,1,0,0,1488.4,31.54,62.1,rfm,1,SRL,seam,yes,16.885813148788927,18.996539792387544
4,1728,16,NZL,1,6,-406,MJ Guptill,KMDN Kulasekara,1,1,8,25.42,338,52.66,Right-hand bat,10,5,1,1488.4,31.54,62.1,rfm,0,SRL,seam,yes,16.885813148788927,18.996539792387544
4,1729,17,NZL,1,6,-406,MJ Guptill,KMDN Kulasekara,1,1,9,25.42,338,52.66,Right-hand bat,11,5,1,1488.4,31.54,62.1,rfm,0,SRL,seam,yes,16.885813148788927,18.996539792387544
4,1736,24,NZL,1,6,-406,MJ Guptill,KMDN Kulasekara,1,1,10,25.42,338,52.66,Right-hand bat,12,5,1,1488.4,31.54,62.1,rfm,0,SRL,seam,yes,16.885813148788927,18.996539792387544
4,1737,25,NZL,1,6,-406,MJ Guptill,KMDN Kulasekara,1,1,11,25.42,338,52.66,Right-hand bat,13,5,1,1488.4,31.54,62.1,rfm,4,SRL,seam,yes,16.885813148788927,18.996539792387544
4,1738,26,NZL,1,10,-402,MJ Guptill,KMDN Kulasekara,1,5,12,25.42,338,52.66,Right-hand bat,14,9,1,1488.4,31.54,62.1,rfm,1,SRL,seam,yes,16.885813148788927,18.996539792387544
4,1802,90,NZL,1,31,-381,MJ Guptill,KMDN Kulasekara,1,18,50,25.42,338,52.66,Right-hand bat,24,10,1,1488.4,31.54,62.1,rfm,0,SRL,seam,yes,16.885813148788927,18.996539792387544
4,1803,91,NZL,1,31,-381,MJ Guptill,KMDN Kulasekara,1,18,51,25.42,338,52.66,Right-hand bat,25,10,1,1488.4,31.54,62.1,rfm,0,SRL,seam,yes,16.885813148788927,18.996539792387544
4,1804,92,NZL,1,31,-381,MJ Guptill,KMDN Kulasekara,1,18,52,25.42,338,52.66,Right-hand bat,26,10,1,1488.4,31.54,62.1,rfm,0,SRL,seam,yes,16.885813148788927,18.996539792387544
4,1805,93,NZL,1,31,-381,MJ Guptill,KMDN Kulasekara,1,18,53,25.42,338,52.66,Right-hand bat,27,10,1,1488.4,31.54,62.1,rfm,0,SRL,seam,yes,16.885813148788927,18.996539792387544
4,1806,94,NZL,1,31,-381,MJ Guptill,KMDN Kulasekara,1,18,54,25.42,338,52.66,Right-hand bat,28,10,1,1488.4,31.54,62.1,rfm,0,SRL,seam,yes,16.885813148788927,18.996539792387544
4,1807,95,NZL,1,31,-381,MJ Guptill,KMDN Kulasekara,1,18,55,25.42,338,52.66,Right-hand bat,29,10,1,1488.4,31.54,62.1,rfm,0,SRL,seam,yes,16.885813148788927,18.996539792387544
