innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,2449,287,AUS,4,133,-196,MJ North,DJ Bravo,6,0,0,44.57,1314,47.48,Left-hand bat,22,12,2,5490.3,39.06,72.2,rm,0,AUS,seam,no,31.27591836734694,9.266938775510205
4,2450,288,AUS,4,133,-196,MJ North,DJ Bravo,6,0,1,44.57,1314,47.48,Left-hand bat,23,12,2,5490.3,39.06,72.2,rm,0,AUS,seam,no,31.27591836734694,9.266938775510205
4,2457,295,AUS,4,133,-196,MJ North,DJ Bravo,6,0,2,44.57,1314,47.48,Left-hand bat,24,12,2,5490.3,39.06,72.2,rm,0,AUS,seam,no,31.27591836734694,9.266938775510205
4,2458,296,AUS,4,133,-196,MJ North,DJ Bravo,6,0,3,44.57,1314,47.48,Left-hand bat,25,12,2,5490.3,39.06,72.2,rm,0,AUS,seam,no,31.27591836734694,9.266938775510205
4,2459,297,AUS,4,133,-196,MJ North,DJ Bravo,6,0,4,44.57,1314,47.48,Left-hand bat,26,12,2,5490.3,39.06,72.2,rm,0,AUS,seam,no,31.27591836734694,9.266938775510205
4,2460,298,AUS,4,133,-196,MJ North,DJ Bravo,6,0,5,44.57,1314,47.48,Left-hand bat,27,12,2,5490.3,39.06,72.2,rm,0,AUS,seam,no,31.27591836734694,9.266938775510205
4,2461,299,AUS,4,133,-196,MJ North,DJ Bravo,6,0,6,44.57,1314,47.48,Left-hand bat,28,12,2,5490.3,39.06,72.2,rm,0,AUS,seam,no,31.27591836734694,9.266938775510205
4,2462,300,AUS,4,133,-196,MJ North,DJ Bravo,6,0,7,44.57,1314,47.48,Left-hand bat,29,12,2,5490.3,39.06,72.2,rm,0,AUS,seam,no,31.27591836734694,9.266938775510205
4,2469,307,AUS,4,135,-194,MJ North,DJ Bravo,6,1,11,44.57,1314,47.48,Left-hand bat,30,12,2,5490.3,39.06,72.2,rm,0,AUS,seam,no,31.27591836734694,9.266938775510205
4,2470,308,AUS,4,135,-194,MJ North,DJ Bravo,6,1,12,44.57,1314,47.48,Left-hand bat,31,12,2,5490.3,39.06,72.2,rm,0,AUS,seam,no,31.27591836734694,9.266938775510205
4,2471,309,AUS,4,135,-194,MJ North,DJ Bravo,6,1,13,44.57,1314,47.48,Left-hand bat,32,12,2,5490.3,39.06,72.2,rm,1,AUS,seam,no,31.27591836734694,9.266938775510205
4,2483,321,AUS,4,137,-192,MJ North,DJ Bravo,6,2,20,44.57,1314,47.48,Left-hand bat,38,14,2,5490.3,39.06,72.2,rm,0,AUS,seam,no,31.27591836734694,9.266938775510205
4,2484,322,AUS,4,137,-192,MJ North,DJ Bravo,6,2,21,44.57,1314,47.48,Left-hand bat,39,14,2,5490.3,39.06,72.2,rm,0,AUS,seam,no,31.27591836734694,9.266938775510205
4,2485,323,AUS,4,137,-192,MJ North,DJ Bravo,6,2,22,44.57,1314,47.48,Left-hand bat,40,14,2,5490.3,39.06,72.2,rm,0,AUS,seam,no,31.27591836734694,9.266938775510205
4,2486,324,AUS,4,137,-192,MJ North,DJ Bravo,6,2,23,44.57,1314,47.48,Left-hand bat,41,14,2,5490.3,39.06,72.2,rm,0,AUS,seam,no,31.27591836734694,9.266938775510205
4,2493,331,AUS,4,139,-190,MJ North,DJ Bravo,6,2,24,44.57,1314,47.48,Left-hand bat,42,14,2,5490.3,39.06,72.2,rm,0,AUS,seam,no,31.27591836734694,9.266938775510205
4,2494,332,AUS,4,139,-190,MJ North,DJ Bravo,6,2,25,44.57,1314,47.48,Left-hand bat,43,14,2,5490.3,39.06,72.2,rm,0,AUS,seam,no,31.27591836734694,9.266938775510205
4,2495,333,AUS,4,139,-190,MJ North,DJ Bravo,6,2,26,44.57,1314,47.48,Left-hand bat,44,14,2,5490.3,39.06,72.2,rm,W,AUS,seam,no,31.27591836734694,9.266938775510205
