innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1715,335,AUS,6,170,366,MG Johnson,Mohammad Asif,8,2,30,28.22,1444,60.59,Left-hand bat,70,20,1,3348.4,23.01,45.9,rfm,0,AUS,seam,yes,26.181818181818183,9.818181818181818
3,1716,336,AUS,6,170,366,MG Johnson,Mohammad Asif,8,2,31,28.22,1444,60.59,Left-hand bat,71,20,1,3348.4,23.01,45.9,rfm,0,AUS,seam,yes,26.181818181818183,9.818181818181818
3,1717,337,AUS,6,170,366,MG Johnson,Mohammad Asif,8,2,32,28.22,1444,60.59,Left-hand bat,72,20,1,3348.4,23.01,45.9,rfm,0,AUS,seam,yes,26.181818181818183,9.818181818181818
3,1718,338,AUS,6,170,366,MG Johnson,Mohammad Asif,8,2,33,28.22,1444,60.59,Left-hand bat,73,20,1,3348.4,23.01,45.9,rfm,0,AUS,seam,yes,26.181818181818183,9.818181818181818
3,1730,350,AUS,6,176,372,MG Johnson,Mohammad Asif,8,6,39,28.22,1444,60.59,Left-hand bat,79,21,1,3348.4,23.01,45.9,rfm,0,AUS,seam,yes,26.181818181818183,9.818181818181818
3,1738,358,AUS,6,186,382,MG Johnson,Mohammad Asif,8,14,42,28.22,1444,60.59,Left-hand bat,81,22,1,3348.4,23.01,45.9,rfm,0,AUS,seam,yes,26.181818181818183,9.818181818181818
3,1739,359,AUS,6,186,382,MG Johnson,Mohammad Asif,8,14,43,28.22,1444,60.59,Left-hand bat,82,22,1,3348.4,23.01,45.9,rfm,0,AUS,seam,yes,26.181818181818183,9.818181818181818
3,1740,360,AUS,6,186,382,MG Johnson,Mohammad Asif,8,14,44,28.22,1444,60.59,Left-hand bat,83,22,1,3348.4,23.01,45.9,rfm,4,AUS,seam,yes,26.181818181818183,9.818181818181818
3,1741,361,AUS,6,190,386,MG Johnson,Mohammad Asif,8,18,45,28.22,1444,60.59,Left-hand bat,84,26,1,3348.4,23.01,45.9,rfm,0,AUS,seam,yes,26.181818181818183,9.818181818181818
3,1742,362,AUS,6,190,386,MG Johnson,Mohammad Asif,8,18,46,28.22,1444,60.59,Left-hand bat,85,26,1,3348.4,23.01,45.9,rfm,2,AUS,seam,yes,26.181818181818183,9.818181818181818
