innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,843,48,PAK,1,18,-411,Fawad Alam,SE Bond,3,1,7,41.66,441,56.68,Left-hand bat,24,8,0,3372,22.09,38.7,rf,0,NZL,seam,yes,24.055,4.245
2,844,49,PAK,1,18,-411,Fawad Alam,SE Bond,3,1,8,41.66,441,56.68,Left-hand bat,25,8,0,3372,22.09,38.7,rf,0,NZL,seam,yes,24.055,4.245
2,845,50,PAK,1,18,-411,Fawad Alam,SE Bond,3,1,9,41.66,441,56.68,Left-hand bat,26,8,0,3372,22.09,38.7,rf,1,NZL,seam,yes,24.055,4.245
2,856,61,PAK,1,22,-407,Fawad Alam,SE Bond,3,2,16,41.66,441,56.68,Left-hand bat,31,12,0,3372,22.09,38.7,rf,0,NZL,seam,yes,24.055,4.245
2,857,62,PAK,1,22,-407,Fawad Alam,SE Bond,3,2,17,41.66,441,56.68,Left-hand bat,32,12,0,3372,22.09,38.7,rf,0,NZL,seam,yes,24.055,4.245
2,858,63,PAK,1,22,-407,Fawad Alam,SE Bond,3,2,18,41.66,441,56.68,Left-hand bat,33,12,0,3372,22.09,38.7,rf,0,NZL,seam,yes,24.055,4.245
2,859,64,PAK,1,22,-407,Fawad Alam,SE Bond,3,2,19,41.66,441,56.68,Left-hand bat,34,12,0,3372,22.09,38.7,rf,1,NZL,seam,yes,24.055,4.245
2,940,145,PAK,2,57,-372,Fawad Alam,SE Bond,3,21,52,41.66,441,56.68,Left-hand bat,42,15,0,3372,22.09,38.7,rf,0,NZL,seam,yes,24.055,4.245
2,941,146,PAK,2,57,-372,Fawad Alam,SE Bond,3,21,53,41.66,441,56.68,Left-hand bat,43,15,0,3372,22.09,38.7,rf,4,NZL,seam,yes,24.055,4.245
2,942,147,PAK,2,61,-368,Fawad Alam,SE Bond,3,25,54,41.66,441,56.68,Left-hand bat,44,19,0,3372,22.09,38.7,rf,0,NZL,seam,yes,24.055,4.245
2,943,148,PAK,2,61,-368,Fawad Alam,SE Bond,3,25,55,41.66,441,56.68,Left-hand bat,45,19,0,3372,22.09,38.7,rf,0,NZL,seam,yes,24.055,4.245
2,944,149,PAK,2,61,-368,Fawad Alam,SE Bond,3,25,56,41.66,441,56.68,Left-hand bat,46,19,0,3372,22.09,38.7,rf,0,NZL,seam,yes,24.055,4.245
2,945,150,PAK,2,61,-368,Fawad Alam,SE Bond,3,25,57,41.66,441,56.68,Left-hand bat,47,19,0,3372,22.09,38.7,rf,0,NZL,seam,yes,24.055,4.245
2,952,157,PAK,2,61,-368,Fawad Alam,SE Bond,3,25,58,41.66,441,56.68,Left-hand bat,48,19,0,3372,22.09,38.7,rf,0,NZL,seam,yes,24.055,4.245
2,953,158,PAK,2,61,-368,Fawad Alam,SE Bond,3,25,59,41.66,441,56.68,Left-hand bat,49,19,0,3372,22.09,38.7,rf,1,NZL,seam,yes,24.055,4.245
2,964,169,PAK,2,69,-360,Fawad Alam,SE Bond,3,27,61,41.66,441,56.68,Left-hand bat,54,20,0,3372,22.09,38.7,rf,0,NZL,seam,yes,24.055,4.245
2,965,170,PAK,2,69,-360,Fawad Alam,SE Bond,3,27,62,41.66,441,56.68,Left-hand bat,55,20,0,3372,22.09,38.7,rf,1,NZL,seam,yes,24.055,4.245
2,976,181,PAK,3,79,-350,Fawad Alam,SE Bond,3,29,65,41.66,441,56.68,Left-hand bat,60,29,1,3372,22.09,38.7,rf,W,NZL,seam,yes,24.055,4.245
