innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1395,17,NZL,2,1,98,TG McIntosh,Mohammad Amir,3,0,6,26.35,1090,33.85,Left-hand bat,11,1,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1427,49,NZL,2,9,106,TG McIntosh,Mohammad Amir,3,0,22,26.35,1090,33.85,Left-hand bat,25,8,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1428,50,NZL,2,9,106,TG McIntosh,Mohammad Amir,3,0,23,26.35,1090,33.85,Left-hand bat,26,8,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1429,51,NZL,2,9,106,TG McIntosh,Mohammad Amir,3,0,24,26.35,1090,33.85,Left-hand bat,27,8,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1430,52,NZL,2,9,106,TG McIntosh,Mohammad Amir,3,0,25,26.35,1090,33.85,Left-hand bat,28,8,2,720,37.7,72,lf,1,NZL,seam,no,24.055,4.245
3,1440,62,NZL,2,17,114,TG McIntosh,Mohammad Amir,3,1,32,26.35,1090,33.85,Left-hand bat,32,12,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1441,63,NZL,2,17,114,TG McIntosh,Mohammad Amir,3,1,33,26.35,1090,33.85,Left-hand bat,33,12,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1442,64,NZL,2,17,114,TG McIntosh,Mohammad Amir,3,1,34,26.35,1090,33.85,Left-hand bat,34,12,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1443,65,NZL,2,17,114,TG McIntosh,Mohammad Amir,3,1,35,26.35,1090,33.85,Left-hand bat,35,12,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1590,212,NZL,4,104,201,TG McIntosh,Mohammad Amir,3,30,105,26.35,1090,33.85,Left-hand bat,42,22,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1591,213,NZL,4,104,201,TG McIntosh,Mohammad Amir,3,30,106,26.35,1090,33.85,Left-hand bat,43,22,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1592,214,NZL,4,104,201,TG McIntosh,Mohammad Amir,3,30,107,26.35,1090,33.85,Left-hand bat,44,22,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1593,215,NZL,4,104,201,TG McIntosh,Mohammad Amir,3,30,108,26.35,1090,33.85,Left-hand bat,45,22,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1594,216,NZL,4,104,201,TG McIntosh,Mohammad Amir,3,30,109,26.35,1090,33.85,Left-hand bat,46,22,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1595,217,NZL,4,104,201,TG McIntosh,Mohammad Amir,3,30,110,26.35,1090,33.85,Left-hand bat,47,22,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1616,238,NZL,4,110,207,TG McIntosh,Mohammad Amir,3,31,118,26.35,1090,33.85,Left-hand bat,56,23,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1617,239,NZL,4,110,207,TG McIntosh,Mohammad Amir,3,31,119,26.35,1090,33.85,Left-hand bat,57,23,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1618,240,NZL,4,110,207,TG McIntosh,Mohammad Amir,3,31,120,26.35,1090,33.85,Left-hand bat,58,23,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1619,241,NZL,4,110,207,TG McIntosh,Mohammad Amir,3,31,121,26.35,1090,33.85,Left-hand bat,59,23,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1638,260,NZL,4,112,209,TG McIntosh,Mohammad Amir,3,31,127,26.35,1090,33.85,Left-hand bat,66,24,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1639,261,NZL,4,112,209,TG McIntosh,Mohammad Amir,3,31,128,26.35,1090,33.85,Left-hand bat,67,24,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1640,262,NZL,4,112,209,TG McIntosh,Mohammad Amir,3,31,129,26.35,1090,33.85,Left-hand bat,68,24,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1641,263,NZL,4,112,209,TG McIntosh,Mohammad Amir,3,31,130,26.35,1090,33.85,Left-hand bat,69,24,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1642,264,NZL,4,112,209,TG McIntosh,Mohammad Amir,3,31,131,26.35,1090,33.85,Left-hand bat,70,24,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
3,1643,265,NZL,4,112,209,TG McIntosh,Mohammad Amir,3,31,132,26.35,1090,33.85,Left-hand bat,71,24,2,720,37.7,72,lf,0,NZL,seam,no,24.055,4.245
