innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1432,54,NZL,2,14,111,TG McIntosh,Umar Gul,3,1,26,26.35,1090,33.85,Left-hand bat,0,0,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1433,55,NZL,2,14,111,TG McIntosh,Umar Gul,3,1,27,26.35,1090,33.85,Left-hand bat,1,0,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1434,56,NZL,2,14,111,TG McIntosh,Umar Gul,3,1,28,26.35,1090,33.85,Left-hand bat,2,0,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1435,57,NZL,2,14,111,TG McIntosh,Umar Gul,3,1,29,26.35,1090,33.85,Left-hand bat,3,0,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1436,58,NZL,2,14,111,TG McIntosh,Umar Gul,3,1,30,26.35,1090,33.85,Left-hand bat,4,0,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1437,59,NZL,2,14,111,TG McIntosh,Umar Gul,3,1,31,26.35,1090,33.85,Left-hand bat,5,0,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1451,73,NZL,2,26,123,TG McIntosh,Umar Gul,3,1,36,26.35,1090,33.85,Left-hand bat,13,8,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1458,80,NZL,2,36,133,TG McIntosh,Umar Gul,3,1,37,26.35,1090,33.85,Left-hand bat,14,8,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1459,81,NZL,2,36,133,TG McIntosh,Umar Gul,3,1,38,26.35,1090,33.85,Left-hand bat,15,8,0,4752,32.5,54,rfm,4,NZL,seam,no,24.055,4.245
3,1460,82,NZL,2,40,137,TG McIntosh,Umar Gul,3,5,39,26.35,1090,33.85,Left-hand bat,16,12,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1461,83,NZL,2,40,137,TG McIntosh,Umar Gul,3,5,40,26.35,1090,33.85,Left-hand bat,17,12,0,4752,32.5,54,rfm,4,NZL,seam,no,24.055,4.245
3,1462,84,NZL,2,44,141,TG McIntosh,Umar Gul,3,9,41,26.35,1090,33.85,Left-hand bat,18,16,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1463,85,NZL,2,44,141,TG McIntosh,Umar Gul,3,9,42,26.35,1090,33.85,Left-hand bat,19,16,0,4752,32.5,54,rfm,1,NZL,seam,no,24.055,4.245
3,1470,92,NZL,2,48,145,TG McIntosh,Umar Gul,3,11,44,26.35,1090,33.85,Left-hand bat,20,17,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1471,93,NZL,2,48,145,TG McIntosh,Umar Gul,3,11,45,26.35,1090,33.85,Left-hand bat,21,17,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1472,94,NZL,2,48,145,TG McIntosh,Umar Gul,3,11,46,26.35,1090,33.85,Left-hand bat,22,17,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1473,95,NZL,2,48,145,TG McIntosh,Umar Gul,3,11,47,26.35,1090,33.85,Left-hand bat,23,17,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1474,96,NZL,2,48,145,TG McIntosh,Umar Gul,3,11,48,26.35,1090,33.85,Left-hand bat,24,17,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1475,97,NZL,2,48,145,TG McIntosh,Umar Gul,3,11,49,26.35,1090,33.85,Left-hand bat,25,17,0,4752,32.5,54,rfm,1,NZL,seam,no,24.055,4.245
3,1482,104,NZL,2,56,153,TG McIntosh,Umar Gul,3,13,52,26.35,1090,33.85,Left-hand bat,26,18,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1483,105,NZL,2,56,153,TG McIntosh,Umar Gul,3,13,53,26.35,1090,33.85,Left-hand bat,27,18,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1484,106,NZL,2,56,153,TG McIntosh,Umar Gul,3,13,54,26.35,1090,33.85,Left-hand bat,28,18,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1485,107,NZL,2,56,153,TG McIntosh,Umar Gul,3,13,55,26.35,1090,33.85,Left-hand bat,29,18,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1486,108,NZL,2,56,153,TG McIntosh,Umar Gul,3,13,56,26.35,1090,33.85,Left-hand bat,30,18,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1487,109,NZL,2,56,153,TG McIntosh,Umar Gul,3,13,57,26.35,1090,33.85,Left-hand bat,31,18,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1533,155,NZL,2,74,171,TG McIntosh,Umar Gul,3,14,76,26.35,1090,33.85,Left-hand bat,35,23,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1534,156,NZL,2,74,171,TG McIntosh,Umar Gul,3,14,77,26.35,1090,33.85,Left-hand bat,36,23,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1535,157,NZL,2,74,171,TG McIntosh,Umar Gul,3,14,78,26.35,1090,33.85,Left-hand bat,37,23,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1542,164,NZL,2,74,171,TG McIntosh,Umar Gul,3,14,79,26.35,1090,33.85,Left-hand bat,38,23,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1543,165,NZL,2,74,171,TG McIntosh,Umar Gul,3,14,80,26.35,1090,33.85,Left-hand bat,39,23,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1544,166,NZL,2,74,171,TG McIntosh,Umar Gul,3,14,81,26.35,1090,33.85,Left-hand bat,40,23,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
3,1545,167,NZL,2,74,171,TG McIntosh,Umar Gul,3,14,82,26.35,1090,33.85,Left-hand bat,41,23,0,4752,32.5,54,rfm,0,NZL,seam,no,24.055,4.245
