innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,261,261,PAK,3,110,110,Misbah-ul-Haq,DR Tuffey,5,9,16,37,2383,38.81,Right-hand bat,68,17,0,4344.2,30.94,62,rfm,1,NZL,seam,no,16.21875,5.40625
1,273,273,PAK,4,120,120,Misbah-ul-Haq,DR Tuffey,5,11,20,37,2383,38.81,Right-hand bat,74,23,1,4344.2,30.94,62,rfm,0,NZL,seam,no,16.21875,5.40625
1,274,274,PAK,4,120,120,Misbah-ul-Haq,DR Tuffey,5,11,21,37,2383,38.81,Right-hand bat,75,23,1,4344.2,30.94,62,rfm,0,NZL,seam,no,16.21875,5.40625
1,275,275,PAK,4,120,120,Misbah-ul-Haq,DR Tuffey,5,11,22,37,2383,38.81,Right-hand bat,76,23,1,4344.2,30.94,62,rfm,0,NZL,seam,no,16.21875,5.40625
1,276,276,PAK,4,120,120,Misbah-ul-Haq,DR Tuffey,5,11,23,37,2383,38.81,Right-hand bat,77,23,1,4344.2,30.94,62,rfm,0,NZL,seam,no,16.21875,5.40625
1,283,283,PAK,4,128,128,Misbah-ul-Haq,DR Tuffey,5,11,24,37,2383,38.81,Right-hand bat,78,23,1,4344.2,30.94,62,rfm,0,NZL,seam,no,16.21875,5.40625
1,284,284,PAK,4,128,128,Misbah-ul-Haq,DR Tuffey,5,11,25,37,2383,38.81,Right-hand bat,79,23,1,4344.2,30.94,62,rfm,1,NZL,seam,no,16.21875,5.40625
1,295,295,PAK,4,130,130,Misbah-ul-Haq,DR Tuffey,5,13,29,37,2383,38.81,Right-hand bat,84,24,1,4344.2,30.94,62,rfm,0,NZL,seam,no,16.21875,5.40625
1,296,296,PAK,4,130,130,Misbah-ul-Haq,DR Tuffey,5,13,30,37,2383,38.81,Right-hand bat,85,24,1,4344.2,30.94,62,rfm,0,NZL,seam,no,16.21875,5.40625
1,297,297,PAK,4,130,130,Misbah-ul-Haq,DR Tuffey,5,13,31,37,2383,38.81,Right-hand bat,86,24,1,4344.2,30.94,62,rfm,1,NZL,seam,no,16.21875,5.40625
1,307,307,PAK,5,138,138,Misbah-ul-Haq,DR Tuffey,5,15,34,37,2383,38.81,Right-hand bat,90,29,2,4344.2,30.94,62,rfm,0,NZL,seam,no,16.21875,5.40625
1,308,308,PAK,5,138,138,Misbah-ul-Haq,DR Tuffey,5,15,35,37,2383,38.81,Right-hand bat,91,29,2,4344.2,30.94,62,rfm,0,NZL,seam,no,16.21875,5.40625
1,309,309,PAK,5,138,138,Misbah-ul-Haq,DR Tuffey,5,15,36,37,2383,38.81,Right-hand bat,92,29,2,4344.2,30.94,62,rfm,2,NZL,seam,no,16.21875,5.40625
1,310,310,PAK,5,140,140,Misbah-ul-Haq,DR Tuffey,5,17,37,37,2383,38.81,Right-hand bat,93,31,2,4344.2,30.94,62,rfm,0,NZL,seam,no,16.21875,5.40625
1,311,311,PAK,5,140,140,Misbah-ul-Haq,DR Tuffey,5,17,38,37,2383,38.81,Right-hand bat,94,31,2,4344.2,30.94,62,rfm,0,NZL,seam,no,16.21875,5.40625
1,312,312,PAK,5,140,140,Misbah-ul-Haq,DR Tuffey,5,17,39,37,2383,38.81,Right-hand bat,95,31,2,4344.2,30.94,62,rfm,1,NZL,seam,no,16.21875,5.40625
