innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,748,748,AUS,5,429,429,BJ Haddin,DL Vettori,7,0,0,39.07,2516,59.02,Right-hand bat,178,92,1,24588.4,33.95,77,lo,0,NZL,spin,yes,37.9344,7.225599999999999
1,749,749,AUS,5,429,429,BJ Haddin,DL Vettori,7,0,1,39.07,2516,59.02,Right-hand bat,179,92,1,24588.4,33.95,77,lo,0,NZL,spin,yes,37.9344,7.225599999999999
1,750,750,AUS,5,429,429,BJ Haddin,DL Vettori,7,0,2,39.07,2516,59.02,Right-hand bat,180,92,1,24588.4,33.95,77,lo,0,NZL,spin,yes,37.9344,7.225599999999999
1,757,757,AUS,5,431,431,BJ Haddin,DL Vettori,7,0,3,39.07,2516,59.02,Right-hand bat,181,92,1,24588.4,33.95,77,lo,1,NZL,spin,yes,37.9344,7.225599999999999
1,760,760,AUS,5,433,433,BJ Haddin,DL Vettori,7,1,4,39.07,2516,59.02,Right-hand bat,184,94,1,24588.4,33.95,77,lo,0,NZL,spin,yes,37.9344,7.225599999999999
1,761,761,AUS,5,433,433,BJ Haddin,DL Vettori,7,1,5,39.07,2516,59.02,Right-hand bat,185,94,1,24588.4,33.95,77,lo,4,NZL,spin,yes,37.9344,7.225599999999999
1,762,762,AUS,5,437,437,BJ Haddin,DL Vettori,7,5,6,39.07,2516,59.02,Right-hand bat,186,98,1,24588.4,33.95,77,lo,0,NZL,spin,yes,37.9344,7.225599999999999
1,769,769,AUS,5,441,441,BJ Haddin,DL Vettori,7,5,7,39.07,2516,59.02,Right-hand bat,187,98,1,24588.4,33.95,77,lo,0,NZL,spin,yes,37.9344,7.225599999999999
1,770,770,AUS,5,441,441,BJ Haddin,DL Vettori,7,5,8,39.07,2516,59.02,Right-hand bat,188,98,1,24588.4,33.95,77,lo,0,NZL,spin,yes,37.9344,7.225599999999999
1,771,771,AUS,5,441,441,BJ Haddin,DL Vettori,7,5,9,39.07,2516,59.02,Right-hand bat,189,98,1,24588.4,33.95,77,lo,1,NZL,spin,yes,37.9344,7.225599999999999
