innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1297,558,PAK,7,197,18,Saeed Ajmal,GP Swann,9,26,26,14,175,48,Right-hand bat,150,24,4,5706.3,28.95,58.8,rob,1,ENG,spin,yes,15.338189386056191,8.436004162330905
3,1309,570,PAK,7,211,32,Saeed Ajmal,GP Swann,9,28,29,14,175,48,Right-hand bat,156,33,4,5706.3,28.95,58.8,rob,0,ENG,spin,yes,15.338189386056191,8.436004162330905
3,1310,571,PAK,7,211,32,Saeed Ajmal,GP Swann,9,28,30,14,175,48,Right-hand bat,157,33,4,5706.3,28.95,58.8,rob,4b,ENG,spin,yes,15.338189386056191,8.436004162330905
3,1311,572,PAK,7,215,36,Saeed Ajmal,GP Swann,9,28,31,14,175,48,Right-hand bat,158,33,4,5706.3,28.95,58.8,rob,0,ENG,spin,yes,15.338189386056191,8.436004162330905
3,1312,573,PAK,7,215,36,Saeed Ajmal,GP Swann,9,28,32,14,175,48,Right-hand bat,159,33,4,5706.3,28.95,58.8,rob,0,ENG,spin,yes,15.338189386056191,8.436004162330905
3,1313,574,PAK,7,215,36,Saeed Ajmal,GP Swann,9,28,33,14,175,48,Right-hand bat,160,33,4,5706.3,28.95,58.8,rob,0,ENG,spin,yes,15.338189386056191,8.436004162330905
3,1314,575,PAK,7,215,36,Saeed Ajmal,GP Swann,9,28,34,14,175,48,Right-hand bat,161,33,4,5706.3,28.95,58.8,rob,0,ENG,spin,yes,15.338189386056191,8.436004162330905
3,1321,582,PAK,7,217,38,Saeed Ajmal,GP Swann,9,28,38,14,175,48,Right-hand bat,162,33,4,5706.3,28.95,58.8,rob,0,ENG,spin,yes,15.338189386056191,8.436004162330905
3,1322,583,PAK,7,217,38,Saeed Ajmal,GP Swann,9,28,39,14,175,48,Right-hand bat,163,33,4,5706.3,28.95,58.8,rob,0,ENG,spin,yes,15.338189386056191,8.436004162330905
3,1323,584,PAK,7,217,38,Saeed Ajmal,GP Swann,9,28,40,14,175,48,Right-hand bat,164,33,4,5706.3,28.95,58.8,rob,1,ENG,spin,yes,15.338189386056191,8.436004162330905
