innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1649,216,AUS,2,99,-276,MJ Clarke,SCJ Broad,4,1,1,48.33,8720,53.21,Right-hand bat,48,11,0,6690.3,35.24,67.6,rfm,4,AUS,seam,yes,28.055999999999997,18.703999999999997
3,1650,217,AUS,2,103,-272,MJ Clarke,SCJ Broad,4,5,2,48.33,8720,53.21,Right-hand bat,49,15,0,6690.3,35.24,67.6,rfm,3,AUS,seam,yes,28.055999999999997,18.703999999999997
3,1662,229,AUS,2,107,-268,MJ Clarke,SCJ Broad,4,8,9,48.33,8720,53.21,Right-hand bat,55,19,0,6690.3,35.24,67.6,rfm,4,AUS,seam,yes,28.055999999999997,18.703999999999997
3,1663,230,AUS,2,111,-264,MJ Clarke,SCJ Broad,4,12,10,48.33,8720,53.21,Right-hand bat,56,23,0,6690.3,35.24,67.6,rfm,0,AUS,seam,yes,28.055999999999997,18.703999999999997
3,1664,231,AUS,2,111,-264,MJ Clarke,SCJ Broad,4,12,11,48.33,8720,53.21,Right-hand bat,57,23,0,6690.3,35.24,67.6,rfm,0,AUS,seam,yes,28.055999999999997,18.703999999999997
3,1665,232,AUS,2,111,-264,MJ Clarke,SCJ Broad,4,12,12,48.33,8720,53.21,Right-hand bat,58,23,0,6690.3,35.24,67.6,rfm,0,AUS,seam,yes,28.055999999999997,18.703999999999997
3,1666,233,AUS,2,111,-264,MJ Clarke,SCJ Broad,4,12,13,48.33,8720,53.21,Right-hand bat,59,23,0,6690.3,35.24,67.6,rfm,0,AUS,seam,yes,28.055999999999997,18.703999999999997
3,1673,240,AUS,2,111,-264,MJ Clarke,SCJ Broad,4,12,14,48.33,8720,53.21,Right-hand bat,60,23,0,6690.3,35.24,67.6,rfm,4,AUS,seam,yes,28.055999999999997,18.703999999999997
3,1674,241,AUS,2,115,-260,MJ Clarke,SCJ Broad,4,16,15,48.33,8720,53.21,Right-hand bat,61,27,0,6690.3,35.24,67.6,rfm,0,AUS,seam,yes,28.055999999999997,18.703999999999997
3,1675,242,AUS,2,115,-260,MJ Clarke,SCJ Broad,4,16,16,48.33,8720,53.21,Right-hand bat,62,27,0,6690.3,35.24,67.6,rfm,1,AUS,seam,yes,28.055999999999997,18.703999999999997
