innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1704,198,RSA,3,94,-285,HM Amla,BA Stokes,3,43,97,49,16492,50.21,Right-hand bat,0,0,0,5298.1,35.16,61.6,rfm,4,ENG,seam,no,19.36875,6.45625
4,1705,199,RSA,3,98,-281,HM Amla,BA Stokes,3,47,98,49,16492,50.21,Right-hand bat,1,4,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1706,200,RSA,3,98,-281,HM Amla,BA Stokes,3,47,99,49,16492,50.21,Right-hand bat,2,4,0,5298.1,35.16,61.6,rfm,4,ENG,seam,no,19.36875,6.45625
4,1707,201,RSA,3,102,-277,HM Amla,BA Stokes,3,51,100,49,16492,50.21,Right-hand bat,3,8,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1708,202,RSA,3,102,-277,HM Amla,BA Stokes,3,51,101,49,16492,50.21,Right-hand bat,4,8,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1709,203,RSA,3,102,-277,HM Amla,BA Stokes,3,51,102,49,16492,50.21,Right-hand bat,5,8,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1716,210,RSA,3,106,-273,HM Amla,BA Stokes,3,51,103,49,16492,50.21,Right-hand bat,6,8,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1717,211,RSA,3,106,-273,HM Amla,BA Stokes,3,51,104,49,16492,50.21,Right-hand bat,7,8,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1718,212,RSA,3,106,-273,HM Amla,BA Stokes,3,51,105,49,16492,50.21,Right-hand bat,8,8,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1719,213,RSA,3,106,-273,HM Amla,BA Stokes,3,51,106,49,16492,50.21,Right-hand bat,9,8,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1720,214,RSA,3,106,-273,HM Amla,BA Stokes,3,51,107,49,16492,50.21,Right-hand bat,10,8,0,5298.1,35.16,61.6,rfm,1,ENG,seam,no,19.36875,6.45625
4,1731,225,RSA,3,108,-271,HM Amla,BA Stokes,3,52,114,49,16492,50.21,Right-hand bat,15,10,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1732,226,RSA,3,108,-271,HM Amla,BA Stokes,3,52,115,49,16492,50.21,Right-hand bat,16,10,0,5298.1,35.16,61.6,rfm,1,ENG,seam,no,19.36875,6.45625
4,1740,234,RSA,3,114,-265,HM Amla,BA Stokes,3,55,120,49,16492,50.21,Right-hand bat,18,13,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1741,235,RSA,3,114,-265,HM Amla,BA Stokes,3,55,121,49,16492,50.21,Right-hand bat,19,13,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1742,236,RSA,3,114,-265,HM Amla,BA Stokes,3,55,122,49,16492,50.21,Right-hand bat,20,13,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1743,237,RSA,3,114,-265,HM Amla,BA Stokes,3,55,123,49,16492,50.21,Right-hand bat,21,13,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1744,238,RSA,3,114,-265,HM Amla,BA Stokes,3,55,124,49,16492,50.21,Right-hand bat,22,13,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1745,239,RSA,3,114,-265,HM Amla,BA Stokes,3,55,125,49,16492,50.21,Right-hand bat,23,13,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1752,246,RSA,3,118,-261,HM Amla,BA Stokes,3,55,126,49,16492,50.21,Right-hand bat,24,13,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1753,247,RSA,3,118,-261,HM Amla,BA Stokes,3,55,127,49,16492,50.21,Right-hand bat,25,13,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1754,248,RSA,3,118,-261,HM Amla,BA Stokes,3,55,128,49,16492,50.21,Right-hand bat,26,13,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1755,249,RSA,3,118,-261,HM Amla,BA Stokes,3,55,129,49,16492,50.21,Right-hand bat,27,13,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1756,250,RSA,3,118,-261,HM Amla,BA Stokes,3,55,130,49,16492,50.21,Right-hand bat,28,13,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1757,251,RSA,3,118,-261,HM Amla,BA Stokes,3,55,131,49,16492,50.21,Right-hand bat,29,13,0,5298.1,35.16,61.6,rfm,4,ENG,seam,no,19.36875,6.45625
4,1765,259,RSA,3,124,-255,HM Amla,BA Stokes,3,59,136,49,16492,50.21,Right-hand bat,31,18,0,5298.1,35.16,61.6,rfm,4,ENG,seam,no,19.36875,6.45625
4,1766,260,RSA,3,128,-251,HM Amla,BA Stokes,3,63,137,49,16492,50.21,Right-hand bat,32,22,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
4,1767,261,RSA,3,128,-251,HM Amla,BA Stokes,3,63,138,49,16492,50.21,Right-hand bat,33,22,0,5298.1,35.16,61.6,rfm,0,ENG,seam,no,19.36875,6.45625
