innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,127,127,IND,4,86,86,R Dravid,HMRKB Herath,3,38,57,53.06,26261,42.03,Right-hand bat,0,0,0,4590.4,35.59,74,lo,0,IND,spin,yes,43.482993197278915,32.61224489795919
1,128,128,IND,4,86,86,R Dravid,HMRKB Herath,3,38,58,53.06,26261,42.03,Right-hand bat,1,0,0,4590.4,35.59,74,lo,0,IND,spin,yes,43.482993197278915,32.61224489795919
1,129,129,IND,4,86,86,R Dravid,HMRKB Herath,3,38,59,53.06,26261,42.03,Right-hand bat,2,0,0,4590.4,35.59,74,lo,0,IND,spin,yes,43.482993197278915,32.61224489795919
1,130,130,IND,4,86,86,R Dravid,HMRKB Herath,3,38,60,53.06,26261,42.03,Right-hand bat,3,0,0,4590.4,35.59,74,lo,0,IND,spin,yes,43.482993197278915,32.61224489795919
1,131,131,IND,4,86,86,R Dravid,HMRKB Herath,3,38,61,53.06,26261,42.03,Right-hand bat,4,0,0,4590.4,35.59,74,lo,0,IND,spin,yes,43.482993197278915,32.61224489795919
1,132,132,IND,4,86,86,R Dravid,HMRKB Herath,3,38,62,53.06,26261,42.03,Right-hand bat,5,0,0,4590.4,35.59,74,lo,6,IND,spin,yes,43.482993197278915,32.61224489795919
1,273,273,IND,5,197,197,R Dravid,HMRKB Herath,3,85,127,53.06,26261,42.03,Right-hand bat,13,13,0,4590.4,35.59,74,lo,0,IND,spin,yes,43.482993197278915,32.61224489795919
1,274,274,IND,5,197,197,R Dravid,HMRKB Herath,3,85,128,53.06,26261,42.03,Right-hand bat,14,13,0,4590.4,35.59,74,lo,1,IND,spin,yes,43.482993197278915,32.61224489795919
1,284,284,IND,5,203,203,R Dravid,HMRKB Herath,3,87,131,53.06,26261,42.03,Right-hand bat,18,18,0,4590.4,35.59,74,lo,0,IND,spin,yes,43.482993197278915,32.61224489795919
1,285,285,IND,5,203,203,R Dravid,HMRKB Herath,3,87,132,53.06,26261,42.03,Right-hand bat,19,18,0,4590.4,35.59,74,lo,0,IND,spin,yes,43.482993197278915,32.61224489795919
1,286,286,IND,5,203,203,R Dravid,HMRKB Herath,3,87,133,53.06,26261,42.03,Right-hand bat,20,18,0,4590.4,35.59,74,lo,0,IND,spin,yes,43.482993197278915,32.61224489795919
1,287,287,IND,5,203,203,R Dravid,HMRKB Herath,3,87,134,53.06,26261,42.03,Right-hand bat,21,18,0,4590.4,35.59,74,lo,0,IND,spin,yes,43.482993197278915,32.61224489795919
1,288,288,IND,5,203,203,R Dravid,HMRKB Herath,3,87,135,53.06,26261,42.03,Right-hand bat,22,18,0,4590.4,35.59,74,lo,0,IND,spin,yes,43.482993197278915,32.61224489795919
