innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1898,997,WIN,8,486,-57,SJ Benn,PL Harris,9,0,0,15.19,544,58.63,Left-hand bat,341,155,2,7176.1,36.67,78.8,lo,2,WIN,spin,no,36.67590027700831,33.008310249307485
2,1899,998,WIN,8,488,-55,SJ Benn,PL Harris,9,2,1,15.19,544,58.63,Left-hand bat,342,157,2,7176.1,36.67,78.8,lo,0,WIN,spin,no,36.67590027700831,33.008310249307485
2,1900,999,WIN,8,488,-55,SJ Benn,PL Harris,9,2,2,15.19,544,58.63,Left-hand bat,343,157,2,7176.1,36.67,78.8,lo,0,WIN,spin,no,36.67590027700831,33.008310249307485
2,1901,1000,WIN,8,488,-55,SJ Benn,PL Harris,9,2,3,15.19,544,58.63,Left-hand bat,344,157,2,7176.1,36.67,78.8,lo,0,WIN,spin,no,36.67590027700831,33.008310249307485
2,1902,1001,WIN,8,488,-55,SJ Benn,PL Harris,9,2,4,15.19,544,58.63,Left-hand bat,345,157,2,7176.1,36.67,78.8,lo,0,WIN,spin,no,36.67590027700831,33.008310249307485
2,1903,1002,WIN,8,488,-55,SJ Benn,PL Harris,9,2,5,15.19,544,58.63,Left-hand bat,346,157,2,7176.1,36.67,78.8,lo,0,WIN,spin,no,36.67590027700831,33.008310249307485
2,1915,1014,WIN,8,490,-53,SJ Benn,PL Harris,9,2,9,15.19,544,58.63,Left-hand bat,352,158,2,7176.1,36.67,78.8,lo,0,WIN,spin,no,36.67590027700831,33.008310249307485
2,1922,1021,WIN,8,494,-49,SJ Benn,PL Harris,9,2,10,15.19,544,58.63,Left-hand bat,353,158,2,7176.1,36.67,78.8,lo,1,WIN,spin,no,36.67590027700831,33.008310249307485
2,1924,1023,WIN,8,496,-47,SJ Benn,PL Harris,9,3,11,15.19,544,58.63,Left-hand bat,355,160,2,7176.1,36.67,78.8,lo,0,WIN,spin,no,36.67590027700831,33.008310249307485
2,1925,1024,WIN,8,496,-47,SJ Benn,PL Harris,9,3,12,15.19,544,58.63,Left-hand bat,356,160,2,7176.1,36.67,78.8,lo,0,WIN,spin,no,36.67590027700831,33.008310249307485
2,1926,1025,WIN,8,496,-47,SJ Benn,PL Harris,9,3,13,15.19,544,58.63,Left-hand bat,357,160,2,7176.1,36.67,78.8,lo,0,WIN,spin,no,36.67590027700831,33.008310249307485
2,1927,1026,WIN,8,496,-47,SJ Benn,PL Harris,9,3,14,15.19,544,58.63,Left-hand bat,358,160,2,7176.1,36.67,78.8,lo,0,WIN,spin,no,36.67590027700831,33.008310249307485
2,1934,1033,WIN,8,500,-43,SJ Benn,PL Harris,9,4,17,15.19,544,58.63,Left-hand bat,359,160,2,7176.1,36.67,78.8,lo,0,WIN,spin,no,36.67590027700831,33.008310249307485
2,1935,1034,WIN,8,500,-43,SJ Benn,PL Harris,9,4,18,15.19,544,58.63,Left-hand bat,360,160,2,7176.1,36.67,78.8,lo,0,WIN,spin,no,36.67590027700831,33.008310249307485
2,1936,1035,WIN,8,500,-43,SJ Benn,PL Harris,9,4,19,15.19,544,58.63,Left-hand bat,361,160,2,7176.1,36.67,78.8,lo,1,WIN,spin,no,36.67590027700831,33.008310249307485
2,1938,1037,WIN,8,502,-41,SJ Benn,PL Harris,9,5,20,15.19,544,58.63,Left-hand bat,363,162,2,7176.1,36.67,78.8,lo,0,WIN,spin,no,36.67590027700831,33.008310249307485
2,1939,1038,WIN,8,502,-41,SJ Benn,PL Harris,9,5,21,15.19,544,58.63,Left-hand bat,364,162,2,7176.1,36.67,78.8,lo,0,WIN,spin,no,36.67590027700831,33.008310249307485
2,1986,1085,WIN,8,541,-2,SJ Benn,PL Harris,9,23,38,15.19,544,58.63,Left-hand bat,368,163,2,7176.1,36.67,78.8,lo,2,WIN,spin,no,36.67590027700831,33.008310249307485
2,1987,1086,WIN,8,543,0,SJ Benn,PL Harris,9,25,39,15.19,544,58.63,Left-hand bat,369,165,2,7176.1,36.67,78.8,lo,0,WIN,spin,no,36.67590027700831,33.008310249307485
2,1988,1087,WIN,8,543,0,SJ Benn,PL Harris,9,25,40,15.19,544,58.63,Left-hand bat,370,165,2,7176.1,36.67,78.8,lo,0,WIN,spin,no,36.67590027700831,33.008310249307485
