innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1468,6,RSA,0,10,-337,AN Petersen,Harbhajan Singh,2,1,1,60.5,215,56.27,Right-hand bat,0,0,0,23400.1,30.94,65.9,rob,0,IND,spin,yes,21.816568047337277,25.45266272189349
3,1469,7,RSA,0,10,-337,AN Petersen,Harbhajan Singh,2,1,2,60.5,215,56.27,Right-hand bat,1,0,0,23400.1,30.94,65.9,rob,0,IND,spin,yes,21.816568047337277,25.45266272189349
3,1470,8,RSA,0,10,-337,AN Petersen,Harbhajan Singh,2,1,3,60.5,215,56.27,Right-hand bat,2,0,0,23400.1,30.94,65.9,rob,0,IND,spin,yes,21.816568047337277,25.45266272189349
3,1471,9,RSA,0,10,-337,AN Petersen,Harbhajan Singh,2,1,4,60.5,215,56.27,Right-hand bat,3,0,0,23400.1,30.94,65.9,rob,1,IND,spin,yes,21.816568047337277,25.45266272189349
3,1473,11,RSA,0,12,-335,AN Petersen,Harbhajan Singh,2,2,5,60.5,215,56.27,Right-hand bat,5,2,0,23400.1,30.94,65.9,rob,0,IND,spin,yes,21.816568047337277,25.45266272189349
3,1496,34,RSA,0,22,-325,AN Petersen,Harbhajan Singh,2,8,15,60.5,215,56.27,Right-hand bat,16,5,0,23400.1,30.94,65.9,rob,1,IND,spin,yes,21.816568047337277,25.45266272189349
3,1529,67,RSA,0,36,-311,AN Petersen,Harbhajan Singh,2,16,35,60.5,215,56.27,Right-hand bat,19,7,0,23400.1,30.94,65.9,rob,0,IND,spin,yes,21.816568047337277,25.45266272189349
3,1530,68,RSA,0,36,-311,AN Petersen,Harbhajan Singh,2,16,36,60.5,215,56.27,Right-hand bat,20,7,0,23400.1,30.94,65.9,rob,0,IND,spin,yes,21.816568047337277,25.45266272189349
3,1531,69,RSA,0,36,-311,AN Petersen,Harbhajan Singh,2,16,37,60.5,215,56.27,Right-hand bat,21,7,0,23400.1,30.94,65.9,rob,0,IND,spin,yes,21.816568047337277,25.45266272189349
3,1532,70,RSA,0,36,-311,AN Petersen,Harbhajan Singh,2,16,38,60.5,215,56.27,Right-hand bat,22,7,0,23400.1,30.94,65.9,rob,0,IND,spin,yes,21.816568047337277,25.45266272189349
3,1533,71,RSA,0,36,-311,AN Petersen,Harbhajan Singh,2,16,39,60.5,215,56.27,Right-hand bat,23,7,0,23400.1,30.94,65.9,rob,0,IND,spin,yes,21.816568047337277,25.45266272189349
3,1540,78,RSA,1,36,-311,AN Petersen,Harbhajan Singh,2,16,40,60.5,215,56.27,Right-hand bat,24,7,0,23400.1,30.94,65.9,rob,1,IND,spin,yes,21.816568047337277,25.45266272189349
3,1568,106,RSA,1,54,-293,AN Petersen,Harbhajan Singh,2,21,49,60.5,215,56.27,Right-hand bat,36,14,0,23400.1,30.94,65.9,rob,0,IND,spin,yes,21.816568047337277,25.45266272189349
3,1569,107,RSA,1,54,-293,AN Petersen,Harbhajan Singh,2,21,50,60.5,215,56.27,Right-hand bat,37,14,0,23400.1,30.94,65.9,rob,W,IND,spin,yes,21.816568047337277,25.45266272189349
