innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1254,103,IND,2,53,-191,R Dravid,M Muralitharan,2,11,50,53.53,27067,42.32,Right-hand bat,4,1,0,44034.5,22.72,55,rob,0,SRL,spin,no,26.67091836734694,17.25765306122449
3,1255,104,IND,2,53,-191,R Dravid,M Muralitharan,2,11,51,53.53,27067,42.32,Right-hand bat,5,1,0,44034.5,22.72,55,rob,0,SRL,spin,no,26.67091836734694,17.25765306122449
3,1262,111,IND,2,53,-191,R Dravid,M Muralitharan,2,11,52,53.53,27067,42.32,Right-hand bat,6,1,0,44034.5,22.72,55,rob,1,SRL,spin,no,26.67091836734694,17.25765306122449
3,1274,123,IND,2,67,-177,R Dravid,M Muralitharan,2,12,53,53.53,27067,42.32,Right-hand bat,12,11,0,44034.5,22.72,55,rob,0,SRL,spin,no,26.67091836734694,17.25765306122449
3,1275,124,IND,2,67,-177,R Dravid,M Muralitharan,2,12,54,53.53,27067,42.32,Right-hand bat,13,11,0,44034.5,22.72,55,rob,0,SRL,spin,no,26.67091836734694,17.25765306122449
3,1276,125,IND,2,67,-177,R Dravid,M Muralitharan,2,12,55,53.53,27067,42.32,Right-hand bat,14,11,0,44034.5,22.72,55,rob,0,SRL,spin,no,26.67091836734694,17.25765306122449
3,1277,126,IND,2,67,-177,R Dravid,M Muralitharan,2,12,56,53.53,27067,42.32,Right-hand bat,15,11,0,44034.5,22.72,55,rob,0,SRL,spin,no,26.67091836734694,17.25765306122449
3,1278,127,IND,2,67,-177,R Dravid,M Muralitharan,2,12,57,53.53,27067,42.32,Right-hand bat,16,11,0,44034.5,22.72,55,rob,1lb,SRL,spin,no,26.67091836734694,17.25765306122449
3,1287,136,IND,2,69,-175,R Dravid,M Muralitharan,2,12,64,53.53,27067,42.32,Right-hand bat,19,12,0,44034.5,22.72,55,rob,1,SRL,spin,no,26.67091836734694,17.25765306122449
3,1298,147,IND,2,75,-169,R Dravid,M Muralitharan,2,13,65,53.53,27067,42.32,Right-hand bat,24,14,0,44034.5,22.72,55,rob,1,SRL,spin,no,26.67091836734694,17.25765306122449
3,1366,215,IND,2,114,-130,R Dravid,M Muralitharan,2,31,107,53.53,27067,42.32,Right-hand bat,36,23,0,44034.5,22.72,55,rob,1,SRL,spin,no,26.67091836734694,17.25765306122449
3,1370,219,IND,2,118,-126,R Dravid,M Muralitharan,2,32,108,53.53,27067,42.32,Right-hand bat,40,27,0,44034.5,22.72,55,rob,0,SRL,spin,no,26.67091836734694,17.25765306122449
3,1371,220,IND,2,118,-126,R Dravid,M Muralitharan,2,32,109,53.53,27067,42.32,Right-hand bat,41,27,0,44034.5,22.72,55,rob,0,SRL,spin,no,26.67091836734694,17.25765306122449
3,1382,231,IND,2,124,-120,R Dravid,M Muralitharan,2,35,111,53.53,27067,42.32,Right-hand bat,46,28,0,44034.5,22.72,55,rob,0,SRL,spin,no,26.67091836734694,17.25765306122449
3,1383,232,IND,2,124,-120,R Dravid,M Muralitharan,2,35,112,53.53,27067,42.32,Right-hand bat,47,28,0,44034.5,22.72,55,rob,0,SRL,spin,no,26.67091836734694,17.25765306122449
3,1394,243,IND,2,126,-118,R Dravid,M Muralitharan,2,35,113,53.53,27067,42.32,Right-hand bat,52,29,0,44034.5,22.72,55,rob,0,SRL,spin,no,26.67091836734694,17.25765306122449
3,1395,244,IND,2,126,-118,R Dravid,M Muralitharan,2,35,114,53.53,27067,42.32,Right-hand bat,53,29,0,44034.5,22.72,55,rob,0,SRL,spin,no,26.67091836734694,17.25765306122449
3,1416,265,IND,2,134,-110,R Dravid,M Muralitharan,2,35,122,53.53,27067,42.32,Right-hand bat,62,32,0,44034.5,22.72,55,rob,0,SRL,spin,no,26.67091836734694,17.25765306122449
3,1417,266,IND,2,134,-110,R Dravid,M Muralitharan,2,35,123,53.53,27067,42.32,Right-hand bat,63,32,0,44034.5,22.72,55,rob,1,SRL,spin,no,26.67091836734694,17.25765306122449
3,1431,280,IND,2,144,-100,R Dravid,M Muralitharan,2,37,128,53.53,27067,42.32,Right-hand bat,71,40,0,44034.5,22.72,55,rob,0,SRL,spin,no,26.67091836734694,17.25765306122449
3,1438,287,IND,2,146,-98,R Dravid,M Muralitharan,2,38,133,53.53,27067,42.32,Right-hand bat,72,40,0,44034.5,22.72,55,rob,0,SRL,spin,no,26.67091836734694,17.25765306122449
3,1439,288,IND,2,146,-98,R Dravid,M Muralitharan,2,38,134,53.53,27067,42.32,Right-hand bat,73,40,0,44034.5,22.72,55,rob,0,SRL,spin,no,26.67091836734694,17.25765306122449
3,1440,289,IND,2,146,-98,R Dravid,M Muralitharan,2,38,135,53.53,27067,42.32,Right-hand bat,74,40,0,44034.5,22.72,55,rob,0,SRL,spin,no,26.67091836734694,17.25765306122449
3,1441,290,IND,2,146,-98,R Dravid,M Muralitharan,2,38,136,53.53,27067,42.32,Right-hand bat,75,40,0,44034.5,22.72,55,rob,0,SRL,spin,no,26.67091836734694,17.25765306122449
3,1442,291,IND,2,146,-98,R Dravid,M Muralitharan,2,38,137,53.53,27067,42.32,Right-hand bat,76,40,0,44034.5,22.72,55,rob,0,SRL,spin,no,26.67091836734694,17.25765306122449
3,1443,292,IND,2,146,-98,R Dravid,M Muralitharan,2,38,138,53.53,27067,42.32,Right-hand bat,77,40,0,44034.5,22.72,55,rob,4,SRL,spin,no,26.67091836734694,17.25765306122449
3,1450,299,IND,2,152,-92,R Dravid,M Muralitharan,2,43,143,53.53,27067,42.32,Right-hand bat,78,44,0,44034.5,22.72,55,rob,1,SRL,spin,no,26.67091836734694,17.25765306122449
3,1467,316,IND,2,160,-84,R Dravid,M Muralitharan,2,44,150,53.53,27067,42.32,Right-hand bat,89,51,0,44034.5,22.72,55,rob,0,SRL,spin,no,26.67091836734694,17.25765306122449
