innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,326,326,RSA,2,191,191,JH Kallis,Wahab Riaz,4,1,4,55.83,25364,44.68,Right-hand bat,61,40,1,426.2,28.44,47.5,lf,1,PAK,seam,yes,24.748800000000003,26.8112
1,330,330,RSA,2,193,193,JH Kallis,Wahab Riaz,4,2,5,55.83,25364,44.68,Right-hand bat,65,42,1,426.2,28.44,47.5,lf,0,PAK,seam,yes,24.748800000000003,26.8112
1,331,331,RSA,2,193,193,JH Kallis,Wahab Riaz,4,2,6,55.83,25364,44.68,Right-hand bat,66,42,1,426.2,28.44,47.5,lf,1wd,PAK,seam,yes,24.748800000000003,26.8112
1,332,332,RSA,2,194,194,JH Kallis,Wahab Riaz,4,2,6,55.83,25364,44.68,Right-hand bat,67,43,1,426.2,28.44,47.5,lf,0,PAK,seam,yes,24.748800000000003,26.8112
1,352,352,RSA,2,198,198,JH Kallis,Wahab Riaz,4,3,15,55.83,25364,44.68,Right-hand bat,75,44,1,426.2,28.44,47.5,lf,0,PAK,seam,yes,24.748800000000003,26.8112
1,353,353,RSA,2,198,198,JH Kallis,Wahab Riaz,4,3,16,55.83,25364,44.68,Right-hand bat,76,44,1,426.2,28.44,47.5,lf,0,PAK,seam,yes,24.748800000000003,26.8112
1,354,354,RSA,2,198,198,JH Kallis,Wahab Riaz,4,3,17,55.83,25364,44.68,Right-hand bat,77,44,1,426.2,28.44,47.5,lf,0,PAK,seam,yes,24.748800000000003,26.8112
1,355,355,RSA,2,198,198,JH Kallis,Wahab Riaz,4,3,18,55.83,25364,44.68,Right-hand bat,78,44,1,426.2,28.44,47.5,lf,0,PAK,seam,yes,24.748800000000003,26.8112
1,356,356,RSA,2,198,198,JH Kallis,Wahab Riaz,4,3,19,55.83,25364,44.68,Right-hand bat,79,44,1,426.2,28.44,47.5,lf,1,PAK,seam,yes,24.748800000000003,26.8112
1,363,363,RSA,2,202,202,JH Kallis,Wahab Riaz,4,6,25,55.83,25364,44.68,Right-hand bat,80,45,1,426.2,28.44,47.5,lf,0,PAK,seam,yes,24.748800000000003,26.8112
1,364,364,RSA,2,202,202,JH Kallis,Wahab Riaz,4,6,26,55.83,25364,44.68,Right-hand bat,81,45,1,426.2,28.44,47.5,lf,0,PAK,seam,yes,24.748800000000003,26.8112
1,365,365,RSA,2,202,202,JH Kallis,Wahab Riaz,4,6,27,55.83,25364,44.68,Right-hand bat,82,45,1,426.2,28.44,47.5,lf,0,PAK,seam,yes,24.748800000000003,26.8112
1,366,366,RSA,2,202,202,JH Kallis,Wahab Riaz,4,6,28,55.83,25364,44.68,Right-hand bat,83,45,1,426.2,28.44,47.5,lf,0,PAK,seam,yes,24.748800000000003,26.8112
1,367,367,RSA,2,202,202,JH Kallis,Wahab Riaz,4,6,29,55.83,25364,44.68,Right-hand bat,84,45,1,426.2,28.44,47.5,lf,1,PAK,seam,yes,24.748800000000003,26.8112
1,375,375,RSA,2,212,212,JH Kallis,Wahab Riaz,4,13,34,55.83,25364,44.68,Right-hand bat,86,46,1,426.2,28.44,47.5,lf,1,PAK,seam,yes,24.748800000000003,26.8112
1,389,389,RSA,2,224,224,JH Kallis,Wahab Riaz,4,14,36,55.83,25364,44.68,Right-hand bat,94,55,1,426.2,28.44,47.5,lf,1,PAK,seam,yes,24.748800000000003,26.8112
1,392,392,RSA,2,226,226,JH Kallis,Wahab Riaz,4,15,37,55.83,25364,44.68,Right-hand bat,97,57,1,426.2,28.44,47.5,lf,1,PAK,seam,yes,24.748800000000003,26.8112
1,510,510,RSA,2,304,304,JH Kallis,Wahab Riaz,4,48,91,55.83,25364,44.68,Right-hand bat,101,59,1,426.2,28.44,47.5,lf,1,PAK,seam,yes,24.748800000000003,26.8112
1,519,519,RSA,2,306,306,JH Kallis,Wahab Riaz,4,50,97,55.83,25364,44.68,Right-hand bat,104,60,1,426.2,28.44,47.5,lf,0,PAK,seam,yes,24.748800000000003,26.8112
1,520,520,RSA,2,306,306,JH Kallis,Wahab Riaz,4,50,98,55.83,25364,44.68,Right-hand bat,105,60,1,426.2,28.44,47.5,lf,0,PAK,seam,yes,24.748800000000003,26.8112
1,521,521,RSA,2,306,306,JH Kallis,Wahab Riaz,4,50,99,55.83,25364,44.68,Right-hand bat,106,60,1,426.2,28.44,47.5,lf,1,PAK,seam,yes,24.748800000000003,26.8112
