innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,19,19,RSA,0,6,6,SC Cook,JR Hazlewood,1,5,13,39.9,939,42.49,Right-hand bat,6,0,0,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,20,20,RSA,0,6,6,SC Cook,JR Hazlewood,1,5,14,39.9,939,42.49,Right-hand bat,7,0,0,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,21,21,RSA,0,6,6,SC Cook,JR Hazlewood,1,5,15,39.9,939,42.49,Right-hand bat,8,0,0,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,22,22,RSA,0,6,6,SC Cook,JR Hazlewood,1,5,16,39.9,939,42.49,Right-hand bat,9,0,0,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,23,23,RSA,0,6,6,SC Cook,JR Hazlewood,1,5,17,39.9,939,42.49,Right-hand bat,10,0,0,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,24,24,RSA,0,6,6,SC Cook,JR Hazlewood,1,5,18,39.9,939,42.49,Right-hand bat,11,0,0,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,61,61,RSA,1,25,25,SC Cook,JR Hazlewood,1,13,37,39.9,939,42.49,Right-hand bat,18,4,0,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,62,62,RSA,1,25,25,SC Cook,JR Hazlewood,1,13,38,39.9,939,42.49,Right-hand bat,19,4,0,4842.2,25.61,51.5,rfm,2,AUS,seam,yes,23.8828125,7.9609375
1,63,63,RSA,1,27,27,SC Cook,JR Hazlewood,1,15,39,39.9,939,42.49,Right-hand bat,20,6,0,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,64,64,RSA,1,27,27,SC Cook,JR Hazlewood,1,15,40,39.9,939,42.49,Right-hand bat,21,6,0,4842.2,25.61,51.5,rfm,1,AUS,seam,yes,23.8828125,7.9609375
1,103,103,RSA,3,58,58,SC Cook,JR Hazlewood,1,31,54,39.9,939,42.49,Right-hand bat,36,13,2,4842.2,25.61,51.5,rfm,2,AUS,seam,yes,23.8828125,7.9609375
1,104,104,RSA,3,60,60,SC Cook,JR Hazlewood,1,33,55,39.9,939,42.49,Right-hand bat,37,15,2,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,105,105,RSA,3,60,60,SC Cook,JR Hazlewood,1,33,56,39.9,939,42.49,Right-hand bat,38,15,2,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,106,106,RSA,3,60,60,SC Cook,JR Hazlewood,1,33,57,39.9,939,42.49,Right-hand bat,39,15,2,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,107,107,RSA,3,60,60,SC Cook,JR Hazlewood,1,33,58,39.9,939,42.49,Right-hand bat,40,15,2,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,108,108,RSA,3,60,60,SC Cook,JR Hazlewood,1,33,59,39.9,939,42.49,Right-hand bat,41,15,2,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,115,115,RSA,3,68,68,SC Cook,JR Hazlewood,1,33,60,39.9,939,42.49,Right-hand bat,42,15,2,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,116,116,RSA,3,68,68,SC Cook,JR Hazlewood,1,33,61,39.9,939,42.49,Right-hand bat,43,15,2,4842.2,25.61,51.5,rfm,3,AUS,seam,yes,23.8828125,7.9609375
1,118,118,RSA,3,72,72,SC Cook,JR Hazlewood,1,36,62,39.9,939,42.49,Right-hand bat,45,19,2,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,119,119,RSA,3,72,72,SC Cook,JR Hazlewood,1,36,63,39.9,939,42.49,Right-hand bat,46,19,2,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,120,120,RSA,3,72,72,SC Cook,JR Hazlewood,1,36,64,39.9,939,42.49,Right-hand bat,47,19,2,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,176,176,RSA,3,92,92,SC Cook,JR Hazlewood,1,40,90,39.9,939,42.49,Right-hand bat,49,22,2,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,177,177,RSA,3,92,92,SC Cook,JR Hazlewood,1,40,91,39.9,939,42.49,Right-hand bat,50,22,2,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,178,178,RSA,3,92,92,SC Cook,JR Hazlewood,1,40,92,39.9,939,42.49,Right-hand bat,51,22,2,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,179,179,RSA,3,92,92,SC Cook,JR Hazlewood,1,40,93,39.9,939,42.49,Right-hand bat,52,22,2,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
1,180,180,RSA,3,92,92,SC Cook,JR Hazlewood,1,40,94,39.9,939,42.49,Right-hand bat,53,22,2,4842.2,25.61,51.5,rfm,0,AUS,seam,yes,23.8828125,7.9609375
