innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,25,25,ENG,1,8,8,AN Cook,UWMBCA Welegedara,2,1,7,49.23,11135,49.07,Left-hand bat,12,4,1,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
1,26,26,ENG,1,8,8,AN Cook,UWMBCA Welegedara,2,1,8,49.23,11135,49.07,Left-hand bat,13,4,1,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
1,27,27,ENG,1,8,8,AN Cook,UWMBCA Welegedara,2,1,9,49.23,11135,49.07,Left-hand bat,14,4,1,1218.3,51.7,71.8,lfm,4,ENG,seam,no,33.29666666666667,14.270000000000001
1,28,28,ENG,1,12,12,AN Cook,UWMBCA Welegedara,2,5,10,49.23,11135,49.07,Left-hand bat,15,8,1,1218.3,51.7,71.8,lfm,3,ENG,seam,no,33.29666666666667,14.270000000000001
1,41,41,ENG,2,20,20,AN Cook,UWMBCA Welegedara,2,11,13,49.23,11135,49.07,Left-hand bat,22,12,1,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
1,42,42,ENG,2,20,20,AN Cook,UWMBCA Welegedara,2,11,14,49.23,11135,49.07,Left-hand bat,23,12,1,1218.3,51.7,71.8,lfm,1,ENG,seam,no,33.29666666666667,14.270000000000001
1,49,49,ENG,3,26,26,AN Cook,UWMBCA Welegedara,2,13,18,49.23,11135,49.07,Left-hand bat,24,13,1,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
1,50,50,ENG,3,26,26,AN Cook,UWMBCA Welegedara,2,13,19,49.23,11135,49.07,Left-hand bat,25,13,1,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
1,51,51,ENG,3,26,26,AN Cook,UWMBCA Welegedara,2,13,20,49.23,11135,49.07,Left-hand bat,26,13,1,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
1,52,52,ENG,3,26,26,AN Cook,UWMBCA Welegedara,2,13,21,49.23,11135,49.07,Left-hand bat,27,13,1,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
1,53,53,ENG,3,26,26,AN Cook,UWMBCA Welegedara,2,13,22,49.23,11135,49.07,Left-hand bat,28,13,1,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
1,54,54,ENG,3,26,26,AN Cook,UWMBCA Welegedara,2,13,23,49.23,11135,49.07,Left-hand bat,29,13,1,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
1,61,61,ENG,3,34,34,AN Cook,UWMBCA Welegedara,2,13,24,49.23,11135,49.07,Left-hand bat,30,13,1,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
1,62,62,ENG,3,34,34,AN Cook,UWMBCA Welegedara,2,13,25,49.23,11135,49.07,Left-hand bat,31,13,1,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
1,63,63,ENG,3,34,34,AN Cook,UWMBCA Welegedara,2,13,26,49.23,11135,49.07,Left-hand bat,32,13,1,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
1,64,64,ENG,3,34,34,AN Cook,UWMBCA Welegedara,2,13,27,49.23,11135,49.07,Left-hand bat,33,13,1,1218.3,51.7,71.8,lfm,4,ENG,seam,no,33.29666666666667,14.270000000000001
1,65,65,ENG,3,38,38,AN Cook,UWMBCA Welegedara,2,17,28,49.23,11135,49.07,Left-hand bat,34,17,1,1218.3,51.7,71.8,lfm,1nb,ENG,seam,no,33.29666666666667,14.270000000000001
1,66,66,ENG,3,39,39,AN Cook,UWMBCA Welegedara,2,17,29,49.23,11135,49.07,Left-hand bat,35,18,1,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
1,67,67,ENG,3,39,39,AN Cook,UWMBCA Welegedara,2,17,30,49.23,11135,49.07,Left-hand bat,36,18,1,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
1,78,78,ENG,3,41,41,AN Cook,UWMBCA Welegedara,2,17,31,49.23,11135,49.07,Left-hand bat,41,19,1,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
1,79,79,ENG,3,41,41,AN Cook,UWMBCA Welegedara,2,17,32,49.23,11135,49.07,Left-hand bat,42,19,1,1218.3,51.7,71.8,lfm,4,ENG,seam,no,33.29666666666667,14.270000000000001
1,263,263,ENG,4,141,141,AN Cook,UWMBCA Welegedara,2,66,113,49.23,11135,49.07,Left-hand bat,55,27,2,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
1,264,264,ENG,4,141,141,AN Cook,UWMBCA Welegedara,2,66,114,49.23,11135,49.07,Left-hand bat,56,27,2,1218.3,51.7,71.8,lfm,1nb,ENG,seam,no,33.29666666666667,14.270000000000001
1,265,265,ENG,4,142,142,AN Cook,UWMBCA Welegedara,2,66,115,49.23,11135,49.07,Left-hand bat,57,28,2,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
1,266,266,ENG,4,142,142,AN Cook,UWMBCA Welegedara,2,66,116,49.23,11135,49.07,Left-hand bat,58,28,2,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
1,267,267,ENG,4,142,142,AN Cook,UWMBCA Welegedara,2,66,117,49.23,11135,49.07,Left-hand bat,59,28,2,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
1,268,268,ENG,4,142,142,AN Cook,UWMBCA Welegedara,2,66,118,49.23,11135,49.07,Left-hand bat,60,28,2,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
1,269,269,ENG,4,142,142,AN Cook,UWMBCA Welegedara,2,66,119,49.23,11135,49.07,Left-hand bat,61,28,2,1218.3,51.7,71.8,lfm,0,ENG,seam,no,33.29666666666667,14.270000000000001
