innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1618,496,WIN,6,223,80,DJG Sammy,P Kumar,8,0,0,16.32,801,57.05,Right-hand bat,87,28,2,660,21.16,55,rm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1619,497,WIN,6,223,80,DJG Sammy,P Kumar,8,0,1,16.32,801,57.05,Right-hand bat,88,28,2,660,21.16,55,rm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1620,498,WIN,6,223,80,DJG Sammy,P Kumar,8,0,2,16.32,801,57.05,Right-hand bat,89,28,2,660,21.16,55,rm,1,WIN,seam,no,18.647382920110193,10.65564738292011
3,1627,505,WIN,6,233,90,DJG Sammy,P Kumar,8,10,8,16.32,801,57.05,Right-hand bat,90,29,2,660,21.16,55,rm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1628,506,WIN,6,233,90,DJG Sammy,P Kumar,8,10,9,16.32,801,57.05,Right-hand bat,91,29,2,660,21.16,55,rm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1629,507,WIN,6,233,90,DJG Sammy,P Kumar,8,10,10,16.32,801,57.05,Right-hand bat,92,29,2,660,21.16,55,rm,1,WIN,seam,no,18.647382920110193,10.65564738292011
3,1631,509,WIN,6,237,94,DJG Sammy,P Kumar,8,11,11,16.32,801,57.05,Right-hand bat,94,33,2,660,21.16,55,rm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1632,510,WIN,6,237,94,DJG Sammy,P Kumar,8,11,12,16.32,801,57.05,Right-hand bat,95,33,2,660,21.16,55,rm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1640,518,WIN,6,245,102,DJG Sammy,P Kumar,8,12,15,16.32,801,57.05,Right-hand bat,97,36,2,660,21.16,55,rm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1641,519,WIN,6,245,102,DJG Sammy,P Kumar,8,12,16,16.32,801,57.05,Right-hand bat,98,36,2,660,21.16,55,rm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1642,520,WIN,6,245,102,DJG Sammy,P Kumar,8,12,17,16.32,801,57.05,Right-hand bat,99,36,2,660,21.16,55,rm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1643,521,WIN,6,245,102,DJG Sammy,P Kumar,8,12,18,16.32,801,57.05,Right-hand bat,100,36,2,660,21.16,55,rm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1644,522,WIN,6,245,102,DJG Sammy,P Kumar,8,12,19,16.32,801,57.05,Right-hand bat,101,36,2,660,21.16,55,rm,0,WIN,seam,no,18.647382920110193,10.65564738292011
