innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1155,33,WIN,1,8,-135,KA Edwards,I Sharma,3,0,0,58,224,51.78,Right-hand bat,15,5,1,6384.3,32.22,57,rfm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1156,34,WIN,1,8,-135,KA Edwards,I Sharma,3,0,1,58,224,51.78,Right-hand bat,16,5,1,6384.3,32.22,57,rfm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1157,35,WIN,1,8,-135,KA Edwards,I Sharma,3,0,2,58,224,51.78,Right-hand bat,17,5,1,6384.3,32.22,57,rfm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1164,42,WIN,2,10,-133,KA Edwards,I Sharma,3,0,3,58,224,51.78,Right-hand bat,18,5,1,6384.3,32.22,57,rfm,1,WIN,seam,no,18.647382920110193,10.65564738292011
3,1248,126,WIN,3,45,-98,KA Edwards,I Sharma,3,21,43,58,224,51.78,Right-hand bat,24,7,1,6384.3,32.22,57,rfm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1249,127,WIN,3,45,-98,KA Edwards,I Sharma,3,21,44,58,224,51.78,Right-hand bat,25,7,1,6384.3,32.22,57,rfm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1250,128,WIN,3,45,-98,KA Edwards,I Sharma,3,21,45,58,224,51.78,Right-hand bat,26,7,1,6384.3,32.22,57,rfm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1251,129,WIN,3,45,-98,KA Edwards,I Sharma,3,21,46,58,224,51.78,Right-hand bat,27,7,1,6384.3,32.22,57,rfm,1,WIN,seam,no,18.647382920110193,10.65564738292011
3,1253,131,WIN,3,47,-96,KA Edwards,I Sharma,3,22,47,58,224,51.78,Right-hand bat,29,9,1,6384.3,32.22,57,rfm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1260,138,WIN,3,47,-96,KA Edwards,I Sharma,3,22,48,58,224,51.78,Right-hand bat,30,9,1,6384.3,32.22,57,rfm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1261,139,WIN,3,47,-96,KA Edwards,I Sharma,3,22,49,58,224,51.78,Right-hand bat,31,9,1,6384.3,32.22,57,rfm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1262,140,WIN,3,47,-96,KA Edwards,I Sharma,3,22,50,58,224,51.78,Right-hand bat,32,9,1,6384.3,32.22,57,rfm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1263,141,WIN,3,47,-96,KA Edwards,I Sharma,3,22,51,58,224,51.78,Right-hand bat,33,9,1,6384.3,32.22,57,rfm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1264,142,WIN,3,47,-96,KA Edwards,I Sharma,3,22,52,58,224,51.78,Right-hand bat,34,9,1,6384.3,32.22,57,rfm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1265,143,WIN,3,47,-96,KA Edwards,I Sharma,3,22,53,58,224,51.78,Right-hand bat,35,9,1,6384.3,32.22,57,rfm,0,WIN,seam,no,18.647382920110193,10.65564738292011
3,1275,153,WIN,3,51,-92,KA Edwards,I Sharma,3,23,57,58,224,51.78,Right-hand bat,39,10,1,6384.3,32.22,57,rfm,3,WIN,seam,no,18.647382920110193,10.65564738292011
3,1326,204,WIN,3,82,-61,KA Edwards,I Sharma,3,43,78,58,224,51.78,Right-hand bat,47,14,1,6384.3,32.22,57,rfm,0,WIN,seam,no,18.647382920110193,10.65564738292011
