innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1148,190,IND,1,103,-434,CA Pujara,ZS Ansari,3,24,26,49.95,6134,48.85,Right-hand bat,21,10,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1149,191,IND,1,103,-434,CA Pujara,ZS Ansari,3,24,27,49.95,6134,48.85,Right-hand bat,22,10,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1150,192,IND,1,103,-434,CA Pujara,ZS Ansari,3,24,28,49.95,6134,48.85,Right-hand bat,23,10,0,336,46,67.2,lo,1,IND,spin,no,12.127229488703923,38.1141498216409
2,1158,200,IND,1,105,-432,CA Pujara,ZS Ansari,3,25,35,49.95,6134,48.85,Right-hand bat,25,12,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1159,201,IND,1,105,-432,CA Pujara,ZS Ansari,3,25,36,49.95,6134,48.85,Right-hand bat,26,12,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1160,202,IND,1,105,-432,CA Pujara,ZS Ansari,3,25,37,49.95,6134,48.85,Right-hand bat,27,12,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1161,203,IND,1,105,-432,CA Pujara,ZS Ansari,3,25,38,49.95,6134,48.85,Right-hand bat,28,12,0,336,46,67.2,lo,1,IND,spin,no,12.127229488703923,38.1141498216409
2,1183,225,IND,1,111,-426,CA Pujara,ZS Ansari,3,30,51,49.95,6134,48.85,Right-hand bat,38,14,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1184,226,IND,1,111,-426,CA Pujara,ZS Ansari,3,30,52,49.95,6134,48.85,Right-hand bat,39,14,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1185,227,IND,1,111,-426,CA Pujara,ZS Ansari,3,30,53,49.95,6134,48.85,Right-hand bat,40,14,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1186,228,IND,1,111,-426,CA Pujara,ZS Ansari,3,30,54,49.95,6134,48.85,Right-hand bat,41,14,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1198,240,IND,1,113,-424,CA Pujara,ZS Ansari,3,30,56,49.95,6134,48.85,Right-hand bat,47,15,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1207,249,IND,1,117,-420,CA Pujara,ZS Ansari,3,30,57,49.95,6134,48.85,Right-hand bat,50,18,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1208,250,IND,1,117,-420,CA Pujara,ZS Ansari,3,30,58,49.95,6134,48.85,Right-hand bat,51,18,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1209,251,IND,1,117,-420,CA Pujara,ZS Ansari,3,30,59,49.95,6134,48.85,Right-hand bat,52,18,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1210,252,IND,1,117,-420,CA Pujara,ZS Ansari,3,30,60,49.95,6134,48.85,Right-hand bat,53,18,0,336,46,67.2,lo,1,IND,spin,no,12.127229488703923,38.1141498216409
2,1222,264,IND,1,127,-410,CA Pujara,ZS Ansari,3,39,67,49.95,6134,48.85,Right-hand bat,59,20,0,336,46,67.2,lo,1,IND,spin,no,12.127229488703923,38.1141498216409
2,1229,271,IND,1,133,-404,CA Pujara,ZS Ansari,3,45,71,49.95,6134,48.85,Right-hand bat,60,21,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1230,272,IND,1,133,-404,CA Pujara,ZS Ansari,3,45,72,49.95,6134,48.85,Right-hand bat,61,21,0,336,46,67.2,lo,1,IND,spin,no,12.127229488703923,38.1141498216409
2,1381,423,IND,1,208,-329,CA Pujara,ZS Ansari,3,86,139,49.95,6134,48.85,Right-hand bat,68,33,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1382,424,IND,1,208,-329,CA Pujara,ZS Ansari,3,86,140,49.95,6134,48.85,Right-hand bat,69,33,0,336,46,67.2,lo,1,IND,spin,no,12.127229488703923,38.1141498216409
2,1384,426,IND,1,210,-327,CA Pujara,ZS Ansari,3,87,141,49.95,6134,48.85,Right-hand bat,71,35,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1391,433,IND,1,210,-327,CA Pujara,ZS Ansari,3,87,142,49.95,6134,48.85,Right-hand bat,72,35,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1392,434,IND,1,210,-327,CA Pujara,ZS Ansari,3,87,143,49.95,6134,48.85,Right-hand bat,73,35,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1393,435,IND,1,210,-327,CA Pujara,ZS Ansari,3,87,144,49.95,6134,48.85,Right-hand bat,74,35,0,336,46,67.2,lo,1,IND,spin,no,12.127229488703923,38.1141498216409
2,1403,445,IND,1,214,-323,CA Pujara,ZS Ansari,3,90,148,49.95,6134,48.85,Right-hand bat,78,36,0,336,46,67.2,lo,1,IND,spin,no,12.127229488703923,38.1141498216409
2,1405,447,IND,1,216,-321,CA Pujara,ZS Ansari,3,91,149,49.95,6134,48.85,Right-hand bat,80,38,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1406,448,IND,1,216,-321,CA Pujara,ZS Ansari,3,91,150,49.95,6134,48.85,Right-hand bat,81,38,0,336,46,67.2,lo,3,IND,spin,no,12.127229488703923,38.1141498216409
2,1469,511,IND,1,253,-284,CA Pujara,ZS Ansari,3,107,178,49.95,6134,48.85,Right-hand bat,84,42,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1470,512,IND,1,253,-284,CA Pujara,ZS Ansari,3,107,179,49.95,6134,48.85,Right-hand bat,85,42,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1471,513,IND,1,253,-284,CA Pujara,ZS Ansari,3,107,180,49.95,6134,48.85,Right-hand bat,86,42,0,336,46,67.2,lo,4,IND,spin,no,12.127229488703923,38.1141498216409
2,1472,514,IND,1,257,-280,CA Pujara,ZS Ansari,3,111,181,49.95,6134,48.85,Right-hand bat,87,46,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1473,515,IND,1,257,-280,CA Pujara,ZS Ansari,3,111,182,49.95,6134,48.85,Right-hand bat,88,46,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1474,516,IND,1,257,-280,CA Pujara,ZS Ansari,3,111,183,49.95,6134,48.85,Right-hand bat,89,46,0,336,46,67.2,lo,1,IND,spin,no,12.127229488703923,38.1141498216409
2,1481,523,IND,1,259,-278,CA Pujara,ZS Ansari,3,113,190,49.95,6134,48.85,Right-hand bat,90,47,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1482,524,IND,1,259,-278,CA Pujara,ZS Ansari,3,113,191,49.95,6134,48.85,Right-hand bat,91,47,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1483,525,IND,1,259,-278,CA Pujara,ZS Ansari,3,113,192,49.95,6134,48.85,Right-hand bat,92,47,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1484,526,IND,1,259,-278,CA Pujara,ZS Ansari,3,113,193,49.95,6134,48.85,Right-hand bat,93,47,0,336,46,67.2,lo,1,IND,spin,no,12.127229488703923,38.1141498216409
2,1493,535,IND,1,263,-274,CA Pujara,ZS Ansari,3,116,198,49.95,6134,48.85,Right-hand bat,96,48,0,336,46,67.2,lo,2,IND,spin,no,12.127229488703923,38.1141498216409
2,1494,536,IND,1,265,-272,CA Pujara,ZS Ansari,3,118,199,49.95,6134,48.85,Right-hand bat,97,50,0,336,46,67.2,lo,2,IND,spin,no,12.127229488703923,38.1141498216409
2,1495,537,IND,1,267,-270,CA Pujara,ZS Ansari,3,120,200,49.95,6134,48.85,Right-hand bat,98,52,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1496,538,IND,1,267,-270,CA Pujara,ZS Ansari,3,120,201,49.95,6134,48.85,Right-hand bat,99,52,0,336,46,67.2,lo,0,IND,spin,no,12.127229488703923,38.1141498216409
2,1497,539,IND,1,267,-270,CA Pujara,ZS Ansari,3,120,202,49.95,6134,48.85,Right-hand bat,100,52,0,336,46,67.2,lo,3,IND,spin,no,12.127229488703923,38.1141498216409
