innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,275,275,NZL,2,156,156,LRPL Taylor,SW Masakadza,4,7,23,42.85,4380,58.69,Right-hand bat,74,45,1,138,102,138,rfm,0,NZL,seam,no,21.737997256515776,4.725651577503429
1,276,276,NZL,2,156,156,LRPL Taylor,SW Masakadza,4,7,24,42.85,4380,58.69,Right-hand bat,75,45,1,138,102,138,rfm,0,NZL,seam,no,21.737997256515776,4.725651577503429
1,277,277,NZL,2,156,156,LRPL Taylor,SW Masakadza,4,7,25,42.85,4380,58.69,Right-hand bat,76,45,1,138,102,138,rfm,0,NZL,seam,no,21.737997256515776,4.725651577503429
1,278,278,NZL,2,156,156,LRPL Taylor,SW Masakadza,4,7,26,42.85,4380,58.69,Right-hand bat,77,45,1,138,102,138,rfm,4,NZL,seam,no,21.737997256515776,4.725651577503429
1,279,279,NZL,2,160,160,LRPL Taylor,SW Masakadza,4,11,27,42.85,4380,58.69,Right-hand bat,78,49,1,138,102,138,rfm,0,NZL,seam,no,21.737997256515776,4.725651577503429
1,286,286,NZL,2,164,164,LRPL Taylor,SW Masakadza,4,11,28,42.85,4380,58.69,Right-hand bat,79,49,1,138,102,138,rfm,0,NZL,seam,no,21.737997256515776,4.725651577503429
1,287,287,NZL,2,164,164,LRPL Taylor,SW Masakadza,4,11,29,42.85,4380,58.69,Right-hand bat,80,49,1,138,102,138,rfm,0,NZL,seam,no,21.737997256515776,4.725651577503429
1,288,288,NZL,2,164,164,LRPL Taylor,SW Masakadza,4,11,30,42.85,4380,58.69,Right-hand bat,81,49,1,138,102,138,rfm,0,NZL,seam,no,21.737997256515776,4.725651577503429
1,289,289,NZL,2,164,164,LRPL Taylor,SW Masakadza,4,11,31,42.85,4380,58.69,Right-hand bat,82,49,1,138,102,138,rfm,0,NZL,seam,no,21.737997256515776,4.725651577503429
1,290,290,NZL,2,164,164,LRPL Taylor,SW Masakadza,4,11,32,42.85,4380,58.69,Right-hand bat,83,49,1,138,102,138,rfm,0,NZL,seam,no,21.737997256515776,4.725651577503429
1,291,291,NZL,2,164,164,LRPL Taylor,SW Masakadza,4,11,33,42.85,4380,58.69,Right-hand bat,84,49,1,138,102,138,rfm,1,NZL,seam,no,21.737997256515776,4.725651577503429
1,298,298,NZL,2,176,176,LRPL Taylor,SW Masakadza,4,23,40,42.85,4380,58.69,Right-hand bat,85,50,1,138,102,138,rfm,0,NZL,seam,no,21.737997256515776,4.725651577503429
1,299,299,NZL,2,176,176,LRPL Taylor,SW Masakadza,4,23,41,42.85,4380,58.69,Right-hand bat,86,50,1,138,102,138,rfm,0,NZL,seam,no,21.737997256515776,4.725651577503429
1,300,300,NZL,2,176,176,LRPL Taylor,SW Masakadza,4,23,42,42.85,4380,58.69,Right-hand bat,87,50,1,138,102,138,rfm,2,NZL,seam,no,21.737997256515776,4.725651577503429
1,301,301,NZL,2,178,178,LRPL Taylor,SW Masakadza,4,25,43,42.85,4380,58.69,Right-hand bat,88,52,1,138,102,138,rfm,0,NZL,seam,no,21.737997256515776,4.725651577503429
1,302,302,NZL,2,178,178,LRPL Taylor,SW Masakadza,4,25,44,42.85,4380,58.69,Right-hand bat,89,52,1,138,102,138,rfm,0,NZL,seam,no,21.737997256515776,4.725651577503429
1,303,303,NZL,2,178,178,LRPL Taylor,SW Masakadza,4,25,45,42.85,4380,58.69,Right-hand bat,90,52,1,138,102,138,rfm,1,NZL,seam,no,21.737997256515776,4.725651577503429
1,387,387,NZL,4,228,228,LRPL Taylor,SW Masakadza,4,50,88,42.85,4380,58.69,Right-hand bat,95,55,1,138,102,138,rfm,0,NZL,seam,no,21.737997256515776,4.725651577503429
1,388,388,NZL,4,228,228,LRPL Taylor,SW Masakadza,4,50,89,42.85,4380,58.69,Right-hand bat,96,55,1,138,102,138,rfm,4lb,NZL,seam,no,21.737997256515776,4.725651577503429
1,389,389,NZL,4,232,232,LRPL Taylor,SW Masakadza,4,50,90,42.85,4380,58.69,Right-hand bat,97,55,1,138,102,138,rfm,0,NZL,seam,no,21.737997256515776,4.725651577503429
1,607,607,NZL,5,364,364,LRPL Taylor,SW Masakadza,4,121,200,42.85,4380,58.69,Right-hand bat,108,69,1,138,102,138,rfm,W,NZL,seam,no,21.737997256515776,4.725651577503429
