innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,78,78,RSA,1,51,51,HM Amla,DL Vettori,3,29,33,46.98,8759,50.96,Right-hand bat,0,0,0,28350.5,34.16,78.9,lo,1,NZL,spin,no,37.73979591836735,2.903061224489796
1,82,82,RSA,1,53,53,HM Amla,DL Vettori,3,30,34,46.98,8759,50.96,Right-hand bat,4,2,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,83,83,RSA,1,53,53,HM Amla,DL Vettori,3,30,35,46.98,8759,50.96,Right-hand bat,5,2,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,105,105,RSA,1,56,56,HM Amla,DL Vettori,3,30,47,46.98,8759,50.96,Right-hand bat,14,3,0,28350.5,34.16,78.9,lo,2,NZL,spin,no,37.73979591836735,2.903061224489796
1,106,106,RSA,1,58,58,HM Amla,DL Vettori,3,32,48,46.98,8759,50.96,Right-hand bat,15,5,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,107,107,RSA,1,58,58,HM Amla,DL Vettori,3,32,49,46.98,8759,50.96,Right-hand bat,16,5,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,108,108,RSA,1,58,58,HM Amla,DL Vettori,3,32,50,46.98,8759,50.96,Right-hand bat,17,5,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,115,115,RSA,1,58,58,HM Amla,DL Vettori,3,32,51,46.98,8759,50.96,Right-hand bat,18,5,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,116,116,RSA,1,58,58,HM Amla,DL Vettori,3,32,52,46.98,8759,50.96,Right-hand bat,19,5,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,117,117,RSA,1,58,58,HM Amla,DL Vettori,3,32,53,46.98,8759,50.96,Right-hand bat,20,5,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,118,118,RSA,1,58,58,HM Amla,DL Vettori,3,32,54,46.98,8759,50.96,Right-hand bat,21,5,0,28350.5,34.16,78.9,lo,1,NZL,spin,no,37.73979591836735,2.903061224489796
1,127,127,RSA,1,60,60,HM Amla,DL Vettori,3,34,61,46.98,8759,50.96,Right-hand bat,24,6,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,128,128,RSA,1,60,60,HM Amla,DL Vettori,3,34,62,46.98,8759,50.96,Right-hand bat,25,6,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,129,129,RSA,1,60,60,HM Amla,DL Vettori,3,34,63,46.98,8759,50.96,Right-hand bat,26,6,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,130,130,RSA,1,60,60,HM Amla,DL Vettori,3,34,64,46.98,8759,50.96,Right-hand bat,27,6,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,131,131,RSA,1,60,60,HM Amla,DL Vettori,3,34,65,46.98,8759,50.96,Right-hand bat,28,6,0,28350.5,34.16,78.9,lo,1,NZL,spin,no,37.73979591836735,2.903061224489796
1,139,139,RSA,1,64,64,HM Amla,DL Vettori,3,36,67,46.98,8759,50.96,Right-hand bat,30,7,0,28350.5,34.16,78.9,lo,1,NZL,spin,no,37.73979591836735,2.903061224489796
1,163,163,RSA,1,78,78,HM Amla,DL Vettori,3,43,74,46.98,8759,50.96,Right-hand bat,42,14,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,164,164,RSA,1,78,78,HM Amla,DL Vettori,3,43,75,46.98,8759,50.96,Right-hand bat,43,14,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,165,165,RSA,1,78,78,HM Amla,DL Vettori,3,43,76,46.98,8759,50.96,Right-hand bat,44,14,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,166,166,RSA,1,78,78,HM Amla,DL Vettori,3,43,77,46.98,8759,50.96,Right-hand bat,45,14,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,167,167,RSA,1,78,78,HM Amla,DL Vettori,3,43,78,46.98,8759,50.96,Right-hand bat,46,14,0,28350.5,34.16,78.9,lo,4,NZL,spin,no,37.73979591836735,2.903061224489796
1,168,168,RSA,1,82,82,HM Amla,DL Vettori,3,47,79,46.98,8759,50.96,Right-hand bat,47,18,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
