innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,2116,95,ENG,4,57,-133,IR Bell,ST Gabriel,6,0,0,47.18,10080,52.43,Right-hand bat,4,4,1,156.3,21.5,39.7,rf,0,ENG,seam,yes,28.873469387755097,4.812244897959183
4,2117,96,ENG,4,57,-133,IR Bell,ST Gabriel,6,0,1,47.18,10080,52.43,Right-hand bat,5,4,1,156.3,21.5,39.7,rf,0,ENG,seam,yes,28.873469387755097,4.812244897959183
4,2124,103,ENG,4,65,-125,IR Bell,ST Gabriel,6,3,5,47.18,10080,52.43,Right-hand bat,6,4,1,156.3,21.5,39.7,rf,0,ENG,seam,yes,28.873469387755097,4.812244897959183
4,2125,104,ENG,4,65,-125,IR Bell,ST Gabriel,6,3,6,47.18,10080,52.43,Right-hand bat,7,4,1,156.3,21.5,39.7,rf,1,ENG,seam,yes,28.873469387755097,4.812244897959183
4,2137,116,ENG,4,73,-117,IR Bell,ST Gabriel,6,6,13,47.18,10080,52.43,Right-hand bat,13,10,1,156.3,21.5,39.7,rf,0,ENG,seam,yes,28.873469387755097,4.812244897959183
4,2138,117,ENG,4,73,-117,IR Bell,ST Gabriel,6,6,14,47.18,10080,52.43,Right-hand bat,14,10,1,156.3,21.5,39.7,rf,1,ENG,seam,yes,28.873469387755097,4.812244897959183
4,2140,119,ENG,4,75,-115,IR Bell,ST Gabriel,6,7,15,47.18,10080,52.43,Right-hand bat,16,12,1,156.3,21.5,39.7,rf,2,ENG,seam,yes,28.873469387755097,4.812244897959183
4,2141,120,ENG,4,77,-113,IR Bell,ST Gabriel,6,9,16,47.18,10080,52.43,Right-hand bat,17,14,1,156.3,21.5,39.7,rf,4,ENG,seam,yes,28.873469387755097,4.812244897959183
4,2148,127,ENG,4,83,-107,IR Bell,ST Gabriel,6,14,20,47.18,10080,52.43,Right-hand bat,18,18,1,156.3,21.5,39.7,rf,0,ENG,seam,yes,28.873469387755097,4.812244897959183
4,2149,128,ENG,4,83,-107,IR Bell,ST Gabriel,6,14,21,47.18,10080,52.43,Right-hand bat,19,18,1,156.3,21.5,39.7,rf,0,ENG,seam,yes,28.873469387755097,4.812244897959183
4,2150,129,ENG,4,83,-107,IR Bell,ST Gabriel,6,14,22,47.18,10080,52.43,Right-hand bat,20,18,1,156.3,21.5,39.7,rf,0,ENG,seam,yes,28.873469387755097,4.812244897959183
4,2151,130,ENG,4,83,-107,IR Bell,ST Gabriel,6,14,23,47.18,10080,52.43,Right-hand bat,21,18,1,156.3,21.5,39.7,rf,0,ENG,seam,yes,28.873469387755097,4.812244897959183
4,2152,131,ENG,4,83,-107,IR Bell,ST Gabriel,6,14,24,47.18,10080,52.43,Right-hand bat,22,18,1,156.3,21.5,39.7,rf,0,ENG,seam,yes,28.873469387755097,4.812244897959183
4,2153,132,ENG,4,83,-107,IR Bell,ST Gabriel,6,14,25,47.18,10080,52.43,Right-hand bat,23,18,1,156.3,21.5,39.7,rf,0,ENG,seam,yes,28.873469387755097,4.812244897959183
4,2161,140,ENG,4,87,-103,IR Bell,ST Gabriel,6,15,29,47.18,10080,52.43,Right-hand bat,25,19,1,156.3,21.5,39.7,rf,0,ENG,seam,yes,28.873469387755097,4.812244897959183
4,2162,141,ENG,4,87,-103,IR Bell,ST Gabriel,6,15,30,47.18,10080,52.43,Right-hand bat,26,19,1,156.3,21.5,39.7,rf,2,ENG,seam,yes,28.873469387755097,4.812244897959183
4,2163,142,ENG,4,89,-101,IR Bell,ST Gabriel,6,17,31,47.18,10080,52.43,Right-hand bat,27,21,1,156.3,21.5,39.7,rf,1,ENG,seam,yes,28.873469387755097,4.812244897959183
