innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,0,0,PAK,0,0,0,Mohammad Hafeez,KMDN Kulasekara,1,0,0,38.46,3505,53.78,Right-hand bat,0,0,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,1,1,PAK,0,0,0,Mohammad Hafeez,KMDN Kulasekara,1,0,1,38.46,3505,53.78,Right-hand bat,1,0,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,2,2,PAK,0,0,0,Mohammad Hafeez,KMDN Kulasekara,1,0,2,38.46,3505,53.78,Right-hand bat,2,0,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,3,3,PAK,0,0,0,Mohammad Hafeez,KMDN Kulasekara,1,0,3,38.46,3505,53.78,Right-hand bat,3,0,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,4,4,PAK,0,0,0,Mohammad Hafeez,KMDN Kulasekara,1,0,4,38.46,3505,53.78,Right-hand bat,4,0,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,5,5,PAK,0,0,0,Mohammad Hafeez,KMDN Kulasekara,1,0,5,38.46,3505,53.78,Right-hand bat,5,0,0,2082.4,34.22,67.2,rfm,1,SRL,seam,no,16.919999999999998,39.480000000000004
1,40,40,PAK,0,18,18,Mohammad Hafeez,KMDN Kulasekara,1,3,20,38.46,3505,53.78,Right-hand bat,22,14,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,41,41,PAK,0,18,18,Mohammad Hafeez,KMDN Kulasekara,1,3,21,38.46,3505,53.78,Right-hand bat,23,14,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,48,48,PAK,0,26,26,Mohammad Hafeez,KMDN Kulasekara,1,3,22,38.46,3505,53.78,Right-hand bat,24,14,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,49,49,PAK,0,26,26,Mohammad Hafeez,KMDN Kulasekara,1,3,23,38.46,3505,53.78,Right-hand bat,25,14,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,50,50,PAK,0,26,26,Mohammad Hafeez,KMDN Kulasekara,1,3,24,38.46,3505,53.78,Right-hand bat,26,14,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,51,51,PAK,0,26,26,Mohammad Hafeez,KMDN Kulasekara,1,3,25,38.46,3505,53.78,Right-hand bat,27,14,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,52,52,PAK,0,26,26,Mohammad Hafeez,KMDN Kulasekara,1,3,26,38.46,3505,53.78,Right-hand bat,28,14,0,2082.4,34.22,67.2,rfm,3,SRL,seam,no,16.919999999999998,39.480000000000004
1,150,150,PAK,1,87,87,Mohammad Hafeez,KMDN Kulasekara,1,14,68,38.46,3505,53.78,Right-hand bat,36,19,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,151,151,PAK,1,87,87,Mohammad Hafeez,KMDN Kulasekara,1,14,69,38.46,3505,53.78,Right-hand bat,37,19,0,2082.4,34.22,67.2,rfm,2,SRL,seam,no,16.919999999999998,39.480000000000004
1,152,152,PAK,1,89,89,Mohammad Hafeez,KMDN Kulasekara,1,16,70,38.46,3505,53.78,Right-hand bat,38,21,0,2082.4,34.22,67.2,rfm,3,SRL,seam,no,16.919999999999998,39.480000000000004
1,186,186,PAK,1,109,109,Mohammad Hafeez,KMDN Kulasekara,1,33,84,38.46,3505,53.78,Right-hand bat,54,24,0,2082.4,34.22,67.2,rfm,1,SRL,seam,no,16.919999999999998,39.480000000000004
1,198,198,PAK,1,115,115,Mohammad Hafeez,KMDN Kulasekara,1,37,91,38.46,3505,53.78,Right-hand bat,60,27,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,199,199,PAK,1,115,115,Mohammad Hafeez,KMDN Kulasekara,1,37,92,38.46,3505,53.78,Right-hand bat,61,27,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,200,200,PAK,1,115,115,Mohammad Hafeez,KMDN Kulasekara,1,37,93,38.46,3505,53.78,Right-hand bat,62,27,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,201,201,PAK,1,115,115,Mohammad Hafeez,KMDN Kulasekara,1,37,94,38.46,3505,53.78,Right-hand bat,63,27,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,202,202,PAK,1,115,115,Mohammad Hafeez,KMDN Kulasekara,1,37,95,38.46,3505,53.78,Right-hand bat,64,27,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,203,203,PAK,1,115,115,Mohammad Hafeez,KMDN Kulasekara,1,37,96,38.46,3505,53.78,Right-hand bat,65,27,0,2082.4,34.22,67.2,rfm,4,SRL,seam,no,16.919999999999998,39.480000000000004
1,210,210,PAK,1,125,125,Mohammad Hafeez,KMDN Kulasekara,1,46,101,38.46,3505,53.78,Right-hand bat,66,31,0,2082.4,34.22,67.2,rfm,4,SRL,seam,no,16.919999999999998,39.480000000000004
1,211,211,PAK,1,129,129,Mohammad Hafeez,KMDN Kulasekara,1,50,102,38.46,3505,53.78,Right-hand bat,67,35,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,212,212,PAK,1,129,129,Mohammad Hafeez,KMDN Kulasekara,1,50,103,38.46,3505,53.78,Right-hand bat,68,35,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,213,213,PAK,1,129,129,Mohammad Hafeez,KMDN Kulasekara,1,50,104,38.46,3505,53.78,Right-hand bat,69,35,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,214,214,PAK,1,129,129,Mohammad Hafeez,KMDN Kulasekara,1,50,105,38.46,3505,53.78,Right-hand bat,70,35,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,215,215,PAK,1,129,129,Mohammad Hafeez,KMDN Kulasekara,1,50,106,38.46,3505,53.78,Right-hand bat,71,35,0,2082.4,34.22,67.2,rfm,4,SRL,seam,no,16.919999999999998,39.480000000000004
1,352,352,PAK,1,219,219,Mohammad Hafeez,KMDN Kulasekara,1,105,173,38.46,3505,53.78,Right-hand bat,75,40,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,353,353,PAK,1,219,219,Mohammad Hafeez,KMDN Kulasekara,1,105,174,38.46,3505,53.78,Right-hand bat,76,40,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
1,354,354,PAK,1,219,219,Mohammad Hafeez,KMDN Kulasekara,1,105,175,38.46,3505,53.78,Right-hand bat,77,40,0,2082.4,34.22,67.2,rfm,0,SRL,seam,no,16.919999999999998,39.480000000000004
