innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1710,668,PAK,8,314,203,Adnan Akmal,KMDN Kulasekara,10,4,28,27.5,980,44.89,Right-hand bat,132,50,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1711,669,PAK,8,314,203,Adnan Akmal,KMDN Kulasekara,10,4,29,27.5,980,44.89,Right-hand bat,133,50,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1712,670,PAK,8,314,203,Adnan Akmal,KMDN Kulasekara,10,4,30,27.5,980,44.89,Right-hand bat,134,50,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1713,671,PAK,8,314,203,Adnan Akmal,KMDN Kulasekara,10,4,31,27.5,980,44.89,Right-hand bat,135,50,1,2346.4,34.41,69.1,rfm,1,SRL,seam,no,21.115234375,14.447265625
3,1723,681,PAK,8,316,205,Adnan Akmal,KMDN Kulasekara,10,5,38,27.5,980,44.89,Right-hand bat,139,52,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1724,682,PAK,8,316,205,Adnan Akmal,KMDN Kulasekara,10,5,39,27.5,980,44.89,Right-hand bat,140,52,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1725,683,PAK,8,316,205,Adnan Akmal,KMDN Kulasekara,10,5,40,27.5,980,44.89,Right-hand bat,141,52,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1726,684,PAK,8,316,205,Adnan Akmal,KMDN Kulasekara,10,5,41,27.5,980,44.89,Right-hand bat,142,52,1,2346.4,34.41,69.1,rfm,4,SRL,seam,no,21.115234375,14.447265625
3,1727,685,PAK,8,320,209,Adnan Akmal,KMDN Kulasekara,10,9,42,27.5,980,44.89,Right-hand bat,143,56,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1735,693,PAK,8,324,213,Adnan Akmal,KMDN Kulasekara,10,9,45,27.5,980,44.89,Right-hand bat,145,57,1,2346.4,34.41,69.1,rfm,1,SRL,seam,no,21.115234375,14.447265625
3,1738,696,PAK,8,326,215,Adnan Akmal,KMDN Kulasekara,10,10,46,27.5,980,44.89,Right-hand bat,148,59,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1739,697,PAK,8,326,215,Adnan Akmal,KMDN Kulasekara,10,10,47,27.5,980,44.89,Right-hand bat,149,59,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1746,704,PAK,8,332,221,Adnan Akmal,KMDN Kulasekara,10,15,53,27.5,980,44.89,Right-hand bat,150,59,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1747,705,PAK,8,332,221,Adnan Akmal,KMDN Kulasekara,10,15,54,27.5,980,44.89,Right-hand bat,151,59,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1748,706,PAK,8,332,221,Adnan Akmal,KMDN Kulasekara,10,15,55,27.5,980,44.89,Right-hand bat,152,59,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1749,707,PAK,8,332,221,Adnan Akmal,KMDN Kulasekara,10,15,56,27.5,980,44.89,Right-hand bat,153,59,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1750,708,PAK,8,332,221,Adnan Akmal,KMDN Kulasekara,10,15,57,27.5,980,44.89,Right-hand bat,154,59,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1751,709,PAK,8,332,221,Adnan Akmal,KMDN Kulasekara,10,15,58,27.5,980,44.89,Right-hand bat,155,59,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1758,716,PAK,8,334,223,Adnan Akmal,KMDN Kulasekara,10,16,60,27.5,980,44.89,Right-hand bat,156,59,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1759,717,PAK,8,334,223,Adnan Akmal,KMDN Kulasekara,10,16,61,27.5,980,44.89,Right-hand bat,157,59,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1760,718,PAK,8,334,223,Adnan Akmal,KMDN Kulasekara,10,16,62,27.5,980,44.89,Right-hand bat,158,59,1,2346.4,34.41,69.1,rfm,4,SRL,seam,no,21.115234375,14.447265625
3,1761,719,PAK,8,338,227,Adnan Akmal,KMDN Kulasekara,10,20,63,27.5,980,44.89,Right-hand bat,159,63,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1762,720,PAK,8,338,227,Adnan Akmal,KMDN Kulasekara,10,20,64,27.5,980,44.89,Right-hand bat,160,63,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1763,721,PAK,8,338,227,Adnan Akmal,KMDN Kulasekara,10,20,65,27.5,980,44.89,Right-hand bat,161,63,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1772,730,PAK,8,343,232,Adnan Akmal,KMDN Kulasekara,10,21,70,27.5,980,44.89,Right-hand bat,164,65,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1773,731,PAK,8,343,232,Adnan Akmal,KMDN Kulasekara,10,21,71,27.5,980,44.89,Right-hand bat,165,65,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1774,732,PAK,8,343,232,Adnan Akmal,KMDN Kulasekara,10,21,72,27.5,980,44.89,Right-hand bat,166,65,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1775,733,PAK,8,343,232,Adnan Akmal,KMDN Kulasekara,10,21,73,27.5,980,44.89,Right-hand bat,167,65,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
3,1776,734,PAK,8,343,232,Adnan Akmal,KMDN Kulasekara,10,21,74,27.5,980,44.89,Right-hand bat,168,65,1,2346.4,34.41,69.1,rfm,0,SRL,seam,no,21.115234375,14.447265625
