innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,729,37,ENG,0,12,-315,AN Cook,Z Khan,1,8,18,49.37,14438,47.87,Left-hand bat,7,1,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,730,38,ENG,0,12,-315,AN Cook,Z Khan,1,8,19,49.37,14438,47.87,Left-hand bat,8,1,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,731,39,ENG,0,12,-315,AN Cook,Z Khan,1,8,20,49.37,14438,47.87,Left-hand bat,9,1,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,732,40,ENG,0,12,-315,AN Cook,Z Khan,1,8,21,49.37,14438,47.87,Left-hand bat,10,1,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,733,41,ENG,0,12,-315,AN Cook,Z Khan,1,8,22,49.37,14438,47.87,Left-hand bat,11,1,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,740,48,ENG,0,16,-311,AN Cook,Z Khan,1,8,23,49.37,14438,47.87,Left-hand bat,12,1,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,741,49,ENG,0,16,-311,AN Cook,Z Khan,1,8,24,49.37,14438,47.87,Left-hand bat,13,1,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,742,50,ENG,0,16,-311,AN Cook,Z Khan,1,8,25,49.37,14438,47.87,Left-hand bat,14,1,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,743,51,ENG,0,16,-311,AN Cook,Z Khan,1,8,26,49.37,14438,47.87,Left-hand bat,15,1,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,744,52,ENG,0,16,-311,AN Cook,Z Khan,1,8,27,49.37,14438,47.87,Left-hand bat,16,1,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,745,53,ENG,0,16,-311,AN Cook,Z Khan,1,8,28,49.37,14438,47.87,Left-hand bat,17,1,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,752,60,ENG,0,16,-311,AN Cook,Z Khan,1,8,29,49.37,14438,47.87,Left-hand bat,18,1,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,753,61,ENG,0,16,-311,AN Cook,Z Khan,1,8,30,49.37,14438,47.87,Left-hand bat,19,1,0,17424.2,32.14,59.2,lfm,4,IND,seam,no,1.0444444444444445,30.288888888888888
2,754,62,ENG,0,20,-307,AN Cook,Z Khan,1,12,31,49.37,14438,47.87,Left-hand bat,20,5,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,755,63,ENG,0,20,-307,AN Cook,Z Khan,1,12,32,49.37,14438,47.87,Left-hand bat,21,5,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,756,64,ENG,0,20,-307,AN Cook,Z Khan,1,12,33,49.37,14438,47.87,Left-hand bat,22,5,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,757,65,ENG,0,20,-307,AN Cook,Z Khan,1,12,34,49.37,14438,47.87,Left-hand bat,23,5,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,768,76,ENG,0,22,-305,AN Cook,Z Khan,1,12,37,49.37,14438,47.87,Left-hand bat,28,6,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,769,77,ENG,0,22,-305,AN Cook,Z Khan,1,12,38,49.37,14438,47.87,Left-hand bat,29,6,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,1040,348,ENG,2,164,-163,AN Cook,Z Khan,1,83,185,49.37,14438,47.87,Left-hand bat,30,6,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,1041,349,ENG,2,164,-163,AN Cook,Z Khan,1,83,186,49.37,14438,47.87,Left-hand bat,31,6,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,1042,350,ENG,2,164,-163,AN Cook,Z Khan,1,83,187,49.37,14438,47.87,Left-hand bat,32,6,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,1043,351,ENG,2,164,-163,AN Cook,Z Khan,1,83,188,49.37,14438,47.87,Left-hand bat,33,6,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,1044,352,ENG,2,164,-163,AN Cook,Z Khan,1,83,189,49.37,14438,47.87,Left-hand bat,34,6,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,1045,353,ENG,2,164,-163,AN Cook,Z Khan,1,83,190,49.37,14438,47.87,Left-hand bat,35,6,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,1056,364,ENG,2,166,-161,AN Cook,Z Khan,1,83,192,49.37,14438,47.87,Left-hand bat,40,7,0,17424.2,32.14,59.2,lfm,1,IND,seam,no,1.0444444444444445,30.288888888888888
2,1064,372,ENG,2,176,-151,AN Cook,Z Khan,1,85,197,49.37,14438,47.87,Left-hand bat,42,12,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,1065,373,ENG,2,176,-151,AN Cook,Z Khan,1,85,198,49.37,14438,47.87,Left-hand bat,43,12,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,1066,374,ENG,2,176,-151,AN Cook,Z Khan,1,85,199,49.37,14438,47.87,Left-hand bat,44,12,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,1067,375,ENG,2,176,-151,AN Cook,Z Khan,1,85,200,49.37,14438,47.87,Left-hand bat,45,12,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
2,1068,376,ENG,2,176,-151,AN Cook,Z Khan,1,85,201,49.37,14438,47.87,Left-hand bat,46,12,0,17424.2,32.14,59.2,lfm,0,IND,seam,no,1.0444444444444445,30.288888888888888
