innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,7,7,ENG,0,1,1,NRD Compton,TG Southee,2,0,0,36.23,1325,35.54,Right-hand bat,0,0,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
1,8,8,ENG,0,1,1,NRD Compton,TG Southee,2,0,1,36.23,1325,35.54,Right-hand bat,1,0,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
1,9,9,ENG,0,1,1,NRD Compton,TG Southee,2,0,2,36.23,1325,35.54,Right-hand bat,2,0,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
1,10,10,ENG,0,1,1,NRD Compton,TG Southee,2,0,3,36.23,1325,35.54,Right-hand bat,3,0,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
1,11,11,ENG,0,1,1,NRD Compton,TG Southee,2,0,4,36.23,1325,35.54,Right-hand bat,4,0,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
1,12,12,ENG,0,1,1,NRD Compton,TG Southee,2,0,5,36.23,1325,35.54,Right-hand bat,5,0,0,5160,33.61,63.7,rmf,3,ENG,seam,yes,16.65,1.35
1,31,31,ENG,0,7,7,NRD Compton,TG Southee,2,3,12,36.23,1325,35.54,Right-hand bat,12,6,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
1,32,32,ENG,0,7,7,NRD Compton,TG Southee,2,3,13,36.23,1325,35.54,Right-hand bat,13,6,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
1,33,33,ENG,0,7,7,NRD Compton,TG Southee,2,3,14,36.23,1325,35.54,Right-hand bat,14,6,0,5160,33.61,63.7,rmf,3,ENG,seam,yes,16.65,1.35
1,55,55,ENG,0,21,21,NRD Compton,TG Southee,2,7,27,36.23,1325,35.54,Right-hand bat,24,15,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
1,56,56,ENG,0,21,21,NRD Compton,TG Southee,2,7,28,36.23,1325,35.54,Right-hand bat,25,15,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
1,57,57,ENG,0,21,21,NRD Compton,TG Southee,2,7,29,36.23,1325,35.54,Right-hand bat,26,15,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
1,58,58,ENG,0,21,21,NRD Compton,TG Southee,2,7,30,36.23,1325,35.54,Right-hand bat,27,15,0,5160,33.61,63.7,rmf,1,ENG,seam,yes,16.65,1.35
1,79,79,ENG,0,33,33,NRD Compton,TG Southee,2,10,34,36.23,1325,35.54,Right-hand bat,36,18,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
1,80,80,ENG,0,33,33,NRD Compton,TG Southee,2,10,35,36.23,1325,35.54,Right-hand bat,37,18,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
1,81,81,ENG,0,33,33,NRD Compton,TG Southee,2,10,36,36.23,1325,35.54,Right-hand bat,38,18,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
1,82,82,ENG,0,33,33,NRD Compton,TG Southee,2,10,37,36.23,1325,35.54,Right-hand bat,39,18,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
1,83,83,ENG,0,33,33,NRD Compton,TG Southee,2,10,38,36.23,1325,35.54,Right-hand bat,40,18,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
1,84,84,ENG,0,33,33,NRD Compton,TG Southee,2,10,39,36.23,1325,35.54,Right-hand bat,41,18,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
