innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1481,383,ENG,8,200,225,GP Swann,TG Southee,10,0,0,22.73,1554,76.06,Right-hand bat,98,48,5,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1482,384,ENG,8,200,225,GP Swann,TG Southee,10,0,1,22.73,1554,76.06,Right-hand bat,99,48,5,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1483,385,ENG,8,200,225,GP Swann,TG Southee,10,0,2,22.73,1554,76.06,Right-hand bat,100,48,5,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1484,386,ENG,8,200,225,GP Swann,TG Southee,10,0,3,22.73,1554,76.06,Right-hand bat,101,48,5,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1491,393,ENG,8,208,233,GP Swann,TG Southee,10,0,4,22.73,1554,76.06,Right-hand bat,102,48,5,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1492,394,ENG,8,208,233,GP Swann,TG Southee,10,0,5,22.73,1554,76.06,Right-hand bat,103,48,5,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1493,395,ENG,8,208,233,GP Swann,TG Southee,10,0,6,22.73,1554,76.06,Right-hand bat,104,48,5,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1494,396,ENG,8,208,233,GP Swann,TG Southee,10,0,7,22.73,1554,76.06,Right-hand bat,105,48,5,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1495,397,ENG,8,208,233,GP Swann,TG Southee,10,0,8,22.73,1554,76.06,Right-hand bat,106,48,5,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1496,398,ENG,8,208,233,GP Swann,TG Southee,10,0,9,22.73,1554,76.06,Right-hand bat,107,48,5,5160,33.61,63.7,rmf,1,ENG,seam,yes,16.65,1.35
3,1504,406,ENG,8,210,235,GP Swann,TG Southee,10,1,16,22.73,1554,76.06,Right-hand bat,109,50,5,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1505,407,ENG,8,210,235,GP Swann,TG Southee,10,1,17,22.73,1554,76.06,Right-hand bat,110,50,5,5160,33.61,63.7,rmf,W,ENG,seam,yes,16.65,1.35
