innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1197,99,ENG,2,67,92,IJL Trott,TG Southee,3,16,26,49.95,7144,46.85,Right-hand bat,26,17,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1198,100,ENG,2,67,92,IJL Trott,TG Southee,3,16,27,49.95,7144,46.85,Right-hand bat,27,17,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1199,101,ENG,2,67,92,IJL Trott,TG Southee,3,16,28,49.95,7144,46.85,Right-hand bat,28,17,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1200,102,ENG,2,67,92,IJL Trott,TG Southee,3,16,29,49.95,7144,46.85,Right-hand bat,29,17,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1228,130,ENG,2,83,108,IJL Trott,TG Southee,3,21,42,49.95,7144,46.85,Right-hand bat,38,23,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1229,131,ENG,2,83,108,IJL Trott,TG Southee,3,21,43,49.95,7144,46.85,Right-hand bat,39,23,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1230,132,ENG,2,83,108,IJL Trott,TG Southee,3,21,44,49.95,7144,46.85,Right-hand bat,40,23,0,5160,33.61,63.7,rmf,1,ENG,seam,yes,16.65,1.35
3,1241,143,ENG,2,85,110,IJL Trott,TG Southee,3,22,51,49.95,7144,46.85,Right-hand bat,45,25,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1242,144,ENG,2,85,110,IJL Trott,TG Southee,3,22,52,49.95,7144,46.85,Right-hand bat,46,25,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1243,145,ENG,2,85,110,IJL Trott,TG Southee,3,22,53,49.95,7144,46.85,Right-hand bat,47,25,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1250,152,ENG,2,91,116,IJL Trott,TG Southee,3,25,56,49.95,7144,46.85,Right-hand bat,48,25,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1251,153,ENG,2,91,116,IJL Trott,TG Southee,3,25,57,49.95,7144,46.85,Right-hand bat,49,25,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1252,154,ENG,2,91,116,IJL Trott,TG Southee,3,25,58,49.95,7144,46.85,Right-hand bat,50,25,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1253,155,ENG,2,91,116,IJL Trott,TG Southee,3,25,59,49.95,7144,46.85,Right-hand bat,51,25,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1254,156,ENG,2,91,116,IJL Trott,TG Southee,3,25,60,49.95,7144,46.85,Right-hand bat,52,25,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1255,157,ENG,2,91,116,IJL Trott,TG Southee,3,25,61,49.95,7144,46.85,Right-hand bat,53,25,0,5160,33.61,63.7,rmf,0,ENG,seam,yes,16.65,1.35
3,1431,333,ENG,4,170,195,IJL Trott,TG Southee,3,55,134,49.95,7144,46.85,Right-hand bat,72,28,2,5160,33.61,63.7,rmf,1,ENG,seam,yes,16.65,1.35
