innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,226,226,ENG,4,125,125,JM Bairstow,JL Pattinson,6,0,1,30.23,735,53.46,Right-hand bat,67,37,1,2034,24.55,45.2,rfm,1nb,ENG,seam,yes,24.04875,5.101249999999999
1,227,227,ENG,4,126,126,JM Bairstow,JL Pattinson,6,0,2,30.23,735,53.46,Right-hand bat,68,38,1,2034,24.55,45.2,rfm,0,ENG,seam,yes,24.04875,5.101249999999999
1,234,234,ENG,4,130,130,JM Bairstow,JL Pattinson,6,0,3,30.23,735,53.46,Right-hand bat,69,38,1,2034,24.55,45.2,rfm,0,ENG,seam,yes,24.04875,5.101249999999999
1,235,235,ENG,4,130,130,JM Bairstow,JL Pattinson,6,0,4,30.23,735,53.46,Right-hand bat,70,38,1,2034,24.55,45.2,rfm,0,ENG,seam,yes,24.04875,5.101249999999999
1,236,236,ENG,4,130,130,JM Bairstow,JL Pattinson,6,0,5,30.23,735,53.46,Right-hand bat,71,38,1,2034,24.55,45.2,rfm,0,ENG,seam,yes,24.04875,5.101249999999999
1,237,237,ENG,4,130,130,JM Bairstow,JL Pattinson,6,0,6,30.23,735,53.46,Right-hand bat,72,38,1,2034,24.55,45.2,rfm,0,ENG,seam,yes,24.04875,5.101249999999999
1,238,238,ENG,4,130,130,JM Bairstow,JL Pattinson,6,0,7,30.23,735,53.46,Right-hand bat,73,38,1,2034,24.55,45.2,rfm,4,ENG,seam,yes,24.04875,5.101249999999999
1,239,239,ENG,4,134,134,JM Bairstow,JL Pattinson,6,4,8,30.23,735,53.46,Right-hand bat,74,42,1,2034,24.55,45.2,rfm,0,ENG,seam,yes,24.04875,5.101249999999999
1,246,246,ENG,4,138,138,JM Bairstow,JL Pattinson,6,4,9,30.23,735,53.46,Right-hand bat,75,42,1,2034,24.55,45.2,rfm,2,ENG,seam,yes,24.04875,5.101249999999999
1,247,247,ENG,4,140,140,JM Bairstow,JL Pattinson,6,6,10,30.23,735,53.46,Right-hand bat,76,44,1,2034,24.55,45.2,rfm,0,ENG,seam,yes,24.04875,5.101249999999999
1,248,248,ENG,4,140,140,JM Bairstow,JL Pattinson,6,6,11,30.23,735,53.46,Right-hand bat,77,44,1,2034,24.55,45.2,rfm,0,ENG,seam,yes,24.04875,5.101249999999999
1,249,249,ENG,4,140,140,JM Bairstow,JL Pattinson,6,6,12,30.23,735,53.46,Right-hand bat,78,44,1,2034,24.55,45.2,rfm,0,ENG,seam,yes,24.04875,5.101249999999999
1,250,250,ENG,4,140,140,JM Bairstow,JL Pattinson,6,6,13,30.23,735,53.46,Right-hand bat,79,44,1,2034,24.55,45.2,rfm,4,ENG,seam,yes,24.04875,5.101249999999999
1,251,251,ENG,4,144,144,JM Bairstow,JL Pattinson,6,10,14,30.23,735,53.46,Right-hand bat,80,48,1,2034,24.55,45.2,rfm,3,ENG,seam,yes,24.04875,5.101249999999999
