innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,930,0,NZL,0,0,-525,MJ Guptill,DW Steyn,1,0,0,30.6,3931,43.6,Right-hand bat,0,0,0,12972.2,23.28,41.5,rf,1,RSA,seam,no,25.141581632653065,5.465561224489796
2,932,2,NZL,0,2,-523,MJ Guptill,DW Steyn,1,1,1,30.6,3931,43.6,Right-hand bat,2,2,0,12972.2,23.28,41.5,rf,0,RSA,seam,no,25.141581632653065,5.465561224489796
2,933,3,NZL,0,2,-523,MJ Guptill,DW Steyn,1,1,2,30.6,3931,43.6,Right-hand bat,3,2,0,12972.2,23.28,41.5,rf,0,RSA,seam,no,25.141581632653065,5.465561224489796
2,934,4,NZL,0,2,-523,MJ Guptill,DW Steyn,1,1,3,30.6,3931,43.6,Right-hand bat,4,2,0,12972.2,23.28,41.5,rf,0,RSA,seam,no,25.141581632653065,5.465561224489796
2,935,5,NZL,0,2,-523,MJ Guptill,DW Steyn,1,1,4,30.6,3931,43.6,Right-hand bat,5,2,0,12972.2,23.28,41.5,rf,0,RSA,seam,no,25.141581632653065,5.465561224489796
2,942,12,NZL,0,2,-523,MJ Guptill,DW Steyn,1,1,5,30.6,3931,43.6,Right-hand bat,6,2,0,12972.2,23.28,41.5,rf,0,RSA,seam,no,25.141581632653065,5.465561224489796
2,943,13,NZL,0,2,-523,MJ Guptill,DW Steyn,1,1,6,30.6,3931,43.6,Right-hand bat,7,2,0,12972.2,23.28,41.5,rf,0,RSA,seam,no,25.141581632653065,5.465561224489796
2,944,14,NZL,0,2,-523,MJ Guptill,DW Steyn,1,1,7,30.6,3931,43.6,Right-hand bat,8,2,0,12972.2,23.28,41.5,rf,0,RSA,seam,no,25.141581632653065,5.465561224489796
2,945,15,NZL,0,2,-523,MJ Guptill,DW Steyn,1,1,8,30.6,3931,43.6,Right-hand bat,9,2,0,12972.2,23.28,41.5,rf,0,RSA,seam,no,25.141581632653065,5.465561224489796
2,946,16,NZL,0,2,-523,MJ Guptill,DW Steyn,1,1,9,30.6,3931,43.6,Right-hand bat,10,2,0,12972.2,23.28,41.5,rf,0,RSA,seam,no,25.141581632653065,5.465561224489796
2,947,17,NZL,0,2,-523,MJ Guptill,DW Steyn,1,1,10,30.6,3931,43.6,Right-hand bat,11,2,0,12972.2,23.28,41.5,rf,W,RSA,seam,no,25.141581632653065,5.465561224489796
