innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,0,0,RSA,0,0,0,GC Smith,Umar Gul,1,0,0,49.15,14585,59.65,Left-hand bat,0,0,0,9426.5,33.53,58.2,rfm,0,RSA,seam,yes,20.950413223140497,4.65564738292011
1,1,1,RSA,0,0,0,GC Smith,Umar Gul,1,0,1,49.15,14585,59.65,Left-hand bat,1,0,0,9426.5,33.53,58.2,rfm,0,RSA,seam,yes,20.950413223140497,4.65564738292011
1,2,2,RSA,0,0,0,GC Smith,Umar Gul,1,0,2,49.15,14585,59.65,Left-hand bat,2,0,0,9426.5,33.53,58.2,rfm,1,RSA,seam,yes,20.950413223140497,4.65564738292011
1,12,12,RSA,0,2,2,GC Smith,Umar Gul,1,2,5,49.15,14585,59.65,Left-hand bat,6,1,0,9426.5,33.53,58.2,rfm,0,RSA,seam,yes,20.950413223140497,4.65564738292011
1,13,13,RSA,0,2,2,GC Smith,Umar Gul,1,2,6,49.15,14585,59.65,Left-hand bat,7,1,0,9426.5,33.53,58.2,rfm,0,RSA,seam,yes,20.950413223140497,4.65564738292011
1,14,14,RSA,0,2,2,GC Smith,Umar Gul,1,2,7,49.15,14585,59.65,Left-hand bat,8,1,0,9426.5,33.53,58.2,rfm,0,RSA,seam,yes,20.950413223140497,4.65564738292011
1,15,15,RSA,0,2,2,GC Smith,Umar Gul,1,2,8,49.15,14585,59.65,Left-hand bat,9,1,0,9426.5,33.53,58.2,rfm,1,RSA,seam,yes,20.950413223140497,4.65564738292011
1,25,25,RSA,0,4,4,GC Smith,Umar Gul,1,3,15,49.15,14585,59.65,Left-hand bat,13,2,0,9426.5,33.53,58.2,rfm,0,RSA,seam,yes,20.950413223140497,4.65564738292011
1,26,26,RSA,0,4,4,GC Smith,Umar Gul,1,3,16,49.15,14585,59.65,Left-hand bat,14,2,0,9426.5,33.53,58.2,rfm,1,RSA,seam,yes,20.950413223140497,4.65564738292011
1,29,29,RSA,0,6,6,GC Smith,Umar Gul,1,4,17,49.15,14585,59.65,Left-hand bat,17,4,0,9426.5,33.53,58.2,rfm,0,RSA,seam,yes,20.950413223140497,4.65564738292011
1,36,36,RSA,0,6,6,GC Smith,Umar Gul,1,4,18,49.15,14585,59.65,Left-hand bat,18,4,0,9426.5,33.53,58.2,rfm,0,RSA,seam,yes,20.950413223140497,4.65564738292011
1,37,37,RSA,0,6,6,GC Smith,Umar Gul,1,4,19,49.15,14585,59.65,Left-hand bat,19,4,0,9426.5,33.53,58.2,rfm,0,RSA,seam,yes,20.950413223140497,4.65564738292011
1,38,38,RSA,0,6,6,GC Smith,Umar Gul,1,4,20,49.15,14585,59.65,Left-hand bat,20,4,0,9426.5,33.53,58.2,rfm,2,RSA,seam,yes,20.950413223140497,4.65564738292011
1,39,39,RSA,0,8,8,GC Smith,Umar Gul,1,6,21,49.15,14585,59.65,Left-hand bat,21,6,0,9426.5,33.53,58.2,rfm,0,RSA,seam,yes,20.950413223140497,4.65564738292011
