innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1143,252,NZL,5,100,-365,BJ Watling,SCJ Broad,7,6,10,32.66,1319,44.57,Right-hand bat,70,27,3,11178.2,31.45,61.7,rfm,0,NZL,seam,yes,27.303719008264466,12.741735537190083
2,1144,253,NZL,5,100,-365,BJ Watling,SCJ Broad,7,6,11,32.66,1319,44.57,Right-hand bat,71,27,3,11178.2,31.45,61.7,rfm,0,NZL,seam,yes,27.303719008264466,12.741735537190083
2,1145,254,NZL,5,100,-365,BJ Watling,SCJ Broad,7,6,12,32.66,1319,44.57,Right-hand bat,72,27,3,11178.2,31.45,61.7,rfm,1,NZL,seam,yes,27.303719008264466,12.741735537190083
2,1381,490,NZL,7,233,-232,BJ Watling,SCJ Broad,7,54,130,32.66,1319,44.57,Right-hand bat,80,40,3,11178.2,31.45,61.7,rfm,0,NZL,seam,yes,27.303719008264466,12.741735537190083
2,1382,491,NZL,7,233,-232,BJ Watling,SCJ Broad,7,54,131,32.66,1319,44.57,Right-hand bat,81,40,3,11178.2,31.45,61.7,rfm,2,NZL,seam,yes,27.303719008264466,12.741735537190083
2,1383,492,NZL,7,235,-230,BJ Watling,SCJ Broad,7,56,132,32.66,1319,44.57,Right-hand bat,82,42,3,11178.2,31.45,61.7,rfm,0,NZL,seam,yes,27.303719008264466,12.741735537190083
2,1384,493,NZL,7,235,-230,BJ Watling,SCJ Broad,7,56,133,32.66,1319,44.57,Right-hand bat,83,42,3,11178.2,31.45,61.7,rfm,0,NZL,seam,yes,27.303719008264466,12.741735537190083
2,1385,494,NZL,7,235,-230,BJ Watling,SCJ Broad,7,56,134,32.66,1319,44.57,Right-hand bat,84,42,3,11178.2,31.45,61.7,rfm,0,NZL,seam,yes,27.303719008264466,12.741735537190083
2,1386,495,NZL,7,235,-230,BJ Watling,SCJ Broad,7,56,135,32.66,1319,44.57,Right-hand bat,85,42,3,11178.2,31.45,61.7,rfm,0,NZL,seam,yes,27.303719008264466,12.741735537190083
2,1393,502,NZL,7,235,-230,BJ Watling,SCJ Broad,7,56,136,32.66,1319,44.57,Right-hand bat,86,42,3,11178.2,31.45,61.7,rfm,0,NZL,seam,yes,27.303719008264466,12.741735537190083
2,1394,503,NZL,7,235,-230,BJ Watling,SCJ Broad,7,56,137,32.66,1319,44.57,Right-hand bat,87,42,3,11178.2,31.45,61.7,rfm,4,NZL,seam,yes,27.303719008264466,12.741735537190083
2,1395,504,NZL,7,239,-226,BJ Watling,SCJ Broad,7,60,138,32.66,1319,44.57,Right-hand bat,88,46,3,11178.2,31.45,61.7,rfm,W,NZL,seam,yes,27.303719008264466,12.741735537190083
