innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1843,144,WIN,2,73,-382,MN Samuels,Sohail Khan,4,0,7,33.11,8184,47.73,Right-hand bat,18,14,0,1218.4,42.76,71.8,rfm,0,PAK,seam,no,19.140625,19.140625
4,1844,145,WIN,2,73,-382,MN Samuels,Sohail Khan,4,0,8,33.11,8184,47.73,Right-hand bat,19,14,0,1218.4,42.76,71.8,rfm,1,PAK,seam,no,19.140625,19.140625
4,1846,147,WIN,2,75,-380,MN Samuels,Sohail Khan,4,1,9,33.11,8184,47.73,Right-hand bat,21,16,0,1218.4,42.76,71.8,rfm,2,PAK,seam,no,19.140625,19.140625
4,1847,148,WIN,2,77,-378,MN Samuels,Sohail Khan,4,3,10,33.11,8184,47.73,Right-hand bat,22,18,0,1218.4,42.76,71.8,rfm,0,PAK,seam,no,19.140625,19.140625
4,1848,149,WIN,2,77,-378,MN Samuels,Sohail Khan,4,3,11,33.11,8184,47.73,Right-hand bat,23,18,0,1218.4,42.76,71.8,rfm,0,PAK,seam,no,19.140625,19.140625
4,1855,156,WIN,2,77,-378,MN Samuels,Sohail Khan,4,3,12,33.11,8184,47.73,Right-hand bat,24,18,0,1218.4,42.76,71.8,rfm,0,PAK,seam,no,19.140625,19.140625
4,1856,157,WIN,2,77,-378,MN Samuels,Sohail Khan,4,3,13,33.11,8184,47.73,Right-hand bat,25,18,0,1218.4,42.76,71.8,rfm,0,PAK,seam,no,19.140625,19.140625
4,1857,158,WIN,2,77,-378,MN Samuels,Sohail Khan,4,3,14,33.11,8184,47.73,Right-hand bat,26,18,0,1218.4,42.76,71.8,rfm,0,PAK,seam,no,19.140625,19.140625
4,1858,159,WIN,2,77,-378,MN Samuels,Sohail Khan,4,3,15,33.11,8184,47.73,Right-hand bat,27,18,0,1218.4,42.76,71.8,rfm,0,PAK,seam,no,19.140625,19.140625
4,1859,160,WIN,2,77,-378,MN Samuels,Sohail Khan,4,3,16,33.11,8184,47.73,Right-hand bat,28,18,0,1218.4,42.76,71.8,rfm,0,PAK,seam,no,19.140625,19.140625
4,1860,161,WIN,2,77,-378,MN Samuels,Sohail Khan,4,3,17,33.11,8184,47.73,Right-hand bat,29,18,0,1218.4,42.76,71.8,rfm,0,PAK,seam,no,19.140625,19.140625
4,1879,180,WIN,2,83,-372,MN Samuels,Sohail Khan,4,6,27,33.11,8184,47.73,Right-hand bat,36,18,0,1218.4,42.76,71.8,rfm,0,PAK,seam,no,19.140625,19.140625
4,1880,181,WIN,2,83,-372,MN Samuels,Sohail Khan,4,6,28,33.11,8184,47.73,Right-hand bat,37,18,0,1218.4,42.76,71.8,rfm,0,PAK,seam,no,19.140625,19.140625
4,1881,182,WIN,2,83,-372,MN Samuels,Sohail Khan,4,6,29,33.11,8184,47.73,Right-hand bat,38,18,0,1218.4,42.76,71.8,rfm,0,PAK,seam,no,19.140625,19.140625
4,1882,183,WIN,2,83,-372,MN Samuels,Sohail Khan,4,6,30,33.11,8184,47.73,Right-hand bat,39,18,0,1218.4,42.76,71.8,rfm,3,PAK,seam,no,19.140625,19.140625
