innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1971,68,SRL,1,29,-363,FDM Karunaratne,SR Watson,1,15,40,34.66,176,59.09,Left-hand bat,8,2,1,3888,30.01,62.7,rfm,1,AUS,seam,no,29.071836734693875,8.613877551020408
4,1993,90,SRL,1,31,-361,FDM Karunaratne,SR Watson,1,17,52,34.66,176,59.09,Left-hand bat,18,3,1,3888,30.01,62.7,rfm,0,AUS,seam,no,29.071836734693875,8.613877551020408
4,1994,91,SRL,1,31,-361,FDM Karunaratne,SR Watson,1,17,53,34.66,176,59.09,Left-hand bat,19,3,1,3888,30.01,62.7,rfm,4,AUS,seam,no,29.071836734693875,8.613877551020408
4,1995,92,SRL,1,35,-357,FDM Karunaratne,SR Watson,1,21,54,34.66,176,59.09,Left-hand bat,20,7,1,3888,30.01,62.7,rfm,0,AUS,seam,no,29.071836734693875,8.613877551020408
4,1996,93,SRL,1,35,-357,FDM Karunaratne,SR Watson,1,21,55,34.66,176,59.09,Left-hand bat,21,7,1,3888,30.01,62.7,rfm,0,AUS,seam,no,29.071836734693875,8.613877551020408
4,1997,94,SRL,1,35,-357,FDM Karunaratne,SR Watson,1,21,56,34.66,176,59.09,Left-hand bat,22,7,1,3888,30.01,62.7,rfm,0,AUS,seam,no,29.071836734693875,8.613877551020408
4,1998,95,SRL,1,35,-357,FDM Karunaratne,SR Watson,1,21,57,34.66,176,59.09,Left-hand bat,23,7,1,3888,30.01,62.7,rfm,0,AUS,seam,no,29.071836734693875,8.613877551020408
4,2005,102,SRL,1,37,-355,FDM Karunaratne,SR Watson,1,22,60,34.66,176,59.09,Left-hand bat,24,7,1,3888,30.01,62.7,rfm,0,AUS,seam,no,29.071836734693875,8.613877551020408
4,2006,103,SRL,1,37,-355,FDM Karunaratne,SR Watson,1,22,61,34.66,176,59.09,Left-hand bat,25,7,1,3888,30.01,62.7,rfm,0,AUS,seam,no,29.071836734693875,8.613877551020408
4,2007,104,SRL,1,37,-355,FDM Karunaratne,SR Watson,1,22,62,34.66,176,59.09,Left-hand bat,26,7,1,3888,30.01,62.7,rfm,0,AUS,seam,no,29.071836734693875,8.613877551020408
4,2008,105,SRL,1,37,-355,FDM Karunaratne,SR Watson,1,22,63,34.66,176,59.09,Left-hand bat,27,7,1,3888,30.01,62.7,rfm,0,AUS,seam,no,29.071836734693875,8.613877551020408
4,2009,106,SRL,1,37,-355,FDM Karunaratne,SR Watson,1,22,64,34.66,176,59.09,Left-hand bat,28,7,1,3888,30.01,62.7,rfm,1,AUS,seam,no,29.071836734693875,8.613877551020408
