innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,608,110,SRL,5,58,-163,DPMD Jayawardene,JEC Franklin,6,12,22,50.62,20579,51.65,Right-hand bat,1,1,0,4680.3,33.77,57.8,lm,0,SRL,seam,no,10.562222222222223,12.071111111111112
2,609,111,SRL,5,58,-163,DPMD Jayawardene,JEC Franklin,6,12,23,50.62,20579,51.65,Right-hand bat,2,1,0,4680.3,33.77,57.8,lm,0,SRL,seam,no,10.562222222222223,12.071111111111112
2,610,112,SRL,5,58,-163,DPMD Jayawardene,JEC Franklin,6,12,24,50.62,20579,51.65,Right-hand bat,3,1,0,4680.3,33.77,57.8,lm,0,SRL,seam,no,10.562222222222223,12.071111111111112
2,611,113,SRL,5,58,-163,DPMD Jayawardene,JEC Franklin,6,12,25,50.62,20579,51.65,Right-hand bat,4,1,0,4680.3,33.77,57.8,lm,0,SRL,seam,no,10.562222222222223,12.071111111111112
2,612,114,SRL,5,58,-163,DPMD Jayawardene,JEC Franklin,6,12,26,50.62,20579,51.65,Right-hand bat,5,1,0,4680.3,33.77,57.8,lm,0,SRL,seam,no,10.562222222222223,12.071111111111112
2,619,121,SRL,5,62,-159,DPMD Jayawardene,JEC Franklin,6,12,27,50.62,20579,51.65,Right-hand bat,6,1,0,4680.3,33.77,57.8,lm,0,SRL,seam,no,10.562222222222223,12.071111111111112
2,620,122,SRL,5,62,-159,DPMD Jayawardene,JEC Franklin,6,12,28,50.62,20579,51.65,Right-hand bat,7,1,0,4680.3,33.77,57.8,lm,0,SRL,seam,no,10.562222222222223,12.071111111111112
2,621,123,SRL,5,62,-159,DPMD Jayawardene,JEC Franklin,6,12,29,50.62,20579,51.65,Right-hand bat,8,1,0,4680.3,33.77,57.8,lm,0,SRL,seam,no,10.562222222222223,12.071111111111112
2,622,124,SRL,5,62,-159,DPMD Jayawardene,JEC Franklin,6,12,30,50.62,20579,51.65,Right-hand bat,9,1,0,4680.3,33.77,57.8,lm,1,SRL,seam,no,10.562222222222223,12.071111111111112
2,631,133,SRL,5,72,-149,DPMD Jayawardene,JEC Franklin,6,13,31,50.62,20579,51.65,Right-hand bat,12,3,0,4680.3,33.77,57.8,lm,0,SRL,seam,no,10.562222222222223,12.071111111111112
2,632,134,SRL,5,72,-149,DPMD Jayawardene,JEC Franklin,6,13,32,50.62,20579,51.65,Right-hand bat,13,3,0,4680.3,33.77,57.8,lm,2,SRL,seam,no,10.562222222222223,12.071111111111112
2,633,135,SRL,5,74,-147,DPMD Jayawardene,JEC Franklin,6,15,33,50.62,20579,51.65,Right-hand bat,14,5,0,4680.3,33.77,57.8,lm,0,SRL,seam,no,10.562222222222223,12.071111111111112
2,634,136,SRL,5,74,-147,DPMD Jayawardene,JEC Franklin,6,15,34,50.62,20579,51.65,Right-hand bat,15,5,0,4680.3,33.77,57.8,lm,0,SRL,seam,no,10.562222222222223,12.071111111111112
2,635,137,SRL,5,74,-147,DPMD Jayawardene,JEC Franklin,6,15,35,50.62,20579,51.65,Right-hand bat,16,5,0,4680.3,33.77,57.8,lm,0,SRL,seam,no,10.562222222222223,12.071111111111112
2,636,138,SRL,5,74,-147,DPMD Jayawardene,JEC Franklin,6,15,36,50.62,20579,51.65,Right-hand bat,17,5,0,4680.3,33.77,57.8,lm,0,SRL,seam,no,10.562222222222223,12.071111111111112
2,643,145,SRL,5,78,-143,DPMD Jayawardene,JEC Franklin,6,15,37,50.62,20579,51.65,Right-hand bat,18,5,0,4680.3,33.77,57.8,lm,4,SRL,seam,no,10.562222222222223,12.071111111111112
2,644,146,SRL,5,82,-139,DPMD Jayawardene,JEC Franklin,6,19,38,50.62,20579,51.65,Right-hand bat,19,9,0,4680.3,33.77,57.8,lm,1,SRL,seam,no,10.562222222222223,12.071111111111112
2,872,374,SRL,5,205,-16,DPMD Jayawardene,JEC Franklin,6,77,146,50.62,20579,51.65,Right-hand bat,24,12,0,4680.3,33.77,57.8,lm,0,SRL,seam,no,10.562222222222223,12.071111111111112
2,873,375,SRL,5,205,-16,DPMD Jayawardene,JEC Franklin,6,77,147,50.62,20579,51.65,Right-hand bat,25,12,0,4680.3,33.77,57.8,lm,0,SRL,seam,no,10.562222222222223,12.071111111111112
2,874,376,SRL,5,205,-16,DPMD Jayawardene,JEC Franklin,6,77,148,50.62,20579,51.65,Right-hand bat,26,12,0,4680.3,33.77,57.8,lm,0,SRL,seam,no,10.562222222222223,12.071111111111112
2,875,377,SRL,5,205,-16,DPMD Jayawardene,JEC Franklin,6,77,149,50.62,20579,51.65,Right-hand bat,27,12,0,4680.3,33.77,57.8,lm,0,SRL,seam,no,10.562222222222223,12.071111111111112
2,876,378,SRL,5,205,-16,DPMD Jayawardene,JEC Franklin,6,77,150,50.62,20579,51.65,Right-hand bat,28,12,0,4680.3,33.77,57.8,lm,0,SRL,seam,no,10.562222222222223,12.071111111111112
2,877,379,SRL,5,205,-16,DPMD Jayawardene,JEC Franklin,6,77,151,50.62,20579,51.65,Right-hand bat,29,12,0,4680.3,33.77,57.8,lm,0,SRL,seam,no,10.562222222222223,12.071111111111112
