innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1606,4,ENG,0,1,-529,MA Carberry,RJ Harris,2,0,0,29.66,450,39.55,Left-hand bat,4,1,0,3690.1,22.06,46.7,rf,0,AUS,seam,no,28.955078125,8.107421875
4,1607,5,ENG,0,1,-529,MA Carberry,RJ Harris,2,0,1,29.66,450,39.55,Left-hand bat,5,1,0,3690.1,22.06,46.7,rf,0,AUS,seam,no,28.955078125,8.107421875
4,1614,12,ENG,1,1,-529,MA Carberry,RJ Harris,2,0,2,29.66,450,39.55,Left-hand bat,6,1,0,3690.1,22.06,46.7,rf,0,AUS,seam,no,28.955078125,8.107421875
4,1615,13,ENG,1,1,-529,MA Carberry,RJ Harris,2,0,3,29.66,450,39.55,Left-hand bat,7,1,0,3690.1,22.06,46.7,rf,0,AUS,seam,no,28.955078125,8.107421875
4,1616,14,ENG,1,1,-529,MA Carberry,RJ Harris,2,0,4,29.66,450,39.55,Left-hand bat,8,1,0,3690.1,22.06,46.7,rf,0,AUS,seam,no,28.955078125,8.107421875
4,1617,15,ENG,1,1,-529,MA Carberry,RJ Harris,2,0,5,29.66,450,39.55,Left-hand bat,9,1,0,3690.1,22.06,46.7,rf,0,AUS,seam,no,28.955078125,8.107421875
4,1618,16,ENG,1,1,-529,MA Carberry,RJ Harris,2,0,6,29.66,450,39.55,Left-hand bat,10,1,0,3690.1,22.06,46.7,rf,0,AUS,seam,no,28.955078125,8.107421875
4,1619,17,ENG,1,1,-529,MA Carberry,RJ Harris,2,0,7,29.66,450,39.55,Left-hand bat,11,1,0,3690.1,22.06,46.7,rf,0,AUS,seam,no,28.955078125,8.107421875
4,1626,24,ENG,1,1,-529,MA Carberry,RJ Harris,2,0,8,29.66,450,39.55,Left-hand bat,12,1,0,3690.1,22.06,46.7,rf,0,AUS,seam,no,28.955078125,8.107421875
4,1627,25,ENG,1,1,-529,MA Carberry,RJ Harris,2,0,9,29.66,450,39.55,Left-hand bat,13,1,0,3690.1,22.06,46.7,rf,0,AUS,seam,no,28.955078125,8.107421875
4,1628,26,ENG,1,1,-529,MA Carberry,RJ Harris,2,0,10,29.66,450,39.55,Left-hand bat,14,1,0,3690.1,22.06,46.7,rf,0,AUS,seam,no,28.955078125,8.107421875
4,1629,27,ENG,1,1,-529,MA Carberry,RJ Harris,2,0,11,29.66,450,39.55,Left-hand bat,15,1,0,3690.1,22.06,46.7,rf,1nb,AUS,seam,no,28.955078125,8.107421875
4,1630,28,ENG,1,2,-528,MA Carberry,RJ Harris,2,0,12,29.66,450,39.55,Left-hand bat,16,2,0,3690.1,22.06,46.7,rf,0,AUS,seam,no,28.955078125,8.107421875
4,1631,29,ENG,1,2,-528,MA Carberry,RJ Harris,2,0,13,29.66,450,39.55,Left-hand bat,17,2,0,3690.1,22.06,46.7,rf,0,AUS,seam,no,28.955078125,8.107421875
4,1632,30,ENG,1,2,-528,MA Carberry,RJ Harris,2,0,14,29.66,450,39.55,Left-hand bat,18,2,0,3690.1,22.06,46.7,rf,0,AUS,seam,no,28.955078125,8.107421875
4,1639,37,ENG,1,2,-528,MA Carberry,RJ Harris,2,0,15,29.66,450,39.55,Left-hand bat,19,2,0,3690.1,22.06,46.7,rf,0,AUS,seam,no,28.955078125,8.107421875
4,1640,38,ENG,1,2,-528,MA Carberry,RJ Harris,2,0,16,29.66,450,39.55,Left-hand bat,20,2,0,3690.1,22.06,46.7,rf,4,AUS,seam,no,28.955078125,8.107421875
4,1641,39,ENG,1,6,-524,MA Carberry,RJ Harris,2,4,17,29.66,450,39.55,Left-hand bat,21,6,0,3690.1,22.06,46.7,rf,0,AUS,seam,no,28.955078125,8.107421875
4,1642,40,ENG,1,6,-524,MA Carberry,RJ Harris,2,4,18,29.66,450,39.55,Left-hand bat,22,6,0,3690.1,22.06,46.7,rf,4,AUS,seam,no,28.955078125,8.107421875
4,1643,41,ENG,1,10,-520,MA Carberry,RJ Harris,2,8,19,29.66,450,39.55,Left-hand bat,23,10,0,3690.1,22.06,46.7,rf,0,AUS,seam,no,28.955078125,8.107421875
4,1644,42,ENG,1,10,-520,MA Carberry,RJ Harris,2,8,20,29.66,450,39.55,Left-hand bat,24,10,0,3690.1,22.06,46.7,rf,0,AUS,seam,no,28.955078125,8.107421875
