innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1121,25,ENG,0,21,72,MA Carberry,NM Lyon,2,1,13,30.2,763,39.58,Left-hand bat,1,1,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
3,1122,26,ENG,0,21,72,MA Carberry,NM Lyon,2,1,14,30.2,763,39.58,Left-hand bat,2,1,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
3,1123,27,ENG,0,21,72,MA Carberry,NM Lyon,2,1,15,30.2,763,39.58,Left-hand bat,3,1,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
3,1124,28,ENG,0,21,72,MA Carberry,NM Lyon,2,1,16,30.2,763,39.58,Left-hand bat,4,1,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
3,1125,29,ENG,0,21,72,MA Carberry,NM Lyon,2,1,17,30.2,763,39.58,Left-hand bat,5,1,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
3,1217,121,ENG,0,65,116,MA Carberry,NM Lyon,2,6,60,30.2,763,39.58,Left-hand bat,13,10,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
3,1218,122,ENG,0,65,116,MA Carberry,NM Lyon,2,6,61,30.2,763,39.58,Left-hand bat,14,10,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
3,1219,123,ENG,0,65,116,MA Carberry,NM Lyon,2,6,62,30.2,763,39.58,Left-hand bat,15,10,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
3,1220,124,ENG,0,65,116,MA Carberry,NM Lyon,2,6,63,30.2,763,39.58,Left-hand bat,16,10,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
3,1221,125,ENG,0,65,116,MA Carberry,NM Lyon,2,6,64,30.2,763,39.58,Left-hand bat,17,10,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
3,1228,132,ENG,1,65,116,MA Carberry,NM Lyon,2,6,65,30.2,763,39.58,Left-hand bat,18,10,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
3,1229,133,ENG,1,65,116,MA Carberry,NM Lyon,2,6,66,30.2,763,39.58,Left-hand bat,19,10,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
3,1230,134,ENG,1,65,116,MA Carberry,NM Lyon,2,6,67,30.2,763,39.58,Left-hand bat,20,10,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
3,1231,135,ENG,1,65,116,MA Carberry,NM Lyon,2,6,68,30.2,763,39.58,Left-hand bat,21,10,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
3,1232,136,ENG,1,65,116,MA Carberry,NM Lyon,2,6,69,30.2,763,39.58,Left-hand bat,22,10,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
3,1233,137,ENG,1,65,116,MA Carberry,NM Lyon,2,6,70,30.2,763,39.58,Left-hand bat,23,10,0,6462.1,32.23,63.9,rob,3,AUS,spin,no,20.3671875,6.7890625
3,1252,156,ENG,1,81,132,MA Carberry,NM Lyon,2,12,74,30.2,763,39.58,Left-hand bat,30,17,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
3,1253,157,ENG,1,81,132,MA Carberry,NM Lyon,2,12,75,30.2,763,39.58,Left-hand bat,31,17,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
3,1254,158,ENG,1,81,132,MA Carberry,NM Lyon,2,12,76,30.2,763,39.58,Left-hand bat,32,17,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
3,1255,159,ENG,1,81,132,MA Carberry,NM Lyon,2,12,77,30.2,763,39.58,Left-hand bat,33,17,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
3,1256,160,ENG,1,81,132,MA Carberry,NM Lyon,2,12,78,30.2,763,39.58,Left-hand bat,34,17,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
3,1257,161,ENG,1,81,132,MA Carberry,NM Lyon,2,12,79,30.2,763,39.58,Left-hand bat,35,17,0,6462.1,32.23,63.9,rob,0,AUS,spin,no,20.3671875,6.7890625
