innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1462,0,AUS,0,0,-230,CJL Rogers,JM Anderson,1,0,0,37.84,1583,45.42,Left-hand bat,0,0,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1463,1,AUS,0,0,-230,CJL Rogers,JM Anderson,1,0,1,37.84,1583,45.42,Left-hand bat,1,0,0,20130.4,30.61,59.2,rfm,2,AUS,seam,yes,20.3671875,6.7890625
4,1464,2,AUS,0,2,-228,CJL Rogers,JM Anderson,1,2,2,37.84,1583,45.42,Left-hand bat,2,2,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1465,3,AUS,0,2,-228,CJL Rogers,JM Anderson,1,2,3,37.84,1583,45.42,Left-hand bat,3,2,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1466,4,AUS,0,2,-228,CJL Rogers,JM Anderson,1,2,4,37.84,1583,45.42,Left-hand bat,4,2,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1467,5,AUS,0,2,-228,CJL Rogers,JM Anderson,1,2,5,37.84,1583,45.42,Left-hand bat,5,2,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1486,24,AUS,0,16,-214,CJL Rogers,JM Anderson,1,9,13,37.84,1583,45.42,Left-hand bat,12,2,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1487,25,AUS,0,16,-214,CJL Rogers,JM Anderson,1,9,14,37.84,1583,45.42,Left-hand bat,13,2,0,20130.4,30.61,59.2,rfm,1,AUS,seam,yes,20.3671875,6.7890625
4,1490,28,AUS,0,18,-212,CJL Rogers,JM Anderson,1,10,15,37.84,1583,45.42,Left-hand bat,16,4,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1491,29,AUS,0,18,-212,CJL Rogers,JM Anderson,1,10,16,37.84,1583,45.42,Left-hand bat,17,4,0,20130.4,30.61,59.2,rfm,1,AUS,seam,yes,20.3671875,6.7890625
4,1510,48,AUS,0,30,-200,CJL Rogers,JM Anderson,1,18,29,37.84,1583,45.42,Left-hand bat,18,5,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1511,49,AUS,0,30,-200,CJL Rogers,JM Anderson,1,18,30,37.84,1583,45.42,Left-hand bat,19,5,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1512,50,AUS,0,30,-200,CJL Rogers,JM Anderson,1,18,31,37.84,1583,45.42,Left-hand bat,20,5,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1513,51,AUS,0,30,-200,CJL Rogers,JM Anderson,1,18,32,37.84,1583,45.42,Left-hand bat,21,5,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1514,52,AUS,0,30,-200,CJL Rogers,JM Anderson,1,18,33,37.84,1583,45.42,Left-hand bat,22,5,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1515,53,AUS,0,30,-200,CJL Rogers,JM Anderson,1,18,34,37.84,1583,45.42,Left-hand bat,23,5,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1522,60,AUS,0,34,-196,CJL Rogers,JM Anderson,1,18,35,37.84,1583,45.42,Left-hand bat,24,5,0,20130.4,30.61,59.2,rfm,1,AUS,seam,yes,20.3671875,6.7890625
4,1525,63,AUS,0,36,-194,CJL Rogers,JM Anderson,1,19,36,37.84,1583,45.42,Left-hand bat,27,7,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1526,64,AUS,0,36,-194,CJL Rogers,JM Anderson,1,19,37,37.84,1583,45.42,Left-hand bat,28,7,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1527,65,AUS,0,36,-194,CJL Rogers,JM Anderson,1,19,38,37.84,1583,45.42,Left-hand bat,29,7,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1535,73,AUS,0,48,-182,CJL Rogers,JM Anderson,1,27,42,37.84,1583,45.42,Left-hand bat,31,8,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1536,74,AUS,0,48,-182,CJL Rogers,JM Anderson,1,27,43,37.84,1583,45.42,Left-hand bat,32,8,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1537,75,AUS,0,48,-182,CJL Rogers,JM Anderson,1,27,44,37.84,1583,45.42,Left-hand bat,33,8,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1538,76,AUS,0,48,-182,CJL Rogers,JM Anderson,1,27,45,37.84,1583,45.42,Left-hand bat,34,8,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1539,77,AUS,0,48,-182,CJL Rogers,JM Anderson,1,27,46,37.84,1583,45.42,Left-hand bat,35,8,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1603,141,AUS,1,86,-144,CJL Rogers,JM Anderson,1,55,77,37.84,1583,45.42,Left-hand bat,38,9,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1604,142,AUS,1,86,-144,CJL Rogers,JM Anderson,1,55,78,37.84,1583,45.42,Left-hand bat,39,9,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1605,143,AUS,1,86,-144,CJL Rogers,JM Anderson,1,55,79,37.84,1583,45.42,Left-hand bat,40,9,0,20130.4,30.61,59.2,rfm,4,AUS,seam,yes,20.3671875,6.7890625
4,1606,144,AUS,1,90,-140,CJL Rogers,JM Anderson,1,59,80,37.84,1583,45.42,Left-hand bat,41,13,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1613,151,AUS,1,98,-132,CJL Rogers,JM Anderson,1,62,82,37.84,1583,45.42,Left-hand bat,42,13,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1614,152,AUS,1,98,-132,CJL Rogers,JM Anderson,1,62,83,37.84,1583,45.42,Left-hand bat,43,13,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1615,153,AUS,1,98,-132,CJL Rogers,JM Anderson,1,62,84,37.84,1583,45.42,Left-hand bat,44,13,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1616,154,AUS,1,98,-132,CJL Rogers,JM Anderson,1,62,85,37.84,1583,45.42,Left-hand bat,45,13,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1617,155,AUS,1,98,-132,CJL Rogers,JM Anderson,1,62,86,37.84,1583,45.42,Left-hand bat,46,13,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1618,156,AUS,1,98,-132,CJL Rogers,JM Anderson,1,62,87,37.84,1583,45.42,Left-hand bat,47,13,0,20130.4,30.61,59.2,rfm,4,AUS,seam,yes,20.3671875,6.7890625
4,1709,247,AUS,1,172,-58,CJL Rogers,JM Anderson,1,98,131,37.84,1583,45.42,Left-hand bat,54,19,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1710,248,AUS,1,172,-58,CJL Rogers,JM Anderson,1,98,132,37.84,1583,45.42,Left-hand bat,55,19,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1711,249,AUS,1,172,-58,CJL Rogers,JM Anderson,1,98,133,37.84,1583,45.42,Left-hand bat,56,19,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1712,250,AUS,1,172,-58,CJL Rogers,JM Anderson,1,98,134,37.84,1583,45.42,Left-hand bat,57,19,0,20130.4,30.61,59.2,rfm,4,AUS,seam,yes,20.3671875,6.7890625
4,1713,251,AUS,1,176,-54,CJL Rogers,JM Anderson,1,102,135,37.84,1583,45.42,Left-hand bat,58,23,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1714,252,AUS,1,176,-54,CJL Rogers,JM Anderson,1,102,136,37.84,1583,45.42,Left-hand bat,59,23,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1721,259,AUS,1,190,-40,CJL Rogers,JM Anderson,1,107,140,37.84,1583,45.42,Left-hand bat,60,23,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1722,260,AUS,1,190,-40,CJL Rogers,JM Anderson,1,107,141,37.84,1583,45.42,Left-hand bat,61,23,0,20130.4,30.61,59.2,rfm,2,AUS,seam,yes,20.3671875,6.7890625
4,1723,261,AUS,1,192,-38,CJL Rogers,JM Anderson,1,109,142,37.84,1583,45.42,Left-hand bat,62,25,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1724,262,AUS,1,192,-38,CJL Rogers,JM Anderson,1,109,143,37.84,1583,45.42,Left-hand bat,63,25,0,20130.4,30.61,59.2,rfm,0,AUS,seam,yes,20.3671875,6.7890625
4,1725,263,AUS,1,192,-38,CJL Rogers,JM Anderson,1,109,144,37.84,1583,45.42,Left-hand bat,64,25,0,20130.4,30.61,59.2,rfm,1,AUS,seam,yes,20.3671875,6.7890625
